ability	{'способности', 'правоспособност', 'умение', 'кадърност_ло́вкост', 'вещина́', 'способността', 'пригодност', 'способност'}
residence	{'жи́тел', 'пребиваване', 'обита́тел', 'имение', 'династия', 'дом', 'местожителство', 'жилища', 'жилище_на_едър_земевладелец', 'жилище', 'жи́лище', 'местожи́телство', 'мястото', 'къща', 'жители', 'дома', 'обитател', 'частна_резиденция', 'имения', 'жилищна_сграда', 'жител'}
right	{'дясното_крило', 'е́тика', 'коригирам', 'неотменими', 'пра́во', 'естествени_права', 'правилен', 'дясна_ръка', 'законното_право', 'десни', 'волунтаризъм', 'неотменими_права', 'етика', 'отдясно', 'лявата_ръка', 'морален_философ', 'естествените_права', 'прав', 'етични', 'дясната_ръка', 'вярно', 'десния', 'верен', 'rightism', 'етични_въпроси', 'право', 'дясно_крило', 'морална_философия', 'естественото_право', 'физическите_и_юридическите_права', 'етични_стандарти', 'неетично', 'дясно', 'десница', 'правотата', 'young_americans', 'неотменимо_право', 'консерватор', 'етична_система', 'десен', 'дясната_политика', 'неотменното_право', 'точно', 'консервативна_партия', '§', 'права', 'естествено_право', 'етически', 'коригира', 'реакционер', 'етична_теория', 'правилно_и_грешно', 'десничарски', 'правилно'}
river	{'поток', 'river', 'watermark', 'водоток', 'ручей', 'река́', 'воден_поток', 'потоци', 'речно_корито', 'sestao_river_club', 'рекичка', 'ruisseau', 'речната', 'прекъсващ_поток', 'реки', 'реката', 'река'}
road	{'път', 'causeways', 'път_игра', 'шосе', 'пътя', 'пътека', 'гостуванията_си', 'пътища', 'пътна_лента', 'друм', 'new', 'the_road'}
root	{'интервал', 'предтеча', 'музикален_интервал', 'външни_корени', 'корени_дърво', 'корен', 'косми_по_главата', 'музикални_интервали', 'предхожда', 'предшественик', 'коса', 'изто́чник', 'вкореняване', 'дървовидна_структура', '0', 'root', 'дърво', 'източник', 'основната_нота', 'ко́рен', 'тото_корен', 'косми', 'космат', 'корен_на_дума', 'корен_достъп', 'konohagakure', 'произход', 'праотец', 'прародител', 'етимон', 'основа', 'суперпотребител', 'коренът_на_думата', 'нула', 'тонизиращ_акорд', 'човешка_коса', 'тоник', 'окосмяване', 'извор', 'корена_на_зъба', 'асцендента', 'човешки_косъм', 'тоник_акорд', 'тонален_център', 'superuser', 'предците', 'предци', 'стволови', 'стъблото', 'гора', 'ну́ла', 'корен_позиция', 'козина'}
rope	{'rope', 'r-2', 'въже', 'въжето', 'мексикански_валиум', 'въжета', 'ropemaker', 'rophy', 'забравя_ме_наркотици', 'roofy'}
rotten	{'прогнил', 'отвратителен', 'гнил'}
round	{'патрон', 'боец_награда', 'игра_на_голф', 'кръг_на_напитки', 'stypsis', 'кръ́гъл', 'черупка_корпус', 'кръгла', 'бой_с_юмруци', 'бокс_без_ръкавици', 'най-малко_значеща_цифра', 'бокс', 'един_изстрел', 'плодове', 'значеща_цифра', 'кръгъл', 'голи_глезена_бокс', 'корпуса', 'тялото', 'ежедневие', 'степенка', 'minerality', 'боксьор', 'най-значимите_цифра', 'значещи_цифри', 'касета', 'bareknuckle', 'значителна_фигура', 'аритметична_прецизност', 'кръг', 'гилза', 'кръгови', 'prizefighting', 'баланс', 'единица_на_боеприпаси', 'точност', 'най-значимата_цифра'}
rub	{'руска_рубла', 'руската_рубла', 'рубли', 'търкам', 'чеша_се', 'изтриване'}
sad	{'sadhe', 'тъга', 'натъжен', 'печален', 'печа́лен', 'тъжно', 'lost_dogs', 'сезонна_депресия', 'скръбен', 'тъжен', 'сезонно_афективно_разстройство', 'опечален', 'тъ̀жен'}
salt	{'натриев_хлорид', 'трапезна_сол', 'натриева_сол', 'солница', 'йонно_сол', 'cheryl_james', 'йонни_сол', 'салт', 'salt', 'салт-ен-пепа', 'калиева_сол', 'солт_ривър', 'соли', 'ал_салт', 'готварска_сол', 'сол', 'salt-n-pepa', 'nacl', 'производство_на_сол', 'солт', 'henry_salt', 'изба_сол', 'стратегическите_въоръжения_ограничаване_talks', 'пътна_сол'}
sand	{'schönenberg-kübelberg', 'sand_am_main', 'баронеса_dudevant', 'moxie', 'пясъци', 'аврора_дюдеван', 'вътрешности', 'sand', 'амандин_орор_lucie_dupin', 'амандин_орор_люсил_дюпен', 'пясък', 'жорж_санд', 'орор_дюпен'}
say	{'say', 'ка́жа', 'ка́звам', 'osakis', 'in_blue', 'жан-баптист_сей', 'сей', 'кажа', 'предполагам', 'jean-baptiste_say', 'thomas_say', 'жан-батист_сей', 'казвам', 'каже'}
science	{'учени', 'мейнстрийм_наука', 'нау́ка', 'научни', 'science', 'емпиричната_наука', 'науки', 'науката', 'сайънс', 'научна', 'списание_"наука"', 'наука', 'уменията', 'научна_дисциплина'}
scratch	{'handicap', 'задрасквам', 'moolah', 'дерматози', 'кожните_лезии', 'надраскване', 'пустули', 'вдлъбнатина', 'scratch', 'книжни_пари', 'чеша_се', 'скопен', 'богатство', 'отменям', 'белег', 'скрач', 'dinero', 'петна', 'драскотина', 'cacography', 'миди', 'изстъргвам', 'мангизи', 'стартова_линия', 'везикули', 'кожни_заболявания', 'зачеркна', 'абразия', 'драскулка', 'peter_gabriel', 'кожни_лезии', 'пари', 'simoleons', 'състоянието_кожата', 'ексфолиация', 'кожна_лезия', 'отменя', 'зачерквам', 'стържа', 'приключенията_на_таралежа_соник', 'lichenification', 'гравирам', 'задраскам', 'изстържа', 'хендикап', 'ожулване', 'голф_хендикап', 'язва_на_кожата'}
sea	{'лунните_морета', 'морѐ', 'море', 'лунен_кобила', 'океана', 'океяни', 'световния_океан', 'лунно_море', 'световният_океан', 'sea', 'морска_околна_среда', 'океаните', 'лунни_морета', 'морето', 'световен_океан', 'морската_среда', 'океан', 'океани', 'морета', 'световният_океян'}
seafood	{'морски_дарове', 'морска_храна'}
see	{'гледам', 'схващам', 'видите', 'навестя́', 'посеща́вам', 'проумявам', 'проумея', 'гледат', 'посетя́', 'хиосцин', 'срещна_се', 'виждам_се', 'виждам', 'видим', 'застрахова', 'срещам_се', 'зре́ние', 'разглежда', 'визуалното_възприятие', 'навестя́вам', 'схвана', 'разбирам', 'see', 'скополамин', 'види', 'визуално_възприятие', 'зрение', 'видя', 'сре́щам', 'фантазия', 'видя_се', 'изследвам', 'tycho', 'разбера', 'проучвам', 'осъзнаят', 'архиепископски', 'въображение'}
seed	{'случаен_семена', 'един_елиминиране', 'забележителен_играч', 'зародиш', 'сперма', 'сея', 'полуфиналист', 'се́ме', 'един_турнир_елиминиране', 'спе́рма', 'една_елиминиране_за', 'полуфинала', 'семе', 'cеме', 'изхвърлям', 'santi', 'един_елиминиране_турнир', 'хайде', 'полуфинал', 'семка', 'источник', 'полуфиналите', 'seed', 'четвърт-финал', 'четвъртфиналите', 'семена_плейър', 'final_fantasy_viii', 'източник', 'семенна_течност', 'заедно_с', 'семенната_течност', 'sublime', 'изключителен_играч', 'семена'}
sell	{'покупка', 'търговията', 'предава́м', 'продажба', 'прода́м', 'предам', 'предавам', 'търго́вия', 'продавам', 'прода́вам', 'изменям', 'търговия', 'изменя', 'продават', 'продам', 'морската_търговия'}
sew	{'шиене', 'ръкоделие', 'шият'}
sexy	{'elephunk'}
shape	{'бпк', 'върховния_съюзен_командващ_за_европа', 'тяло', 'плът', 'оформям', 'геометричен_примитив', 'фо́рма', 'музикална_форма', 'физическото_тяло', 'оформя', 'очертание', 'материално_тяло', 'образуват', 'фигура', 'мурведър', '4-3-3', 'физиология_на_човека', 'пигментацията_на_кожата', 'човешката_физиология', 'човешката_анатомия', 'човешко_тяло', 'човешкото_тяло', 'телосложе́ние', 'цвета_на_кожата', 'геометрични_примитиви', 'върховната_щабквартира_на_съюзните_сили_в_европа', 'примитивен', 'форма', 'shape', 'формирам', 'модел', 'фигу́ра', 'определи'}
sharp	{'sharp', 'sharp_corporation', 'стръмен', 'skinheads_against_racial_prejudice', 'остър'}
ship	{'кораби', 'корабите', 'кораб', 'изпрати', 'ко́раб', 'парахо́д'}
short	{'късо_съединение', 'две_reeler', 'изведнъж', 'кратък_предмет', 'къс', 'ни́сък', 'внеза́пно', 'ненаде́йно', 'shortstops', 'анимирани_късометражни_филми', 'къса_позиция', 'кратки_теми', 'филм_кратко', 'кратък_филм', 'кратка_спирка', 'късите_продажби', 'кс', 'късометражен_филм', 'непродължителен', 'късометражни_филми', 'рязко', 'shortstop', 'кратък', 'къси_продажби', 'къса_продажба', 'short', 'стопер', 'късо', 'кра́тък'}
show	{'показ', 'покаже', 'соча', 'покажа', 'комарджии', 'спектакъл', 'демонстрира', 'шоуто', 'залагания', 'хазарт', 'представи', 'доказвам', 'свидетелствам', 'посоча', 'представление', 'show', 'пока́звам', 'показвам', 'показват', 'изобразявам', 'докаже', 'шоу', 'посочвам', 'пока́жа', 'излагане', 'установи', 'докажа', 'селскостопанска_шоу'}
sign	{'търговски_обозначения', 'планетарна_къща', 'графичния_символ', 'буква', 'клинични_признаци', 'семиотичен', 'означения', 'билборд', 'подпише', 'семиотик', 'сигнализация', 'графема', 'brown_eyed_girls', 'предзнаменование', 'положително_число', 'къща', 'гадаене', 'езиков_знак', 'скала_на_паулинг', 'графеми', 'предвестие', 'знамение', 'полярност', 'електроположителни', 'знак_звезда', 'preindication', 'electronegative', 'подписвам_се', 'медицински_знак', 'реклама', 'знак', 'графем', 'семиотика', 'знак_на_зодиака', 'сигнал', 'астрологичен_знак', 'признак', 'сигнификация', 'зодиакален_знак', 'подписвам', 'характер', 'неотрицателно', 'подпиша', 'електроотрицателност', 'семиология', 'подпиша_се', 'егидата', 'зодия', 'подписано', 'табела'}
silly	{'глупав', 'глупаво', 'безсмислица', 'шарлатанство', 'нонсенс', 'non_sens', 'silly', 'глупост', 'безразсъден', 'неразумен', 'глу́пав', 'nonsensicality', 'сили', 'тъп', 'безсмислен', 'абсурдност', 'неразу́мен', 'non-sens', 'глупости'}
sin	{'синус', 'синхалски', 'грешник', 'син', 'синусова_функция', 'нана', 'греша́', 'греховете', 'правя_груби_грешки', 'синхалски_език', 'sin', 'греховност', 'съгрешаване', 'грях', 'shin', 'прегрешение', 'синхала', 'грешници', 'греха'}
sing	{'пее', 'пе́ене', 'leisure', 'sing', 'пе́я', 'женски_вокали', 'чисти_вокали', 'пеене', 'певци', 'вокали', 'пеят', 'пея', 'вокалист', 'вокалисти', 'хармония_вокал', 'поп_певица', 'вокализирането'}
sit	{'сядам', 'седне', 'седна', 'се́дна', 'вози', 'ся́дам', 'седя́'}
skin	{'скинове', 'платка', 'печатна_платка', 'cutis', 'добавка', 'клетките_на_кожата', 'плъг-ин', 'психиатрия', 'психиатрична_болница', 'плъгини', 'кора', 'почти_човек', 'приставка', 'лъч_светлина', 'печатни_платки', 'ар_кели', 'day_for_night', 'добави_в', 'психическо_дома', 'almost_human', 'ray_of_light', 'кожи', 'skin', 'обвивка', 'плъгин', 'верига_карта', 'ко́жа', 'blender', 'plug-ins', 'психиатрична_клиника', 'свръхестествено', 'лудница', 'австралийски_абориген_родство', 'кожата', 'кожа', 'plug-in', 'r._kelly', 'платки'}
sky	{'атмосферата_на_земята', 'подхвърлям', 'въздух', 'team_sky', 'земната_атмосфера', 'cerulean', 'лазурен', 'уинкс_клуб', 'въздуха', 'небе', 'хвърлям', 'небето', 'атмосфера_на_земята', 'мятам', 'sky', 'credo', 'sky_airlines', 'тропопауза', 'земна_атмосфера', 'lazuline', 'небе́', 'подхвърля', 'небесносиньо', 'небесносин', 'хвърля', 'heterosphere', 'stacey_king', 'winx_club', 'thatgamecompany', 'метна'}
sleep	{'заспиване', 'хибернация', 'спящ_режим', 'режим_на_заспиване', 'дълбок_летаргичен_сън', 'sopor', 'режим_готовност', 'хибридно_заспиване', 'спи', 'вечен_сън', 'the_black_parade', 'sleep', 'сън', 'вечен_покой', 'смърт'}
small	{'john_kunkel_small', 'малко', 'малък', 'small'}
smart	{'умен', 'наранявам', 'нагъл', 'нараня', 'нахален', 'интелигентен', 'технология_за_самонаблюдение,_анализ_и_отчитане', 'smart', 'наболяващи', 'умствен_капацитет', 'интелект', 'интелигентност'}
smell	{'дух', 'обонятелен_възприятие', 'чувство', 'обоняние', 'помириша', 'обонятелен_сензация', 'обонятелен_имот', 'тон', 'мириша', 'обонятелна_модалност', 'мирис', 'миризма', 'миризмата', 'аксесоар_обонятелната_система', 'миришат', 'неприятна_миризма', 'помирисвам', 'миришещ', 'аромат', 'без_мирис'}
smiling	{'ухилен', 'усми́вка', 'зъбене', 'усмивка', 'усмихнати'}
smoke	{'пушене', 'тютюневи_изделия', 'употребата_на_тютюн', 'пушек', 'магнито-оптичен_ефект_кер', 'тютюневото_растение', 'mary_jane', 'пушени', 'sess', 'smoke', 'трева', 'тютюн', 'изпарение', 'nicotiana', 'пу́ша', 'пуша', 'хашиш', 'цигара', 'цилиндричните_тела_от_тютюн', 'усещане', 'цигари', 'дим', 'тютюнопу́шене', 'оксикотин', 'пу́шене', 'фас', 'угарка', 'димя', 'зелена_богиня', 'ковчег_нокти', 'fastball', 'cigaret', 'ин_янг_йо', 'yin_yang_yo!', 'тютю́н', 'марихуана', 'цига́ра', 'тютюнопроизводство'}
smooth	{'лъскам', 'gerald_albright', 'smooth', 'равен', 'гладка', 'stypsis', 'изглаждане', 'плодове', 'баланс', 'тялото', 'полирам', 'гладък', 'minerality'}
snake	{'грей_код', 'огледален_двоичен_код', 'snake_jailbird', 'река_снейк', 'снейк', 'snake', 'скрит_враг', 'змия', 'снейк_ривър', 'двоично-реверсивен_код', 'зъми', 'хидра', 'змии', 'solid_snake', 'serpentes', 'код_на_грей'}
snow	{'носа_бонбони', 'барон_сняг_в_лестър', 'чарлз_пърси_сноу', 'сняг', 'snow', 'в._п._сняг', 'снежинка', 'светлокремав', 'снеговалеж', 'cняг', 'слонова_кост', 'снежната_покривка', 'ffmpeg'}
solution	{'реше́ние', 'solution', 'решения', 'разтвори', 'разтворените_вещества', 'решаване_на_уравнение', 'отговор', 'резултата', 'решаване_на_проблеми', 'решение', 'разтвор', 'уравнение_решаване'}
some	{'или_така', 'повече_или_по-малко', 'около', 'някои', 'приблизи́телно', 'наблизо', 'приблизително', 'няколко', 'о́коло', 'почти́'}
soul	{'aiúa', 'soul', 'душа', 'човек', 'душа́', 'особа', 'души', 'безсмъртна_душа', 'душата', 'соул_музика', 'индивид', 'някой', 'душевност', 'личност', 'соул', 'смъртен', 'лице'}
sound	{'реч_звук', 'звукови_вълни', 'здрав', 'звуковите_вълни', 'проли́в', 'слухова_сензация', 'tecnocumbia', 'звукова_вълна', 'проток', 'звук', 'акустични_вълни', 'пролив', 'звука', 'звучи', 'телефон', 'разпространение_на_звука', 'прото́к', 'речта_звук', 'звуци'}
spit	{'слю́нка', 'пясъчна_коса', 'плюнка', 'пясъчни_коси', 'плю́нка', 'spit', 'пясък_шиш', 'плюя', 'плюе', 'плюене', 'храча', 'коса', 'шиш', 'слюнка', 'скара'}
split	{'хетерозиготни', 'heterozygote', 'хетерозиготните', 'birds_of_prey', 'homozygotes', 'шпагат', 'zygosity', 'разделяне_лема', 'разделям_се', 'сплит', 'разцепвам', 'спукам', 'цепка', 'премахвам_връзка', 'разцепя', 'разделя', 'split', 'хомозиготност', 'сплит_албум', 'разединение', 'пръсвам_се', 'спуквам', 'спалато', 'разделям', 'пукнатина', 'хомозиготни', 'избухна', 'разкол', 'hemizygous', 'деля', 'homozygote', 'разделяне', 'наличност_сплит', 'хетерозиготност', 'разделя_се', 'раздяла', 'разделят'}
spoke	{'ези́к', 'реч', 'устно_общуване', 'говорене', 'spoke', 'разговорна_реч', 'говоримия_език', 'rundle', 'колело_говори', 'гласова_комуникация', 'говори_комуникация', 'говорната_комуникация', 'човешката_реч', 'спици', 'език', 'спица'}
squeeze	{'прегърна', 'стисна', 'ликвидна_криза', 'ощипя', 'заставя', 'принуждавам', 'zugzwang', 'изтръгна', 'заставям', 'сбивам', 'смачквам', 'мачкам', 'стиснете', 'сгъстявам', 'прегръдка', 'прегръдки', 'смачкам', 'ощипвам', 'изтръгвам', 'изцеждам', 'принудя', 'притисна', 'гушна', 'щипвам', 'squeeze', 'изстискване', 'притискам', 'кредитната_криза', 'принуди', 'прегръщам', 'стискам', 'щипя'}
stab	{'наръгам', 'намушвам', 'наръгвам', 'пронизвам', 'scream_2', 'писък_2', 'нож_тяга', 'промуша', 'промушвам', 'пронижа', 'пробождам', 'намуша', 'пробода'}
stand	{'захарните_плантации', 'гледна_точка', 'кафеена_плантация', 'толерирам', 'понасям', 'издържа', 'стоят', 'каучукова_плантация', 'фундамент', 'становище', 'сергия', 'плантация', 'търпя', 'гледище', 'издържам', 'понесе', 'партньорство', 'orchardist', 'щанд', 'стоя', 'susan_ashton', 'продажби_щанд', 'будка', 'овощна_гради́на', 'stand', 'овощна_градина', 'основа', 'горичка', 'позиция', 'трая', 'woodlet', 'естрада', 'овощни_градини', 'захарна_плантация', 'поставка', 'фирма', 'открита_сцена', 'понеса', 'насаждения', 'плантация_памук', 'павилион', 'стоя́', 'изтърпя'}
star	{'пет_звезден_хотел', 'адепт', 'звезди', 'tar.gz', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'звезда_мрежа', 'известен_човек', 'ас', 'водещ_актьор', 'катран', 'личност_телевизия', 'hotshot', 'вещ', 'матрица_на_бостън_кънсълтинг_груп', 'водеща_актриса', 'maven', 'mavin', 'матрица_на_бостънска_консултантска_група', 'пет-звезден_хотел', 'ilean_almaguer', 'магьосник', 'tar', 'звездичка', 'estelle', 'матрица_на_бостънската_консултантска_група', 'участието_на', 'знаменитости', 'медийна_личност', 'поп_звездата', 'светило', 'филмова_звезда', 'топология_звезда', 'star', 'матрица_ръст-към-дял', 'фуча', 'матрица_бкг', 'кефал', 'стар', 'знаменитост', 'филмови_звезди', 'steroidogenic_остра_регулаторен_протеин', 'xerox_star', 'суперзвезда', 'звезда'}
stick	{'бастун', 'clapstick', 'прилепвам', 'джойстик', 'подвързвам', 'пронижа', 'марихуана_цигара', 'прът', 'палка', 'пронизвам', 'стоя', 'промушвам', 'басту́н', 'стик', 'стандартната_трансмисия', 'оставам', 'прилепя', 'пробождам', 'ascii', 'джойстици', 'клечка', 'остана', 'лост_за_управление_на_самолет', 'били_клуб', 'spliff', 'придържаме_промяна', 'американски_стандартен_код_за_обмен_на_информация', 'контролния_лост', 'пробода', 'billystick', 'остане', 'прилепям', 'синхронизатор', 'пръчка', 'промуша', 'тояга', 'цигара_с_марихуана', 'пръ̀чка', 'американски_стандартен_код_за_обмяна_на_информация', 'съвместно', 'бастуни', 'кратко_работник'}
stone	{'каменна', 'harlan_fiske_stone', 'искандер', 'камъни', 'оливър_стоун', 'ендокарп', 'бижута', 'карпа', 'харлан_стоун', '9м72_искандер', '9м79_искандер', 'скъпоценни_камъни', 'полу-скъпоценни_камъни', 'люси_стоун', 'скала̀', 'костилка', 'едуард_durell_стоун', 'скъпоценен_камък', 'камък', 'скали', 'ка́мък', 'скала', 'харлан_fiske_стоун', 'полускъпоценен_камък', 'харлан_ф._стоун', 'исидор_файнстийн_стоун', 'и._ф._стоун', 'stone', 'picul', 'рок', 'полу-скъпоценни', 'lucy_stone', 'харлан_фиск_стоун', 'полускъпоценни_камъни'}
straight	{'разнополов_секс', 'хетеросексуален', 'прям', 'хетеросексуалност', 'хетеросексуалните', 'направо_човек', 'честен', 'хетеросексуална', 'прав', 'права', 'кръст', 'направо', 'heterosexualism', 'хетеросексуални', 'хетеро', 'лоялен', 'хетеросексуалността', 'прав_удар', 'веднага_у_дома', 'хетеросексуален_човек', 'почтен', 'директно'}
student	{'учени', 'студент', 'студенти', 'начетен_човек', 'ученик', 'книжар', 'обучаван', 'william_sealy_gosset', 'студѐнт', 'книжовник', 'книжарници', 'студентка', 'студѐнтка', 'книжарство', 'първата_година', 'книжарница', 'учен', 'учещ', 'educatee'}
stupid	{'pillock', 'глу́пав', 'глупак', 'глупав', 'лапа', 'raven-symone', 'тъп', 'глупости', 'глупост', 'тъпак', 'бедните_риба', 'глупав_човек', 'pudden_главата', 'дървеняк'}
successful	{'successful', 'успешен'}
suck	{'смучене', 'смуча', 'доя́', 'всмукващ', 'къ̀рмя', 'кърмя'}
sugar	{'въглехидрат', 'пари', 'batman_forever', 'батман_завинаги', 'simoleons', 'захари', 'захар_във_виното', 'moolah', 'въглехидрати', 'търговията_със_захар', 'бучка_захар', 'захарид', 'бяла_захар', 'sugar', 'карбохидрат', 'книжни_пари', 'скопен', 'богатство', 'за́хар', 'glassheart', 'dinero', 'захар', 'миди', 'рафинирана_захар', 'карбохидрати', 'нива_на_кръвната_захар', 'мангизи'}
sun	{'сън_майкросистъмс', 'слънцето', 'юпитер', 'sun_television', 'слънчева_радиация', 'венера', 'господния_ден', 'меркурий', 'the_sun', 'cun', 'sun', 'utug', 'луната', 'нд_знак', 'sunshine', 'неделя', 'utu', 'dominicus', 'уту', 'шамаша', 'неподвижните_звезди', 'слънчева_светлина', 'фиксирана_звезда', 'слънчевия_спектър', 'марс', 'сън', 'естествено_осветление', 'сън-хуа_куон', 'господ_ден', 'слънчево_излъчване', 'слънце', 'слъ̀нце', 'шамаш', 'sun_microsystems'}
suspect	{'robert_crais', 'ответник', 'заподозрени', 'заподозрян', 'ответника', 'подозрение', 'съмнение', 'смолвил', 'недоверие', 'подсъдимия', 'обвиняем', 'подсъдим'}
swell	{'подуя_се', 'издувам_се', 'дендита', 'clotheshorse', 'подувам_се', 'swell', 'надуе', 'конте', 'пич', 'crestless_вълна', 'издуя_се', 'мъртво_вълнение', 'франт', 'издигане', 'денди'}
swim	{'лъч_светлина', 'плувам', 'състезателното_плуване', 'плавам', 'ray_of_light', 'водната_придвижване', 'плуване', 'плуват'}
table	{'търсене', 'вградена_рамка', 'справочна_таблица', 'отложа', 'забавям', 'href', 'таблица', 'лист_с_данни', 'пулта', 'html_етикет', 'софра', 'плато', 'плата', 'връзка', 'звукова_карта', 'масата', 'отсрочвам', 'отложи', 'табли́ца', 'маса', 'html_елемент', 'отлагам', 'mesa', 'таблична', 'платото', 'табличен_масив', 'етикет', 'отсроча'}
tail	{'dorsoventral', 'midclavicular_линия', 'подрязвам', 'опашката', 'aboral', 'ventrolateral', 'вентралната', 'условия_за_локализацията', 'shadower', 'гъз', 'ипсилатералните', 'края_на_опашката', 'опашка_монтаж', 'глутеалната_област', 'тура', 'зад', 'кифлички', 'опашката_ендър', 'седалище', 'keister', 'опашка', 'цъкам', 'dorsolateral', 'вата_за', 'опашни_площи', 'derriere', 'преследвам', 'контралатерална', 'tailender', 'гоня', 'задница', 'tail', 'бедрата', 'кърма', 'апикална', 'кърма_на_кораб', 'задник', 'задния_край', 'след_като_част', 'заместници', 'задната', 'дисталния', 'tooshie', 'опа́шка', 'кърмата', 'caudally', 'откриването_освен_ако_изрично', 'отзад', 'опашните_плоскости', 'дупе', 'опашната', 'дупак', 'плантарна', 'дирник'}
taste	{'основен_вкус', 'вкус_възприятие', 'опитам', 'вкусовото_възприятие', 'дегустация', 'вкусови_модалност', 'вкусвам_с_наслада', 'опитвам', 'основни_вкусове', 'склонност', 'чувство_за_вкус', 'сляпа_дегустация', 'изкуствени_ароматизатори', 'натурални_аромати', 'дегустация_на_вино', 'пробвам', 'taste', 'вкусово_усещане,', 'буке́т', 'изкуствени_аромати', 'вкусвам', 'предпочитане', 'вкусови', 'дъх', 'овкусител', 'вкус', 'вкусово_усещане', 'дегустирам', 'nowhere', 'вкуся', 'предпочитания', 'кисел_вкус', 'основни_вкуса'}
team	{'ансамбъл', 'ансамбъла', 'отборните_спортове', 'група', 'бенд', 'рок_група', 'поп-рок_банда', 'rock_band', 'музикална_група', 'рок_банда', 'соло_артист', 'отбор', 'спортен_отбор', 'музикален_ансамбъл', 'рок_банди', 'музикален_състав', 'team', 'отборен_спорт', 'поп_група', 'тим', 'инструментален_ансамбъл', 'соло_проект', 'екип'}
texture	{'текстура', 'macrotexture', 'усещане_в_устата', 'тъкан', 'текстуриране', 'музикална_текстура', 'текстура_картографиране', 'материя', 'mouthfeel', 'текстура_карта'}
that	{'онова', 'оная', 'онази', 'онуй', 'онзи', 'thaat', 'оня', 'толкова'}
there	{'тук', 'натам', 'нататък', 'ната́тък', 'там', 'ната́м', 'има'}
they	{'they', 'xe', 'kсенон', 'те', 'ксенон', 'атомен_номер_54', 'двата_пола_местоимение'}
thick	{'всред', 'дебел', 'гъст', 'дебе́л'}
thin	{'тънък', 'слаб', 'тъ̀нък', 'тънки', 'разреждам', 'разредя'}
think	{'think', 'си_представим', 'по́мня', 'мисля', 'ми́сля', 'предполагам', 'смятам', 'мисли', 'мозъчна_дейност', 'мисъл', 'възнамеряват', 'вярвам', 'изпълнението', 'считам', 'сещам_се', 'спомням_си', 'размишление', 'припомня_си', 'замислям', 'припомням_си', 'мислене', 'мисловния_процес'}
this	{'мен', 'thinis', 'ме', 'мене', 'ми', 'this', 'това'}
three	{'пронг', 'succeeder', 'трима', '3', 'bob_sinclar', 'тристишие', 'ternion', 'seventeen_seconds', 'трикомпонентен', 'achiever', 'три', 'двойка-ace', 'three', 'santana_iii', 'terzetto', 'боб_синклер', 'prong', 'тройка', 'iii'}
throw	{'хвърлят', 'объркам', 'изпускателната_инсулт', 'хвъ́рлям', 'обърквам', 'даде', 'инсулт', 'оплета', 'духови_инструменти', 'хвърлям', 'камера_инсулт', 'духов_инструмент', 'мятам', 'има', 'заплитам', 'заплета', 'проведе', 'компресия_инсулт', 'оплитам', 'хвърля', 'хвърли', 'хвърля_жонглиране', 'метна'}
tie	{'равенство', 'завърша_на_равно', 'свързвам_се', 'завършвам_на_равно', 'свържа', 'вратовръзки', 'вържа', 'linkup', 'връзвам', 'завързвам', 'жп_вратовръзка', 'crosstie', 'свързвам', 'присъединявам_се', 'тай-', 'съединя', 'сближавам_се', 'сближа_се', 'вратовръзка', 'връзка', 'свръзка', 'вратовръ̀зка', 'плоча_песен', 'съединявам', 'сдвоявам', 'траверси', 'жп_спален_вагон', 'напречна_греда', 'врата_вратовръзка', 'траверса', 'обединявам'}
time	{'път', 'прост_път', 'time', 'напрегната', 'време', 'музикален_време_подпис', '4/4', 'глаголно_време', 'напрегнат', 'измеря', 'такт', 'y_not', '6/8_време', 'polymeter', 'час', 'тактова_честота', 'валс_време', '12/8', 'м', 'in_my_own_words', 'pacific_ocean_blue', 'крушка', 'anastacia', 'ранната_вселена', 'вре́ме', 'двуделен', 'време_подпис', 'подписи_време', 'тайм', '2/4_време', 'списание_тайм', "scatman's_world", 'време_интервал', 'съединение_време', 'часовника', 'часовник_сигнал', 'неравноделен_размер', 'hypnotica', 'неравноделен_такт', 'измервам', 'четвъртото_измерение', 'лишаване_от_свобода', 'космологичната_време', 'тактов_сигнал', 'такта', 'импулс', 'поредица_от_събития', '4/4_време', 'измервам_време'}
tongue	{'lengua', 'естествените_езици', 'естествения_език', 'glossolalia', 'лингва', 'tongue', 'телешки_език', 'естествен_език', 'езици', 'езика', 'glossa', 'език', 'говорене_на_езици', 'глосолалия'}
tool	{'инструме́нт', 'софтуерен_инструмент', 'хуй', 'инструмент_за_развитие', 'tool', 'тул', 'кур', 'инструмент', 'сечиво', 'инструменти', 'софтуерни_инструменти', 'оръдие', 'инструменти_за_разработка_на_софтуер', 'инструмент_за_разработка_на_софтуер', 'инструмент_за_програмиране'}
tooth	{'зъб', 'зъбец', 'зъби'}
toy	{'chatoyancy', 'yello', 'играчки', 'toyline', 'игра́чка', 'йело', 'играчка_куче', 'toy', 'секс_играчки', 'играчка', 'лъскав'}
