ability	{'capacitate', 'capacitatea', 'aptitudine', 'destoinicie', 'iscusință', 'abilitate', 'potențial', 'pricepere', 'aptitudini', 'putință', 'iscusință_abilitate'}
leg	{'crac', 'partea_inferioară_a_piciorului', 'picior_rupt', 'membrelor_inferioare', 'picior_cuier', 'cru-uri', 'două_picioare', 'ramnificație', 'cu_două_picioare', 'picior_uman', 'fază', 'lemn_picior', 'membru_inferior', 'picior', 'cravată_cu_două_picioare', 'membruinferior', 'picioarele', 'etapă', 'pegleg', 'anatomia_membrelor_inferioare', 'ramură', 'gambă', 'piciordelemn', 'creangă'}
level	{'nivelul_de_experiență', 'comuna_levél,_ungaria', 'etaje', 'nivel', 'punct', 'grade', 'dărâma', '[se]_nivela', 'poveste', 'etaj', 'nivelă_cu_bulă_de_aer', 'levél', 'puncte_de_experiență', 'grad_evolutiv', 'treaptă', 'nivelăcubuledeaer', 'nivelă', 'level', 'nivela', 'etapă', 'strâns', 'faceunacupământul', 'punct_de_experiență', 'boloboc', 'levél,_győr-moson-sopron', 'cat', 'notă', 'monoton', 'nivelul', 'drept', 'adema', 'cumpănă', '[se]_netezi', 'podea_de_numerotare', 'comuna_levél,_győr-moson-sopron', 'șes', 'plan', 'îndrepta', 'grade_la_scară', 'comuna_levél', 'echilibrat', 'egal', 'aținti', 'etajul_al', 'fază', 'revista_level', 'stadiu', 'suprafațăorizontală', 'gradul', 'ținti', 'plat', 'grad', 'neted', 'levél,_ungaria', 'nivele', 'punctul', 'suprafață_orizontală', 'indica'}
liar	{'republic', 'liră', 'prevaricator', 'lire', 'liar', 'mincinos', 'louder_now', 'so_far,_so_good..._so_what!', 'glory'}
lie	{'funda', 'prezentație', 'sta', 'lie', 'rămâne', 'fundamenta', 'trygvelie', '[se]_găsi', 'neadevăr', 'inexactitate', 'neexactitate', 'trygve_lie_halvden', 'minciună', 'a_sta_întins', 'trygve_lie', 'the_lie', 'a_fi_situat', 'malpresentation', 'consta', 'trygvehalvdenlie', 'awake', 'zăcea', 'staculcat', '[se]_afla', 'minți', 'falsitate', 'spuneminciuni', 'poziție', 'staîntins', 'rămâneculcat', 'sta_culcat', 'falsitatea', '|se|_baza', 'a_se_găsi', 'fi', 'a_sta_orizontal', 'se_culca', 'fiîntins', 'absolute_first_album'}
light	{'sclipire', 'nivelul_de_luminozitate', 'lampă', 'în_hristos', 'scânteie', 'vizibilă_radiații', 'lampă_electrică', 'nisipos', 'aprinzător', 'dajosdepecal', 'lampagiu', 'fereastra', 'lumina_vizibilă', 'incumba', 'neaccentuat', 'cumpătat', 'far', 'în_lumina', 'luminozitate', 'lampăelectrică', 'lumină', 'cădea', 'fereastră', 'corp_de_iluminat', 'inițiator_pirotehnic', 'light_yagami', 'desfrânat', 'funcție', 'reveni', 'brichete', 'clar', 'aprindeoțigară', 'aprinde', 'semnal', 'lumina', 'dietetic', 'lumina_interioara', 'aton', 'atonic', 'luminanță', 'promiscuu', 'reflexia_luminii', 'yagami_light', 'yagami_raito', 'atribui', 'ușor', 'da', 'destrăbălat', 'radiațievizibilă', 'pastelat', 'aprindere', 'a_ațâța', 'brichetă', 'lumina_interioară', 'sursă_de_lumină', 'luminos', 'undă_a_luminii', 'light', 'iveală', 'ilumina', 'sursădelumină', 'leșinat', 'descărcadepecal', 'depravat', 'strălucire'}
live	{'vita', 'cunoaște', 'subzista', 'turneu_de_concerte', 'în_viață', 'r.e.m._live', 'simian_mobile_disco', 'fi', 'concert_live', 'duceoviață', 'live!', 'viata', 'viață', 'viețui', 'activ', 'direct', 'viaţa', 'rezista', '|se|_ține', 'locui', 'ști', 'pigmy_love_circus', 'aprins', 'jennifer_lópez', 'built_to_spill', 'a_supraviețui', 'dura', 'jennifer_lynn_lopez', 'live_at_the_marquee', 'a_avea_locuință', 'viaţă', 'supraviețui', 'jennifer_lopez', 'trăi', 'concerte', 'live', 'experimenta', 'viața', 'trăiesc', 'popula', 'trăiască', 'sprinten', 'concert_de_muzică', 'aveaoviață', 'muzică_live', 'ține', 'concertul', 'concert', 'viu'}
liver	{'ficatul_la_păsări', 'ficat', 'hepatică', 'locuitor', 'trăitor', 'ficat_de_vita', 'ficatul'}
long	{'dori', 'william_henry_long', 'bloody_roar', 'tânji', 'mult_timp', 'long', 'districtul_long,_thailanda', 'long,_somme', 'sănătos', 'districtul_long,_thailand', 'districtul_long', 'amphoe_long,_thailand', 'longa', 'bun', 'lung', 'petermenlung', 'mult', 'districtul_long,_phrae', 'jindui'}
louse	{'biting_louse', 'nimeni', 'păduchi', 'artropode', 'supt_louse', 'ftiraptere', 'murdărie_mingea', 'arthropod', 'pasăre_louse', 'păduche', 'phthiraptera', 'loază', 'nimic', 'artropoda', 'artropod', 'arthropoda', 'plantelor_louse'}
magic	{'magic!', 'dame_kiri_te_kanawa_janette', 'parseltongue', 'artefact', 'alagaësia', 'taumaturg', 'minuni', 'magie:_colecția_definitivă_de_povestiri_fantastice', 'taumaturgíe', 'iluzioniști', 'truc_de_magie', 'dame_kiri_te_kanawa', 'prestidigitație', 'oglindă_într-o_direcție', 'schimbării', 'take_me_home', 'octarine', 'thaumaturgy', 'thaumaturgic', 'truc_magic', 'vrajă', 'te_kanawa', 'planeswalker', 'pluto', 'farmec', 'lumea_disc', 'iluzionist', 'taumaturgul', 'make_a_scene', 'justin_timberlake', 'magie_scenică', 'tric', 'taumaturgie', 'magician', 'magie_etapă', 'prestidigitație_truc', 'kiri_te_kanawa', 'driving_rain', 'secret_time', 'magie', 'magic', 'schimbarea', 'magie_truc', 'leandro_marín', 'telescopul_magic', 'magie:_colecţia_definitivă_de_povestiri_fantastice', 'ciclul_moştenirea', 'ciclul_moștenirea', 'fermecat', 'octiron', 'vrăjitorie', 'occlumency', 'iluzionism', 'animagus', 'axel_rudi_pell'}
man	{'oameni', 'femeie-ostaș', 'militară', 'ființăumană', 'ministerul_apărării_naţionale', 'ministerul_apărării_naționale', 'speciei_umane', 'ființă_umană', 'man,_coasta_de_fildeş', 'omul', 'iubit', 'atanatári', 'lacheu', 'mascul', 'lumea', 'homo', 'rețea_în_zona_metropolitană', 'ființe_umane', 'isle_of_man', 'bărbat', 'figură', 'man_se', 'man_ag', 'omenime', 'domn_domn_a_lui', 'dunlending', 'umanitatea', 'ființa_umană', 'pământ', 'dunlendings', 'reţea_metropolitană', 'man', 'persoană', 'umană', 'ministerul_apărării', 'bărbați', 'wen', 'prieten', 'homo_sapiens_sapiens', 'orson_welles', 'piesă', 'homo_sapiens', 'adult_de_sex_masculin', 'manfred_gnadinger', 'militar', 'fecior', 'ființă', 'barbat', 'maturizarea_sexuală', 'umanitate', 'rețea_metropolitană', 'valet', 'valet_de_chambre', 'pagini_man', 'mapn', 'omenire', 'wan', 'rasă_umană', 'insula_man', 'maturi_sexual', 'relient_k', 'rasăumană', 'cornelis_de_man', 'lume', 'metropolitan_area_network', 'man,_coasta_de_fildeș', 'om', 'rasa_umană', '[se]_ocupa', 'uman', 'militară_om', 'ostaș'}
many	{'mány,_fejér', 'comuna_mány', 'mány,_ungaria', 'many', 'multe', 'mány', 'comuna_mány,_fejér', 'comuna_mány,_ungaria'}
marriage	{'căsătorie', 'matrimonial', 'neant', 'ceremonie_angajament', 'căsătorire', 'ceremonia_de_nunta', 'unitate', 'căsătorit_cupluri_care', 'nimic', 'uniune_conjugală', 'ceremonia_de_căsătorie', 'inexistență', 'casatorie', 'nunti', 'căsătorii', 'cuplu_căsătorit', 'mariaj', 'nulitatea', 'căsătoria', 'conjugal_relație', 'hymeneals', 'uniune', 'menaj', 'nuntă', 'casă', 'ceremonienupțială', 'neființă', 'unire', 'nihility', 'soț_și_soție', 'cununia_civila', 'căsnicie', 'nunta'}
material	{'materialistă', 'materialismul', 'fizic', 'material', 'material_țesut', 'chestii', 'pânză', 'materie', 'textile', 'material_textil', 'textil', 'materialism', 'physicalism', 'corporal', 'stofă', 'țesături', 'țesătură', 'materialiști'}
mathematical	{'matematici', 'matematic', 'matematică', 'matematica'}
meat	{'nitty-nisipos', 'esență', 'știința_de_carne', 'carne_procesată', 'substanță', 'shawn_stasiak', 'esențe', 'carne', 'miez', 'we_will_rock_you', 'esenţă', 'inima_si_suflet'}
mechanism	{'mașinărie', 'echipamente_de_capital', 'chimice_mecanism', 'mecanism', 'mecanismele', 'mecanismul_de_reacție', 'mecanism_de_reacţie', 'mecanismchimic', 'maşină', 'dispozitiv', 'mecanism_de_reacție', 'mecanisme', 'mecanismul', 'sistem', 'mașini', 'modalitate', 'meca\xadnism', 'aparat', 'mașină'}
medication	{'clase_de_medicamente', 'farmaceutice', 'rescue', 'medicamente', 'preparatfarmaceutic', 'medicamente_farmaceutice', 'doctorie', 'droguri_farmaceutice', 'medicație', 'version_2.0', 'medicament', 'farmaceutic', 'medicamentos_de_droguri'}
money	{'ban', 'bani', 'pecuniare', 'money', 'avut', 'history:_past,_present_and_future,_book_i', 'monetare', 'the_sound_of_girls_aloud', 'monedă', 'monedănațională', 'avuție', 'avere'}
moon	{'jupiter', 'saturn', 'synodic_luni', 'luni', 'lunaţie', 'pierdelegătura', 'lumina_lunii', 'moon', 'marte', 'luna', 'lunatie', 'venus', 'pluto', 'tipul_de_lună', 'visa', 'soare', 'luni_draconică', 'kyôko_fukada', 'satelit_natural', 'lunar_luni', 'lumină_de_lună', 'satelit', 'mercur', 'sateliți_naturali', 'luminădelună', 'soarele', 'lună', 'ficucapulînnori', 'clar_de_lună', 'razădelună', 'lunii', 'lunație', 'luni_synodic', 'sun_myung_moon', 'lunăsinodică'}
mother	{'călugărițe', 'ana', 'a_chorus_line', 'earthbound', 'mama', 'maică', 'drojdie', 'sisters_of_avalon', 'femeie-mamă', 'călugărița', 'mama_pământ', 'mamă', 'monahie', 'glia-mumă', 'linia_chorus', 'mamapământ', 'mother', 'procrea', 'concepe', 'mireasadomnului', 'călugăriță', 'mame', '|se|_îngrijicaomamă', 'monahă', 'face', 'zămisli', 'sursădeinspirație', 'mamă!', 'pământ', 'mireasaluidumnezeu', 'mother!', 'synchronicity'}
mountain	{'mountain', 'destul_de_un_pic', 'sumă_frumușică', 'munte', 'munţi', 'afacere_bună', 'munți', 'grămadă', 'mare_afacere', '4-8-2', 'potop', 'mulțime', 'passel', 'duium', 'buna_afacere', 'mickle', 'sumedenie', 'rotire', 'grup_montan', 'sahtu', 'muckle', 'masiv_muntos'}
mouth	{'vorbitor', 'rima_oris', 'backtalk', 'cavitate_bucală', 'periorala', 'nod', 'insolență', 'impertinent', 'estuar', 'impertinență', 'labium', 'gura', 'vârful', 'confluență', 'orală_cavitatea', 'orală_fisura', 'mesteca', 'vorbi', 'sass', 'vârf', 'гурэ', 'gură', 'spune', 'cavitatea_bucală', 'înapoi_vorbi', 'dadinbarbă', 'obrăznicie', 'cavităţii_orale', 'cavitatebucală', 'cavitate_orală', 'atingecugura', 'zice', 'cavității_orale', 'gurădevărsare'}
movement	{'grup', 'mișcare_socială', 'acțiune_de_grup', 'purgare', 'acțiuni_de_grup', 'ieșire', 'mișcaresocială', 'defecație', 'mutare', 'defeca', 'excrement', 'grămadă', 'armată', 'the_pillows', 'mecanism', 'mulțimea', 'she_wolf', 'activitatea_locomotoare', 'mișcare', 'excremente', 'mișcări_sociale', 'excremente_de_păsări', 'materii_fecale', 'fecale', 'mulțime', 'intestinului_circulație', 'materie_fecală', 'aparentă_circulație', 'campanie', 'parte', 'materie_fecale', 'motilitate', 'mişcare', 'mișcare_filosofică', 'motilitatea', 'treabamare', 'scaun', 'fenomenul_phi', 'materiefecală', 'dezmăț', 'caca', 'cauză', 'bati_joc', 'mișcareaparentă', 'curent_filozofic', 'înclinație', 'mișcareartistică', 'movement', 'curent_filosofic', 'rahat', 'miscarea_social', 'locomoția', 'deplasare', 'locomoție_animală', 'purgație', 'schimbareapoziției', 'motil', 'mișcare_de_artă', 'arta_circulație', 'front', 'căcat', 'aparentă_de_mișcare', 'mișcare_artistică', 'locomoție', 'curent_artistic', 'defecare', 'înclinare', 'defecat', 'pornire', 'artistice_circulație', 'tendință'}
movie	{'filme', 'mișcare_imagine', 'cinema', 'film', 'full-motion_video', 'imagini_în_mișcare_spectacol', 'film_de_teatru', 'imagine_de_mișcare_majoră', 'marele_ecran', 'mișcare_imagine-spectacol', 'peliculă', 'imagine_în_mișcare', 'picture_motion', 'pe_marele_ecran', 'motion_picture', 'kites'}
music	{'muzică', 'muzica', 'eufonie', 'melodie', 'country-rock', 'the_music', 'rock_țară', 'music', 'country_rock'}
name	{'cunoaște', 'recunoaște', 'substantiv_propriu', 'numemare', 'publică_figura', 'pomeni', 'gens', 'aminti', 'enumera', 'gintă', 'locuțiune_substantivală', 'desemna', 'construcțienominală', 'spunenumele', 'învesti', 'f_teza', 'marcaj', 'faimă', 'identifica', 'locuţiune_substantivală', 'pune', 'nume_propriu', 'spune', 'diagnostica', 'renume', 'reputație', 'boteza', 'alege', 'numi', 'personaj', 'nume', 'nume_computer', 'nume_proprii', 'denumi', 'înșirui', 'ginții', 'denumire', 'menționa', 'înșira', 'substantive_proprii', 'hidroxid_de_bor', 'nominală_fraza', 'expresie_substantivală', 'semnala', 'identificator', 'identificatori', 'cita', 'id', 'numele', 'personalitate', 'nominal', 'numepropriu', 'indica'}
narrow	{'comprima', '|se|_strânge', '|se|_strâmta', '|se|_îngusta', 'specifica', 'strâmtoare', 'restrâns', '[se]_strânge', 'mic', '|se|_specializa', 'strâmt', 'obtuz', 'îngust'}
nation	{'statele_mexicane', 'statele_mexicului', 'țări', 'state_suverane', 'stat_independent', 'țară', 'naţiune', 'discworld', 'res_publicații', 'carryameliamoorenation', 'stat_mexican', 'ţara', 'națiune', 'stat_național', 'carry_nation', 'nație', 'guvernamentale', 'lumea_disc', 'la_nivel_național', 'țara', 'statul_mexican', 'stat', 'kendrick_lamar', 'carry_nation_amelia_moore', 'stat_suveran', 'național', 'națiuni', 'teoria_declarativ_al_statalității', 'statele_germaniei', 'ţări', 'neam', 'landurile_germaniei', 'organizarea_administrativă_a_mexicului', 'politic_organism', 'patrie', 'natiune', 'tipuri_de_state', 'societatea_politică', 'nation', 'land', 'ţară', 'carrynation', 'seminție'}
near	{'zgârie-brânză', 'aproape', '[se]_apropia', 'near_shoemaker', 'apropiat', 'intim', 'familiar'}
neck	{'|se|_mângâia', 'nixes', 'gât', 'nixe', 'gât_de_deschidere', 'grumaz', '|se|_îmbrățișa', 'ceafă', 'limbădepământ', 'nuchal'}
new	{'pufan', 'proaspăt', 'new', 'nou', 'fărăprecedent', 'original', 'ultramodern'}
news	{'buletindeștiri', 'stiri_spectacol', 'noutate', 'informație', 'ştire', 'stiri_programului', 'ştiri', 'cuvânt', 'știre', 'știri', 'raport_de_știri', 'stirii', 'news', 'veste'}
night	{'eliewiesel', 'mijloc_de_noapte', 'noapte', 'seară', 'nott', 'somn', 'miez_de_noapte', 'elie_wiesel', 'întunecime', 'wiesel', 'eliezer_wiesel', 'miezul_nopții', 'nox', 'nyx', 'pe_timp_de_noapte', 'night', 'înserare', 'albastru_de_miezul_nopții', 'nótt', 'întuneric', 'мезул_нопций', 'noaptea'}
noise	{'radiatia_cosmica_de_fond', 'undăacustică', 'val_de_sunet', 'radiația_de_fond_de_microunde_cosmice', 'interferențe', 'audio', 'radiația_cosmică_de_fundal', 'cmb', 'zgomotul_de_imagine', 'vacarm', 'sunet_de_poluare', 'atmosferică_statică', 'poluare_sonoră', 'radiaţia_de_fond_de_microunde_cosmice', 'paraziți_atmosferici', 'radio,_zgomotul', 'radiației_cosmice_de_fond', 'muzica_de_zgomot', 'radiaţie_cosmică_de_fond', 'sunete', 'facegălăgie', 'radiaţia_cosmica_de_fond', 'cbr', 'zgomot', 'poluare_acustică', 'răsunet', 'stochasticity', 'zgomotul_electric', 'undele_sonore', 'radiația_cosmica_de_fond', 'radiația_de_fond', 'zgomotul_electronic', 'radiaţia_cosmică_de_fond', 'poluării_fonice', 'undă_sonoră', 'radiațiecosmicădefond', 'noise', 'caracteraleatoriu', 'cuptor_cu_microunde_cosmice_de_fond_radiații', 'radiațiilor_cosmice_de_fond', 'poluaresonoră', 'elementary_os', 'cu_undă_acustică', 'undăsonoră', 'perturbație', 'facezgomot', 'radiaţia_cosmică_de_fundal', 'undă_acustică', 'parazit', 'larmă', 'cuptor_cu_microunde_cosmice_de_fond', 'cmbr', 'zgomot_de_semnal', 'răsuna', 'haphazardness', 'zgomotul_industrial', 'radiația_cosmică_de_fond', 'radiație_cosmică_de_fond', 'radiaţia_de_fond', 'poluare_fonică', 'strigăt', 'sunet', 'zgomot_industrial', 'gălăgie'}
nose	{'|-și|_birui', 'bot', 'fragrancy', 'cavitatea_nazală', 'simți', 'nas', 'buchet', 'nasul_extern', 'duze', 'aromatice', '|-și|_depăși', '|-și|_înfrânge', 'duza', 'nasul', 'răzbi', 'arome', 'parfum', 'olfactiv_organe', 'mireasmă', 'aromă', 'nas_uman', 'lungime_de_nas', 'palmă', 'miros_plăcut', 'gore', 'datârcoale', 'aromat', 'ștuț', 'aroma', 'frecanasurile', 'organolfactiv', 'adulmeca', 'nasul_uman', 'mirosi', '|-și|_învinge'}
not	{'negație_logică', 'poarta_logica', 'logica_poarta', 'negare', 'poartălogică', 'and', 'logica_discret', 'porți_logice', 'poartă_logică', 'nu', 'negație'}
obligation	{'instrumentdecredit', 'obligația', 'făgăduință', 'creanță', 'vorbă', 'promisiune', 'promisiunea', 'obligație', 'datorie', 'datoria_instrument', 'obligațiuni', 'certificat_de_îndatorare', 'răspundere', 'cuvânt', 'legământ', 'obligațiile', 'responsabilitatea', 'făgăduială', 'responsabilitate'}
old	{'vechi', 'fost', 'odinioară', 'comuna_old,_ungaria', 'bătrân', 'old,_ungaria', 'comuna_old,_baranya', 'comuna_old', 'old', 'vechime', 'old,_baranya'}
one	{'câștigător', 'necomparabil', 'one', 'vertical_man', 'unul', 'identitatea_multiplicativ', 'succeeder', 'planetshakers', 'unitate', 'armin_van_buuren', 'realizator', 'neegalabil', 'vampire_weekend', 'învingător', 'the_one', 'sextuplă', 'уну', 'incomparabil', '1', 'neasemuit', 'neîntrecut', 'neasemănat', 'una', 'tuplu', 'inconfundabil', 'n-tuplu', 'inegalabil', 'supposed_former_infatuation_junkie', 'tupluri', 'unitar', 'unu', 'as'}
other	{'alt', 'special', 'deosebit', 'alte', 'altele'}
pain	{'iritare', 'chinui', 'doare_curul', 'îndurera', 'doare', 'chin', 'dureroasă_senzație', 'forever', 'om_plictisitor', 'king_of_da_ghetto', 'persoană_enervantă', 'durere', "game's_pain", 'durea', 'pacoste', 'pisălog', 'senzațiedureroasă', 'suferință', 'mâhni', 'ține', 'pain', 'le_pain', 'dureri_de_senzație'}
personality	{'personality', 'personalitate', 'personalitatea'}
philosophy	{'doctrina', 'filozofic', 'dogmatism', 'filozoafă', 'școală_de_gândire', 'ism', 'filosofie', 'filosofia', 'filozof', 'doctrinară', 'școală', 'filosofică_sistem', 'doctrinele', 'filosofice', 'învățătură', 'filozofie', 'filosof', 'doctrină'}
picture	{'descriere_pitorească', 'pictori', 'pictură', 'pictura_cuvânt', 'desen', 'foto', 'parseltongue', 'film_de_teatru', 'ilustrat', 'tablou', 'materie_pictorial', 'picture_motion', 'închipui', 'peliculă', 'imagina', 'motion_picture', 'fotograf', 'avatar', 'schimbării', 'imagine_mentală', 'pictura', 'cinema', 'imaginementală', 'întruchipare', 'imagine_de_mișcare_majoră', 'cobol', 'fotografie', 'imagini', 'ilustrație', 'filme', 'mișcare_imagine', 'reprezenta', 'picturi', 'poză,_poze', 'grafică', 'imagine_în_mișcare', 'imaginea', 'pe_marele_ecran', 'kiss', 'schimbarea', 'imagini_mentale', 'mentale_imagine', 'cărți_ilustrate', 'definire', 'film', 'imagini_în_mișcare_spectacol', 'poză', 'imagine', 'cuvânt-pictura', 'ilustrații', 'occlumency', 'marele_ecran', 'mișcare_imagine-spectacol', 'scenă', 'pictura_clasică', 'animagus', 'înfățișa', 'fotografii', 'fotografia', 'imagine_de_cont', 'întrevedea', 'caracterizare', 'ilustrare', 'vedea'}
pig	{'inspecție_ecartament_conducte', 'porc_domestic', 'bloc', 'shote', 'godac', 'purcel', 'mistreț', 'nespălat', 'porcul', 'vier', 'polițist', 'pig', 'semăna', 'porc', 'porculeț', 'porcan', 'făta', 'râmător', 'ciuf', 'sus', 'nesimțit', 'mitocan', 'shoat', 'patdeturnare', 'scroafă', 'conjoiner', 'sus_scrofa_domestica', 'carne_de_porc', 'ghețarul_pine_island', 'porcine', 'mistreţ', 'porc_de_casă', '[se]_lăcomi', 'hăpăi', 'porci', 'mistreţul', 'porci_sălbatici', 'cocină_de_porci', 'devora', 'gheţarul_pine_island', 'mistrețul', 'purceluș', 'caraliu', 'conjoiners', 'scrofa', 'porc_sălbatic', 'suine', 'curcan', 'porcmistreț', 'copoi', 'porc_mistreț', 'sticlete', 'mistretul', 'neîngrijită_persoană', 'purcea', 'gabor', 'slob', 'pudge', 'poarcă', 'sus_scrofa', 'porc_sălbatici', 'porcușor', 'pigging'}
plan	{'planificarea_arhitectural', 'planuri', 'planarhitectural', 'plan', 'planul', 'proiecta', 'design', 'planul_arhitectural', 'plan,_isère', 'gând', '[se]_gândi', 'program', 'plănui', 'manager_de_program', 'tinde', 'schemă', 'desene', 'intenționa', 'planifice', 'schiță', 'planifica'}
plant	{'combinat', 'a_plantelor', 'linia_de_asamblare', 'trigun_maximum', 'a_plasa_un_spion', 'vegetația', 'punebazele', 'fabrica', 'feitoria', 'linie_de_asamblare', 'terminologie_wrestling', 'linie', 'regn_plantae', 'funda', 'sistemdelucruînlinie', 'factorij', 'implanta', 'înfige', 'plantelor_de_viață', 'instaura', 'planta', 'vegetabilia', 'pune', 'regnum_plantae', 'vegetaţia', 'fixa', 'linii_de_asamblare', 'fonda', 'uzină', 'plantae', 'linie_de_producție', 'propune', 'momeala', 'înțepeni', 'fabrică', 'instalație_industrială', 'vegetație', 'stabili', 'instalații_industriale', 'fabricare_a_plantelor', 'flagrant', 'shill', 'plant', 'plantă', 'regnul_plantae', 'floras', 'plante', 'producție-line', 'specii_de_plante', 'vegetaţie', 'trigun', 'plantele', 'înființat', 'lucrări', 'linie_de_montaj', 'muncitor', 'înscenare', 'întemeia', 'fabrici', 'vegetatie', 'sădi', 'prinde', 'floră', 'plasa', 'vegetală', 'flora', 'înființa'}
play	{'[se]_juca', 'circulație', 'joaca_perioadă', 'joacă', 'pariuri', 'piese_de_teatru', 'lucraredramatică', 'au', 'scrieredramatică', 'hârjoneală', '|se|_juca', 'pâlpâit', 'joaca', 'faceprinsoare', 'joc_de_noroc', 'recul', 'viețui', 'mânui', 'pâlpâială', 'reacție', 'tactică', 'perioada_de_joc', 'bătaiedejoc', 'aduce', 'dramă', 'operădramatică', 'rând', 'produce', 'mânuirea_sabiei', 'sări', 'jocul', 'drame', 'folosire', 'jocuri_de_noroc', 'joc', 'play_store', 'jocdenoroc', 'pâlpâitură', 'jocdecărți', 'manevră', 'jocuri', 'țâșni', 'piesă', 'trăi', 'bisa', 'teatru', 'interpreta', 'play', 'piesă_de_teatru', 'întâlni', 'punerămășag', 'intona', 'lărgime', 'frâuliber', 'hârjoană', 'stageplay', 'dramaturgie', 'haz', 'pâlpâire', 'google_play_store', 'miza', 'piesa_de_teatru', 'executa', 'zbengui', 'dramatică_joc', 'paria', '|se|_distra', 'sclipire', '[se]_recrea', 'google_play', 'android_market', 'cânta', 'face', 'zbenguială', 'luaînderâdere', 'juca', 'mișcare', '|se|_amuza', 'gratuit_frâu', 'manevrare'}
pleasure	{'sondre_lerche', 'plăcută', 'desfătare', 'deliciu', 'pleasure_p', 'satisfacție', 'semisonic', 'încântare', 'juisare', 'plăcere'}
poor	{'paupertate', 'săracă', 'mizerie', 'limita_sărăciei', 'sărăciei_urbane', 'nevoiaș', 'mizer', 'sărăcia_voluntară', 'sărăcie_relativă', 'săraci', 'lipsă', 'jurământ_de_sărăcie', 'jalnic', 'pauper', 'trist', 'sărăcie', 'nevoiași', 'oamenii_săraci', 'rata_sărăciei', 'sărac', 'nenorocit', 'insuficient', 'nevoie', 'sărman'}
prison	{'sistemul_penitenciar', 'penitenciar', 'pokey', 'încarcerat', 'jailhouse', 'pușcărie', 'închisoare', 'arest', 'ocnă', 'închisori', 'securitate_mediu', 'instituție_corecțională', 'recluziune', 'securitate_medie', 'încarcera', 'închisoare_județ', 'ca_vai_de_lume', 'temniță', 'tom_robinson'}
professional	{'profesionalism', 'experți', 'profesionist', 'profesional', 'expert', 'specialist', 'meșter', 'cu_înfățișare_profesională', 'cunoscător', 'maistru', 'profesioniști', 'atlet_profesionist', 'profesionale', 'sportivprofesionist', 'profesionale_persoană'}
protection	{'scud', 'oblăduire', 'egidă', 'taxădeprotecție', 'învelișprotector', 'patronaj', 'asigurare', 'auspiciu', 'ocrotire', 'comerțului_de_protecție', 'protection', 'apărare', 'auspiciile', 'securitate', 'adăpost', 'acoperiș_protector', 'protejare', 'sprijin', 'protecție', 'siguranță'}
pull	{'domoli', 'puf', 'struni', 'comite', 'a_atrage', 'susținere', 'efortsusținut', 'spinteca', 'matura_inversă', 'rupe', 'rama', 'scurt_picior', 'trage', 'bataie', 'suprasolicita', 'lua', 'sprijin', 'înfrâna', 'ochire_picior', 'trăgând', 'atrage', 'sfâșia', 'mâner', 'forță', 'extrage', 'sucire', 'tras', 'jumuli', 'ține', 'pull', 'antrena', 'săvârși', 'batsmen', 'scoate'}
push	{'buton', 'duceocampanie', 'spiritîntreprinzător', 'îmboldi', 'facereclamă', 'puttichai_kasetsin', '|se|_lupta', 'îndemna', 'apăsaînainte', 'apăsare', 'push', 'împingere', 'black_and_white_america', 'înaintare', 'vinde', 'împingând', 'butonul', '[se]_strădui', 'confessions_on_a_dance_floor', 'împinge', '[se]_apropia', 'energie', 'brâncire', 'get-up-and-go', 'apăsaînfață', 'precious', 'buton_de_comandă', 'facepropagandă', 'apăsa', 'promova', 'stivă', 'impuls', 'stack', '[se]_urni'}
quality	{'trăsătură', 'calitate', 'ales', 'deosebit', 'prima-mână', 'valoare', 'particularitate', 'select', 'timbrul', 'caracteristic', 'ton', 'distins', 'schimb', 'tonul', 'caracterul', 'calibru', 'quality', 'tonul_de_culoare', 'timbral', 'atribut', 'timbru', 'calitatea', 'timbre', 'notazece', 'însușire'}
rain	{'precipitații', 'rain_lu', 'heavy_rain', 'rain', 'ploaie', 'john_colton', 'pelting', 'in_blue', 'ploile', 'apa_de_ploaie', 'ploua', 'furtuna_ploaie', 'ploaia'}
reaction	{'reacție', 'răspuns', 'reacția', 'reacție_chimică', 'reacțiune', 'reacțiechimică', 'chimic', 'reacții_chimice', 'reacția_chimică', 'reacţie_chimică', 'reaction'}
read	{'cunoaște', 'pricepe', 'auzi', 'lectură', '[se]_citi', 'studieze', 'lectura', 'read', 'studia', 'învăța', 'lua', 'citit', 'înregistra', 'citi', 'scana', 'înțelege', 'arăta', 'ști', 'citire', 'ia', 'indica'}
red	{'bolșevism', 'bolșevici', 'bolşevici', 'roşu', 'umflat', 'bolșevismului', 'cârmâziu', 'marxist', 'bolșevic', 'comunist', 'rubiniu', 'pierdere', 'anil_kapoor', 'partidului_bolșevic', 'day_&_age', 'bolsevic', 'bolşevic', 'red', 'angry_birds_blast!', 'stacojiu', 'angry_birds', 'roșu_de_cerneală', 'bolshie', 'îmbujorat', 'bolşevism', 'red_river', 'deficit', 'roșii', 'roșu', 'after_school', 'carmin'}
