ability	{'aptitude', 'förmåga'}
left	{'vänsterpartier', 'vänsterorienterade', 'vänster', 'politisk_vänster', 'kollektivistiska', 'vänsterregering', 'vänstra_hand', 'vänsterkanten', 'vänsterpolitiskt', 'vänsterpolitik', 'vänsterism', 'vänsterytter', 'vänsteroppositionen', 'vänsterparti', 'venstre,_danmark', 'esquerra_republicana_de_catalunya', 'politiska_vänstern', 'vänstern', 'vänster-lutande', 'vänsterismen', 'venstre', 'vänsterpolitiker', 'venstre,_norge'}
leg	{'förgrening', 'katet', 'peg_leg', 'omgång', 'uefa:s_cupmodell', 'membrum_inferius', 'två_ben', 'uefa-modellen', 'runda', 'mänsklig_ben', 'membrum_inferiosis', 'träben', 'crus', 'etapp', 'två-legged_match', 'benet', 'brutet_ben', 'tvåbent_slips', 'pegleg', 'nedre_extremiteten', 'nedre_extremiteterna', 'ben', 'nedre_extremiteter', 'närliggande_sida'}
level	{'berättelse', 'plan', 'horisontell_yta', 'nivå', 'ett', 'erfarenhetspoäng', 'bottenplan', 'vattenpass', 'datorspelsbana', 'dosvattenpass', 'höjd', 'adema', 'libell', 'slät', 'nivån', 'punkt', 'level', 'entrévåning', 'bottenvåning', 'våning', 'jämn', 'jämna_ut', 'graden', 'datorspelsnivå', 'mark_chavez', 'bana', 'flat', 'våningar', 'peka', 'experience_points', 'våningsplan', 'skala_grader', 'etage', 'platt', 'experience_point', 'jämna', 'slangvattenpass', 'entréplan', 'plana_ut', 'levél', 'platta_till', 'laservattenpass', 'grad', 'golv_numrering', 'utjämna', 'erfarenhetsnivå', 'våningen', 'doslibell', 'rasera'}
liar	{'glory', 'so_far,_so_good..._so_what!', 'lögnare', 'republic', 'lögnhals', 'liar', 'person_som_slingrar_sig', 'liră', 'lyra', 'lyres', 'louder_now'}
lie	{'trygve_halvden_lie', 'ligger', 'ligger_i', 'lägga_sig', 'breaking_heart', 'trygve_lie', 'awake', 'malpresentation', 'lie', 'osanning', 'ligga', 'prat', 'the_lie', 'ljuga', 'lögner', 'absolute_first_album', 'lie,_trygve', 'trygve_halvdan_lie', 'falskhet', 'libenge_airport', 'lögn'}
light	{'fönstret', 'glugg', 'energisparglas', '⊞', 'cigarettändare', 'fönsterbåge', 'pyroteknisk_initiator', 'ruta', 'kristus_inom', 'ljus', 'solskyddsglas', 'fönsteraxlar', 'fönsterband', 'lysförmåga', 'byggnadsglas', 'light_yagami', 'light', 'bakgrund', 'tända', 'inner_light', 'fönstersmyg', 'fönster', 'ljusvågor', 'fönsteraxel', 'synligt_ljus', 'planglas', 'ljuset', 'air', 'lågenergiglas', 'ljusreflektion', 'lättare', 'fönsterglas', 'fyrluftsfönster', 'fönsterruta', 'tändare', 'engångständare', 'demontera', 'fönsterrad', 'tnfsf14', 'fönsternisch', 'twinbeeserien', 'licht', 'antända', 'luminans', 'elektrisk_lampa', 'synlig_strålning', 'blek', 'fönsterrader', 'ljusvåg', 'inre_ljuset', 'belysa', 'tvåluftsfönster', 'lätt', 'ljusstyrka', 'energiglas', 'ljuskälla', 'vindöga', 'ljus_inom', 'lista_över_air-avsnitt', 'lampa'}
live	{'leva', 'jennifer_lynn_lopez', 'the_klinik', 'lever', 'lopez', 'simian_mobile_disco', 'livekonsert', 'jlo', 'jennifer_lópez', 'pigmy_love_circus', 'live', 'turné', 'överleva', 'uppleva', 'levande_musik', 'scenshow', 'konsert', 'smoking_popes', 'ac/dc_live', 'konserterade', 'liv', 'live!', 'ojani_noa', 'built_to_spill', 'konsertera', 'spelning', 'scénshow', 'the_smoking_popes', 'lopez,_jennifer', 'levande', 'livet', 'pågå', 'j.lo', 'jennifer_lopez', 'konserter', 'konserten', 'biota', 'klinik', 'bo', 'live_at_the_marquee', 'livets_villkor', 'mott_the_hoople_live', 'live_ep', 'r.e.m._live', 'kyrkokonsert'}
liver	{'lever', 'nötlever', 'hepar', 'levern'}
long	{'long', 'långsmal', 'william_henry_long', 'längta_efter', 'länge', 'long,_somme', 'longa', 'långt', 'longs_distrikt', 'längta_tillbaka_till', 'hög', 'längta_till', 'bloody_roar', 'säker', 'längta', 'lång'}
louse	{'lus', 'löss', 'leddjur', 'mallophaga', 'fågel_lus', 'gnet', 'djurlöss', 'phthiraptera', 'suger_lus', 'växt_lus', 'artropoder', 'fågellöss', 'gnetter', 'leddjuren', 'smuts_boll', 'hårlöss', 'arthropoda', 'bitande_lus'}
magic	{'amortentia', 'metamorfmagus', 'magi_i_fiktion', 'den_levande_död-brygden', 'priori_incantatem', 'magisk', 'fiende-spegel', 'magi', 'transferens', 'chokladgrodkorten', 'driving_rain', 'weasleyklocka', 'chokladgroda', 'taskspeleri', 'skelettoväx', 'hemlighetssensor', 'dame_kiri_te_kanawa', 'chokladgrodskorten', 'flytt-nycklar', 'en_spegel', 'fiendespegel', 'magiskt_beskyddande', 'make_a_scene', 'magiska_föremål_i_harry_potter', 'bertie_botts_bönor', 'octiron', 'osynlighetsmantlar', 'legilimency', 'weasley-klocka', 'minnesåll', 'erisedspegeln', 'flyttnycklar', 'trick', 'polyjuice', 'polyjuice_elexir', 'besvärjelse', 'trollkarls-schack', 'te_kanawa', 'fiende_spegel', 'ellesmera', 'naturmagi', 'chokladgrodekort', 'erised_spegeln', 'slytherins_medaljong', 'två-vägsspegel', 'black_lotus', 'illusionism', 'försvinnandeskåp', 'arvtagaren', 'pell,_axel_rudi', 'felix_felicis', 'weasley_klocka', 'wonderworking', 'polyjuice-elexir', 'sanningsdryck', 'hemlighets_sensor', 'skivvärlden', 'octarine', 'thaumaturge', 'flammande_bägaren', 'levande_dödbrygden', 'trolleritrick', 'natt_bussen', 'r.550_magic', 'konfrontationsspegel', 'honungsöl', 'minnessållet', 'obrytbar_ed', 'magic!', 'hjälpande_handen', 'polyjuice-elixir', 'svart_magi', 'borttrollningsskåp', 'svartkonst', 'mörkrets_märke', 'den_flammande_bägaren', 'tvåvägsspegel', 'gubraitiansk_eld', 'tidsvändare', 'reverse_spell_effect', 'skeletto-väx', 'ellesméra', 'pluto', 'ocklumenering', 'illvrål', 'secret_time', 'horcrux', 'levande_död-brygden', 'trollkarls_schack', 'trolldom', 'förtrollning', 'metamorfmagisk_förvandling', 'gryffindors_svärd', 'trollkarlskort', 'artefakt', 'svartkonster_i_harry_potter', 'magiska', 'timberlake', 'magiska_förmågor', 'take_me_home', 'helga_hufflepuffs_bägare', 'pumpapastej', 'hufflepuffs_bägare', 'magic', 'bok_4', 'två-vägs_spegel', 'animagisk_förvandling', 'gamps_lag', 'snokoskop', 'föremål_i_harry_potter', 'thaumaturgic', 'nattbussen', 'magic:_the_gathering', 'flytt-nyckel', 'gamla_språket', 'thaumaturgus', 'dame_kiri_janette_te_kanawa', 'legilimering', 'trolldrycker_i_harry_potter', 'sannings-dryck', 'animagus', 'tidvändare', 'timberlake,_justin', 'obrytbara_eden', 'hemlighetsensor', 'natt-bussen', 'snabbcitatspenna', 'magin', 'chokladgrodskort', 'sorteringshatt', 'polyjuice_elixir', 'skeleto-väx', 'erised-spegeln', 'vilietjuskraft', 'horrukrux', 'spionspegel', 'chokladgrodor', 'horrokrux', 'gobstenar', 'hemlighets-sensor', 'trollkonst', 'flyttnyckel', 'ravenclaws_diadem', 'horrokruxerna', 'fläderstaven', 'te_kanawa,_kiri', 'kittelkaka', 'transferenstestet', 'alagaësia', 'magiska_krafter', 'thaumaturgy', 'horrokruxerna_i_harry_potter', 'släckare', 'animagusar', 'magi_i_harry_potter', 'wolfsbanetrolldryck', 'mandragorans_återställande_koncept', 'umbridges_penna', 'magic:the_gathering', 'ormviskare', 'trollkarlschack', 'rhox', 'trolleri_trick', 'veritaserum', 'illusionister', 'skeletoväx', 'transfiguration', 'snabbcitatpenna', 'trolleri', 'försvinnande-skåp', 'chokladgrodekorten', 'en_gnutta_magi', 'justin_timberlake', 'försvinnande_skåp', 'planeswalker', 'envägsspegel', 'leandro_marín', 'smutsskallar', 'marodörkartan', 'marodörkarta', 'hjälpande_hand', 'ormviskning', 'axel_rudi_pell', "the_y's", 'parseltongue', 'chokladgrodkort', 'sorteringshattens', 'avslöjare', 'occlumency', 'trollformel', 'hemlighetssensorer', 'matra_r.550_magic', 'bertie_botts_bönor_i_alla_smaker', 'minnsallt', 'sorteringshatten', 'magic_the_gathering', 'magiskt_trick', 'kiri_te_kanawa', 'dominia', 'tid-vändare', 'illusionist', 'trans', 'spöktransferens', 'trollkarlsschack', 'flampulver', 'flytt_nycklar', 'den_obrytbara_eden', 'flytt_nyckel', 'minnessåll', 'den_levande_dödbrygden', 'minnessallt', 'den_hjälpande_handen'}
man	{'den_moderna_människan', 'hankön', 'man_ag', 'militärperson', 'könsmogna', 'man,_elfenbenskusten', 'betjänter', 'betjänt', 'människoarter', 'ön_man', 'ringway_airport', 'maschinenfabrik_augsburg-nürnberg_ag', 'tjänstepojkar', 'wan', 'militär', 'gentleman', 'homo', 'ellan_vannin', 'manfred_gnädinger', 'stadsnät', 'homosapiens', 'människosläkt', 'människans', 'världen', 'atanatári', 'dunlending', 'män', 'manchester_international_airport', 'betjäntpojk', 'batman', 'serviceman', 'mänskliga_arten', 'metropolitan_area_network', 'könsmognad', 'människo', 'i_världen', 'karl', 'modern_människa', 'världens', 'manlig', 'pojkarna', 'isle_of_man', 'människan', 'mänskliga', 'mänskliga_rasen', 'tjänstepojke', 'människor', 'betjäntpojkar', 'värld', 'man_se', 'relient_k', 'tjänarpojke', 'valet_de_chambre', 'människa', 'tjänare', 'pjäs', 'betjäntpojke', 'manligt', 'vuxen_man', 'spelpjäs', 'mänsklighet', 'mannin', 'cornelis_de_man', 'homo_sapiens', 'moderna_människan', 'manchester_airport', 'the_man', 'mänskligheten', 'mänsklig', 'mannen', 'wen', 'homo_sapiens_sapiens', 'humant', 'dunlendings', 'maes_awyr_manceinion', 'man-sidor', 'man', 'gentleman_gentleman', 'journal_of_the_royal_anthropological_institute'}
many	{'många', 'mány', 'many'}
marriage	{'bröllops', 'gifta', 'äktenskapets_sakrament', 'bröllopsdag', 'union', 'könsneutrala_äktenskap', 'gifta_sig', 'ogift', 'vigsel', 'var_gift_par', 'ogiltighet', 'nihility', '⚭', 'man_och_hustru', 'gifte', 'makar', 'hymeneals', 'att_gifta_sig', 'brudlopp', 'åtagande_ceremoni', 'giftermål', 'gift_par', 'brölopp', 'bröllopssvit', 'äktenskapet', 'bröllopp', 'vigselceremonier', 'äktenskap', 'äktenskapsmål', 'makar_relation', 'katolska_äktenskap', 'bröllopet', 'borgerlig_vigsel', 'bröllop', 'ingifte'}
material	{'fysisk_ontologi', 'vävnad', 'tyg', 'material', 'materialistisk', 'textilier', 'grejer', 'materialistiska', 'textilmaterial', 'väv', 'textil', 'materialism', 'tyger', 'materialister', 'stoppning', 'stoff', 'materialismen', 'ämne', 'fysikalism', 'saker', 'materialist'}
mathematical	{'matematiska_begrepp', 'matematiskt', 'mattematik', 'matematisk', 'matematikterminologi', 'matematiska', 'matte', 'matematik', 'matematiskt_begrepp', 'matheseos', 'matematiken'}
meat	{'rått_kött', 'essentiella', 'rött_kött', 'kött_vetenskap', 'hjärta_och_själ', 'köttätande', 'kontenta', 'we_will_rock_you', 'vitt_kött', 'essentiell', 'väsen', 'essenser', 'substans', 'kärna', 'kött', 'shawn_stasiak', 'kallt_kött', 'essens', 'bearbetat_kött', 'rött_kött/vitt_kött', 'praktiska_detaljer'}
mechanism	{'kapital_utrustning', 'mekanismen', 'rörelse', 'mekanism', 'apparater', 'reaktionsmekanism', 'reaktionsmekanismen', 'maskineri', 'mekanistisk', 'apparat', 'kemisk_mekanism', 'maskin', 'reaktionsmekanismer', 'maskiner'}
medication	{'rescue', 'läkemedlen', 'läkemedel_läkemedel', 'mediciner', 'version_2.0', 'medikament', 'storsäljande_läkemedel', 'botemedel', 'medicinering', 'kurera', 'läkemedel', 'farmaka', 'läkemedelsdosering', 'farmaceutiska', 'medicin'}
money	{'the_sound_of_girls_aloud', 'history', 'kosing', 'pengar', 'extreme_ii_pornograffitti', 'something_kinda_ooooh', 'schaber', 'history:_past,_present_and_future,_book_i', 'penningväsen', 'monetär', 'money', 'ekonomisk', 'betalningsmedel', 'penningeväsen', 'rikedom', 'pornograffitti', 'extreme_ii:_pornograffitti', 'pekunjär', 'stålar', 'monetära', 'peng'}
moon	{'månskenet', 'mars', 'draconic_månad', 'sun_myong_moon', 'moon,_sun_myong', 'venus', 'satellit', 'månljus', 'månvarv', 'synodiska_månad', 'månmånad', 'månar', 'kyôko_fukada', 'moon', 'månsken', 'solen', 'måne', 'månen', 'soltecken', 'naturliga_satellit', 'sun_myung_moon', 'naturliga_satelliter', 'air', '☾', 'månen_typ', 'månmagi', 'tungelsken', '☽', 'lista_över_air-avsnitt', 'naturlig_satellit', 'jupiter'}
mother	{'morsa', 'moder_jord', 'avla', 'klosterjungfru', 'mor', 'mamma', 'synchronicity', 'a_chorus_line', 'chrennikov', 'nunnor', 'mödrar', 'nunna', 'sisters_of_avalon', 'biologiska_mor', 'earthbound_beginnings', 'tichon_chrennikov', 'chrennikov,_tichon', 'chorus_line', 'modergudinna', 'tikhon_chrennikov', 'syster', 'moder', 'mother', 'honförälder'}
mountain	{'sahtu', 'bergiga', 'dräpte', 'passel', 'bergmassiv', 'parti', 'mountain', 'hel_del', 'mycket', 'bergstopp', 'muckle', '4-8-2', 'mickle', 'ganska_liten', 'bra_affär', 'en_del', 'berg', '⛰', 'nätt_summa', 'mängd'}
mouth	{'käft', 'flodmynning', 'muntlig_spricka', 'prata', 'brytpunkt', 'backtalk', 'vertex', 'munnen', 'munhåla', 'munhålan', 'tala', 'mun', 'sassing', 'åmynning', 'perioral', 'cavum_oris', 'käften', 'labium', 'estuarium', 'mynning', 'hörn', 'rima_oris', 'sass', 'oral_protetik', 'tillbaka_prata'}
movement	{'bajsa', 'rörelse', 'motilitet', 'give_it_up_to_me', 'kogödsel', 'exkrementer', 'did_it_again', 'sociala_rörelser', 'lort', 'tarmrörelser', 'she_wolf', 'konströrelse', 'fekal', 'lokomotion', 'bajsat', 'defekation', 'bajskorv', 'träck', 'social_rörelse', 'rörelser_konst', 'skiter', 'naturbehov', 'sak', 'bajsar', 'folkrörelser', 'fæces', 'hästspillning', 'grupptalan', 'samhällsrörelse', 'dynga', 'spillning', 'phi_fenomen', 'hästbajs', 'kollektiv_handling', 'fekalier', 'konst_rörelse', 'filosofisk_rörelse', 'skenbar_rörelse', 'rörelseaktivitet', 'exkrement', 'konkelbär', 'the_pillows', 'avföring', 'djurs_rörelse', 'kinematik', 'uppenbar_rörelse', 'movement', 'skita', 'skit', 'estetisk_rörelse', 'hundbajs', 'bajs', 'faeces', 'konstnärlig_rörelse', 'bajskorvar', 'uträtta_sina_behov', 'likformig_rörelse', 'sats', 'fågelspillning', 'folkrörelse', 'korståg', 'skitkorv', 'folkrörelserna', 'defekera', 'feces', 'nummer_två', 'publiken', 'hop', 'phi-fenomenet'}
movie	{'kinematografi', 'stora_skärmen', 'rörlig_bild', 'färgfilm', 'full-motion_video', 'filmer', 'rörliga_bilder_visar', 'kites', 'rörelse-bildspel', 'motion_picture', 'rörelse-bild', 'filmkonst', 'biograf', 'filmpris', 'full_motion_video', 'filmen', 'större_film', 'rörliga_bilder', 'film', 'filmatisera', 'bildspel', 'filma'}
music	{'country_rock', 'land-rock', 'music', 'tonkonst', 'musikalisk', 'musikarkeologi', 'förhistoriska_musik', 'what_it_feels_like_for_a_girl', 'välljud', 'countryrockmusik', 'eufoni', 'countryrock', 'musik', 'musiken', 'impressive_instant', 'the_music'}
name	{'nominala_ordklasser', 'kalla', 'gens', 'offentlig_person', 'namntoppen', 'id', 'nominella', 'nominalfras', 'nämna', 'nomina', 'anseende', 'nomen', 'identifierare', 'namn', 'omnämna', 'namnet', 'kallar', 'utse', 'identifiera', 'nominal_ordklass', 'namngivning', 'referera', 'nominell_fras', 'figur', 'egennamn', 'citera', 'datornamn'}
narrow	{'smala', 'trång', 'anja_plaschg', 'anja_franziska_plaschg', 'smal', 'soap&skin', 'inskränkt'}
nation	{'skivvärlden', 'skivvärldens_böcker', 'herrskapsfolket', 'världens_länder', 'studentnationer', 'skivvärlden´s_böcker', 'nationen', 'nationalitet', 'oberoende_politisk_enhet', 'nya_förbundsländerna', 'nationsobligatorium', 'nationshus', 'kendrick_lamar', 'discworld', 'nation_station', 'tysklands_delstater', 'nanny_ogg', 'mexikanska_stater', 'nationer', 'statsmakten', 'nation', 'landet', 'stat', 'angua', 'statlig', 'kapten_morot', 'politiska_samhället', 'neue_bundesländer', 'statsmakt', 'mexikanska_delstaten', 'nationaliteten', 'landlevande', 'tysklands_förbundsländer', 'länder', 'esmerelda_vädervax', 'res_publica', 'administrativ_territoriell_enhet_av_mexiko', 'suveräna_stater', 'margret_vitlöök', 'suverän_stat', 'eget_land', 'det_fantastiska_ljuset', 'delstat', 'nationsbyggnad', 'gamla_förbundsländerna', 'carry_amelia_moore_nation', 'carrie_nation', 'statliga', 'oavhängig_stat', 'vad_är_suveräna_stater', 'statskroppen', 'lord_vetinari', 'mort', 'carry_nation', 'trollkarlens_stav', 'svartkonster', 'självständig_stat', 'nationes', 'deklarativa_teorin_om_självständig_stat', 'viväcka_vitlöök', 'deklarativa_teorin_om_statsbildning', 'statligt', 'statsmakterna', 'studentnation', 'självständigt_land', 'alte_bundesländer', 'land', 'staten', 'nationellt'}
near	{'nära', 'near_shoemaker', 'near-shoemaker', 'i_princip', 'uppemot', 'närma_sig', 'när', 'närapå', 'nästan'}
neck	{'nack', 'halsöppning', 'näck', 'strömkarl', 'flaskhals', 'näcken', 'collum', 'strömkarlen', 'halsmuskler', 'älven', 'hångla', 'älfven', 'halsen', 'hals', 'halsens_muskler', 'necken'}
new	{'nya', 'ny', 'new'}
news	{'tv-nyheter', 'nyheter_rapport', 'nyhets', 'nyheterna', 'nyhetsrapport', 'aktuella_händelser', 'koyama_keiichiro', 'ord', 'nyheder', 'news', 'nyhetsvärde', 'kato_shigeaki', 'nyheter', 'nyhetsprogram', 'nyhet'}
night	{'elie_wiesel', 'nyx', 'nattetid', 'spöktimmen', 'wiesel', 'midnattsblå', 'nótt', 'wiesel,_elie', 'night', 'natten', 'nox', 'midnatt', 'élie_wiesel', 'natt', 'mörker', 'skymning', 'eliezer_wiesel'}
noise	{'kosmisk_bakgrundstrålning', 'akustisk_våg', 'buller_reglering', 'mika_horiuchi', 'bakgrundsstålning', 'ljudföroreningar', 'industribuller', 'ljudvågor', 'ljudförorening', 'elektroniskt_brus', 'ljudutbredning', 'cmbr', 'elementary_os', 'slumpmässigt_brus', 'oljud', 'ljud', 'myrornas_krig', 'kosmiska_bakgrundsstrålningen', 'brus', 'atmosfäriska', 'bullrig', 'kosmisk_bakgrundsstrålning', 'bildbrus', 'cbr', 'radio_buller', 'noise_music', 'stochasticity', 'myrkrig', 'bullrande', 'störningar', 'haphazardness', 'noise', 'ljudet', 'signalbrus', 'stomljud', 'ljudvåg', 'noise_pop', 'cmb', 'hagelbrus', 'buller', 'saltbrus', 'elektriskt_brus', 'atmosfäriska_statiska', 'noisepop', 'oväsen', 'noisemusik', 'buller_musik'}
nose	{'längd', 'näsan', 'doft', 'noslängd', 'näsa', 'redolence', 'bukett', 'luktorganet', 'aromatiska', 'mänskliga_näsan', 'gore', 'munstycken', 'munstycke', 'magnetisk_munstycke', 'aromater', 'aromatisk', 'näshåla', 'arom', 'dysa', 'nos', 'näsor', 'dofter'}
not	{'alg3', 'not', 'ej', 'logisk_negation', 'not-grind', 'inverterare', 'and', 'icke', 'grind', 'nr4a2', '¬', 'logiska_grindar', 'logisk_grind', 'diskret_logik', 'logiska_grinden', 'negation', 'inte'}
obligation	{'förlagsbevis', 'löften', 'löfte', 'obligationsrätt', 'skuldebrev', 'skyldighet', 'intyg_om_skuldsättning', 'förpliktelse', 'skyldigheter', 'tomt_löfte', 'förlagslån', 'utfästelse', 'fordringsrätt', 'plikter', 'ansvarsområde', 'plikt', 'ansvar'}
old	{'gamla_vinstockar', 'förlegad', 'förra', 'före_detta', 'utsliten', 'forna', 'gamla', 'använd', 'gammal'}
one	{'multiplikativa_identiteten', 'ett', 'hel', 'buuren,_armin_van', 'personlighetsenneagrammet', 'armin_van_buuren', '1', 'still_not_getting_any', 'ⅰ', 'tupler', 'vertical_man', 'achiever', 'sarah_burgess', 'vampire_weekend', 'n-tupel', 'succeeder', 'förstadel', 'en', 'supposed_former_infatuation_junkie', 'still_not_getting_any...', 'one', 'helgrind', 'tippel', 'planetshakers', 'tipel', '█', 'n-tippel', 'sextuple', 'the_one', 'ess', 'still_not_getting_any…', 'tuppel', 'tupel', 'man'}
other	{'andra', 'den_andre', 'annan', 'de_andra'}
pain	{'smärtor', 'pain', 'skada', 'pina', 'smärtsinnet', "game's_pain", 'värk', 'smärtsam_känsla', 'king_of_da_ghetto', 'nociception', 'akut_smärta', 'smärta_i_röven', 'forever', 'smärttröskel', 'irritation', 'smärtupplevelse', 'nociceptiv', 'smärta', 'smärtan'}
personality	{'personlighet', 'personality'}
philosophy	{'lära', 'doktrin', 'filosofen', 'läran', 'filosofiskt_system', 'philosophy', 'filosoferande', 'tillämpad_filosofi', 'filosofi', 'filosofisk', 'läror', 'skola', 'filosofin', 'filosofisk_skola', 'doktrinära', 'politisk_doktrin', 'ism', 'filosofiska', 'tänkare'}
picture	{'amortentia', 'metamorfmagus', 'stora_skärmen', 'den_levande_död-brygden', 'målare', 'priori_incantatem', 'fiende-spegel', 'magi', 'transferens', 'bilden', 'chokladgrodkorten', 'motion_picture', 'weasleyklocka', 'chokladgroda', 'foto', 'skelettoväx', 'hemlighetssensor', 'målningar', 'chokladgrodskorten', 'flytt-nycklar', 'teckningskonst', 'cobol', 'fiendespegel', 'ord_målning', 'tecknare', 'magiskt_beskyddande', 'film', 'bildspel', 'klassisk_målning', 'magiska_föremål_i_harry_potter', 'photos', 'bertie_botts_bönor', 'word-målning', 'osynlighetsmantlar', 'legilimency', 'weasley-klocka', 'minnesåll', 'erisedspegeln', 'design', 'flyttnycklar', 'polyjuice', 'polyjuice_elexir', 'trollkarls-schack', 'fiende_spegel', 'chokladgrodekort', 'erised_spegeln', 'slytherins_medaljong', 'filmen', 'två-vägsspegel', 'illustrationen', 'försvinnandeskåp', 'avbildning', 'felix_felicis', 'weasley_klocka', 'polyjuice-elexir', 'sanningsdryck', 'hemlighets_sensor', 'fotografi', 'se', 'målarkonst', 'flammande_bägaren', 'levande_dödbrygden', 'natt_bussen', 'tavlor', 'honungsöl', 'minnessållet', 'illustration', 'obrytbar_ed', 'hjälpande_handen', 'polyjuice-elixir', 'borttrollningsskåp', 'rörelse-bildspel', 'svartkonst', 'mörkrets_märke', 'avatar', 'filmkonst', 'den_flammande_bägaren', 'gubraitiansk_eld', 'fotografier', 'tidsvändare', 'reverse_spell_effect', 'skeletto-väx', 'picture', 'ocklumenering', 'illvrål', 'kinematografi', 'horcrux', 'levande_död-brygden', 'illustrationer', 'trollkarls_schack', 'färgfilm', 'metamorfmagisk_förvandling', 'gryffindors_svärd', 'tavla', 'trollkarlskort', 'svartkonster_i_harry_potter', 'konstnär', 'magiska_förmågor', 'helga_hufflepuffs_bägare', 'pumpapastej', 'hufflepuffs_bägare', 'animagisk_förvandling', 'gamps_lag', 'snokoskop', 'mentala_bilder', 'bild', 'föremål_i_harry_potter', 'föreställa_sig', 'nattbussen', 'flytt-nyckel', 'legilimering', 'trolldrycker_i_harry_potter', 'sannings-dryck', 'animagus', 'tidvändare', 'obrytbara_eden', 'hemlighetsensor', 'ord-målning', 'natt-bussen', 'biograf', 'snabbcitatspenna', 'illustrerade_böcker', 'scenen', 'chokladgrodskort', 'sorteringshatt', 'rörliga_bilder', 'polyjuice_elixir', 'filmatisera', 'skeleto-väx', 'filma', 'erised-spegeln', 'vilietjuskraft', 'horrukrux', 'rörlig_bild', 'chokladgrodor', 'horrokrux', 'målning', 'gobstenar', 'hemlighets-sensor', 'filmer', 'flyttnyckel', 'ravenclaws_diadem', 'horrokruxerna', 'rörelse-bild', 'fläderstaven', 'kittelkaka', 'transferenstestet', 'filmpris', 'horrokruxerna_i_harry_potter', 'släckare', 'animagusar', 'fotografiet', 'magi_i_harry_potter', 'wolfsbanetrolldryck', 'mandragorans_återställande_koncept', 'bilder', 'umbridges_penna', 'ormviskare', 'trollkarlschack', 'tonmåleri', 'veritaserum', 'skeletoväx', 'transfiguration', 'snabbcitatpenna', 'kiss', 'försvinnande-skåp', 'chokladgrodekorten', 'försvinnande_skåp', 'smutsskallar', 'kort', 'marodörkartan', 'marodörkarta', 'hjälpande_hand', 'teckning', 'ormviskning', 'pennteckning', 'parseltongue', 'chokladgrodkort', 'sorteringshattens', 'avslöjare', 'större_film', 'occlumency', 'måleri', 'hemlighetssensorer', 'illustrerad', 'bertie_botts_bönor_i_alla_smaker', 'minnsallt', 'sorteringshatten', 'profilbild', 'rörliga_bilder_visar', 'tid-vändare', 'mental_bild', 'målarinna', 'spöktransferens', 'trollkarlsschack', 'flampulver', 'flytt_nycklar', 'den_obrytbara_eden', 'flytt_nyckel', 'ordet_bild', 'handteckning', 'minnessåll', 'den_levande_dödbrygden', 'minnessallt', 'den_hjälpande_handen'}
pig	{'vilda_grisar', 'pine_island_glacier', 'sus', 'tamgris', 'sluka', 'vildsvinet', 'slaktsvin', 'smutsgris', 'tamsvin', 'fläskbog', 'slusk', 'shoat', 'fläskkött', 'svinavel', 'fläsk', 'zhu_bajie', 'scrofa', 'zhu_baije', 'sus_domestica', 'fläskkotlett', 'vildsvin', 'rulta', 'so', 'svindjur', 'svinuppfödning', 'fläskhare', 'vilda_hog', 'shote', 'griskulting', 'hog', 'vilda_svin', 'kulting', 'tamgrisar', 'svinskötsel', 'slovenly_personen', 'porc', 'piggy', 'zhu_wuneng', 'sugga', 'svin_scrofa', 'sus_scrofa_domestica', 'tjockis', 'gris', 'grisarna', 'fläskfilé', 'styckning', 'raymond_watts', 'polis', 'snut', 'watts,_raymond', 'fetknopp', 'grisa', 'griskött', 'grisning', 'grisar', 'grisen', 'svin', 'conjoiner', 'spädgris', 'fetto', 'conjoiners', 'gris_säng', 'pigging', 'pig', 'sus_scrofa', 'zhū_bājiè', 'sidfläsk', 'grisuppfödare'}
plan	{'plan', 'folkets_befrielsearmés_flotta', 'tänka_ut', "people's_liberation_army_navy", 'program', 'plan_sverige', 'plan,_isère', 'planera', 'plan_pay_day', 'arkitektonisk_planering', 'designa', 'teckningar', 'kinesiska_flottan', 'planen', 'arkitektonisk_plan', 'anna_hägg-sjöquist', 'pay_day', 'kinas_flotta', 'anna_hägg_sjöquist', 'planerar', 'planer', 'programchef'}
plant	{'bruk', 'floran', 'löpande_band-principen', 'fysiska_anläggningen', 'anläggning', 'vegetabilisk', 'produktionsanläggning', 'plantae', 'feitoria', 'lockfågel', 'växtliv', 'fabriken', 'växtriket', 'manufactory', 'löpande-band-principen', 'varelse_typ', 'industrianläggningar', 'floristisk', 'när_uppträdde_växter', 'faktorier', 'löpande_bandet', 'växtarter', 'växten', 'produktionslinje', 'löpandet_bandet', 'factorij', 'löpandebandprincipen', 'fabrik', 'plantera', 'industrianläggning', 'löpande_band', 'fabriker', 'monteringslinje', 'vegetation', 'plant', 'faktori', 'floror', 'etablera', 'sveriges_flora', '⛭', 'archaeplastida', 'tillverkningsanläggning', 'flora', 'växter', 'löpandebandsprincipen', 'produktion-line', 'fabriksarbetare', 'trigun', 'aktrisen', 'växt'}
