ability	{'talent', 'sposobnost', 'zmožnost', 'sposobnosti', 'zmogljivost', 'nadarjenost', 'bistrost'}
nation	{'nemške_zvezne_dežele', 'mehiški_državi', 'kendrick_lamar', 'carry_nation_amelia_moore', 'zvezna_dežela', 'narod', 'nemške_dežele', 'deklarativno_teorijo_državnosti', 'zvezne_dežele_nemčije', 'apollo_crews', 'carrie_nation', 'politično_družbo', 'suverena_država', 'carry_amelia_moore_nation', 'res_publica', 'politike_telesa', 'država', 'suverenih_držav', 'nacija', 'nemška_zvezna_dežela', 'zemlja', 'dežele_nemčije', 'mehiške_države', 'carry_nation', 'nation', 'naroda', 'državi', 'dežela', 'pleme'}
near	{'malodane', 'near_shoemaker', 'bližati_se', 'malone', 'skôraj', 'dober', 'skoraj', 'približen', 'prihajati', 'v_bližini', 'tesen', 'bližini', 'bližnji', 'blizek', 'blizu'}
neck	{'vrat', 'vratu', 'vratovina', 'nuchal', 'ožina', 'izrez', 'odprtje_vrat'}
new	{'zadnjič', 'sodobna', 'sodobno', 'novomoden', 'surov', 'brezprimeren', 'originalen', 'moderna', 'nov', 'moderno', 'new', 'nedavno', 'novotarski', 'moderen', 'sodoben', 'izviren', 'svež', 'mlad'}
news	{'sporočilo', 'informativna_oddaja', 'vesti', 'newsworthiness', 'informacija', 'vest', 'novica', 'novice', 'news', 'beseda', 'obvestilo', 'novico', 'informativni_program'}
night	{'nox', 'niks', 'nyx', 'modri', 'polnoč', 'night', 'noč', 'nočna', 'noks', 'elie_wiesel', 'wiesel', 'tema', 'večer', 'eliezer_wiesel'}
noise	{'obremenitev_s_hrupom', 'širjenje_zvoka', 'cmb', 'kozmično_prasevanje', 'zvok_valov', 'prasevanje', 'interferenca', 'reliktno_sevanje', 'zvok_onesnaževanja', 'cbr', 'zveneti', 'naključnost', 'stochasticity', 'radio_hrupa', 'elektronskega_hrupa', 'zvočne_valove', 'šum', 'kozmicno_sevanje', 'kozmično_mikrovalovno_sevanje_ozadja', 'zvočnovalovne', 'mikrovalovnega_sevanja_ozadja', 'kozmično_mikrovalovno_ozadje', 'ostre_hrupa', 'hrupa', 'zvočno_onesnaževanje', 'industrijski_hrup', 'noise', 'mika_horiuchi', 'kozmicno', 'kozmično_sevanje_ozadja', 'šuma', 'zvok', 'elementary_os', 'obremenjevanje_s_hrupom', 'neorganiziranost', 'cmbr', 'kozmičnega_mikrovalovnega_sevanja_ozadja', 'haphazardness', 'atmospherics', 'atmosfersko_statično', 'motnja', 'hrup'}
nose	{'zavohati', 'aromatov', 'vohalo', 'aromo', 'šob', 'fragrancy', 'héctor_abad_gómez', 'šopek', 'vohati', 'redolence', 'las', 'aroma', 'šobe', 'šoba', 'buket', 'arome', 'njih_orgle', 'nos', 'gore'}
not	{'diskretne_logike', 'logična_vrata', 'logično_negacijo', 'ne', 'negacija', 'vrata', 'logičnih_vrat', 'logika_vrata'}
obligation	{'dolžniški_inštrument', 'obveznosti', 'zadolžnic', 'dolžniški_instrument', 'zavezanost', 'obveznost', 'obljuba', 'odgovornost', 'obveza', 'obljubo', 'obligacijsko_pravo', 'potrdilo_o_zadolženosti', 'obveznice', 'dolžnost', 'obvezanost'}
old	{'old,_madžarska', 'stara', 'pretekel', 'stàr', 'old', 'star', 'nekdanji', 'predhoden', 'staro', 'bivši', 'prejšnji'}
one	{'eneagram', 'nedosežen', 'one', 'vertical_man', 'enega', 'as', 'brezprimeren', 'achiever', 'uspešnež', 'n-terico', 'succeeder', 'planetshakers', 'terk', 'armin_van_buuren', 'multiplikativni_identitete', 'šestposteljna', 'vampire_weekend', 'the_one', 'sarah_burgess', 'ena', '1', 'eden', 'edinstven', 'enotnosti', 'enica', 'supposed_former_infatuation_junkie', 'daniel_rosenfeld', 'nedosegljiv', 'èn', 'število_1'}
other	{'zgodnji', 'nekdanji', 'drugačen', 'drug', 'bivši', 'drugo', 'prejšnji'}
pain	{'boleč_občutek', 'mučiti', 'bolečina_in_nocicepcija', 'bolečine', 'trn_v_peti', 'bolečina', 'preglavica', 'akutne_bolečine', 'forever', 'boleti', 'bol', 'king_of_da_ghetto', 'nadloga', 'nocicepcija', 'mora', "game's_pain", 'bolečina_senzacija', 'težak', 'trpeti', 'bolečino', 'boli', 'pain', 'nadležneš'}
personality	{'personality', 'osebnosti', 'osébnost', 'osebnost'}
philosophy	{'filozofski_sistem', 'doktrina', 'filozofije', 'politična_doktrina', 'doktrinarni', 'filozofsko', 'filozof', 'filozofija', 'izem', 'modroslovje', 'šola_mišljenja', 'teorija', 'filozofinja', 'nauk'}
picture	{'beseda_barvanje', 'ilustracij', 'filmov', 'izkazati', 'parseltongue', 'kino', 'motion_picture', 'slikovno_gradivo', 'avatar', 'slikarstvo', 'slikovno', 'podoba', 'picture_show', 'risba', 'cobol', 'ilustriranih_knjig', 'celovečerni_film', 'pokazati', 'biti', 'predstava', 'fotografija', 'sliko', 'opisati', 'scene', 'gledati', 'predočiti_si', 'beseda_sliko', 'ilustracija', 'slika', 'nemi_film', 'preobrazba', 'velik_filmski', 'slike', 'kiss', 'prikazati', 'fotografijo', 'predstavljati_si', 'slika_računa', 'videti', 'film', 'motion-picture_predstava', 'napraviti', 'živ_opis', 'fotografije', 'premikanje_slike', 'occlumency', 'zvočni_film', 'gibljivih_slik_predstava', 'animagus', 'zamišljati_si', 'posnetek', 'mentalna_slika', 'velik_zaslon'}
pig	{'shote', 'požirati', 'merjasec', 'surovo_železo', 'požrešnež', 'raymond_watts', 'pujsek', 'pujs', 'porcelanski', 'sus_scrofa_domesticus', 'kifeljc', 'divjih_prašičev', 'odojek', 'sus', 'svinjina', 'domači_prašič', 'shoat', 'sejati', 'aljkavo_oseba', 'pujska', 'umazanec', 'svinja', 'conjoiner', 'sus_scrofa_domestica', 'policaj', 'goltati', 'sloven', 'surovi_svinec', 'prašiček', 'pogoltniti', 'divji_prašič', 'pujsk', 'prašič', 'conjoiners', 'prašič_domači', 'scrofa', 'prase', 'strganje', 'sus_scrofa', 'divja_svinja', 'prašič_postelja', 'pudge', 'debeluh', 'slob', 'svinjo', 'prasec'}
plan	{'zamisliti', 'zasnova', 'planirati', 'snovati', 'konstruirati', 'plan', 'arhitekturni_načrt', 'arhitekturno_načrtovanje', 'vodja_programa', 'naklepati', 'nameravati', 'zasnovati', 'program', 'načrt', 'načrtovati', 'biti'}
plant	{'določati', 'delavnica', 'uvajati', 'vcepiti', 'vrsto_bitje', 'uvesti', 'proizvodni_obrat', 'feitoria', 'fabrika', 'industrijski', 'proizvodno_linijo', 'factorij', 'življenje_rastlin', 'delavec_v_tovarni', 'tovarna', 'ugotoviti', 'obrat', 'sejati', 'saditi', 'vzpostaviti', 'rastlinski_organizem', 'plantae', 'biti', 'ustanoviti', 'proizvodne_linije', 'industrijski_obrat', 'rastline', 'proizvodna_linija', 'tovarnar', 'proizvodnih_obratih', 'shill', 'plant', 'mlin', 'rastlinstvo', 'traku', 'rastlinsko_kraljestvo', 'vaba', 'imenovati', 'montažne_linije', 'fizični', 'rastlinska_vrsta', 'rastlina', 'trigun', 'tekoči_trak', 'utemeljiti', 'dela', 'vzpostavljati', 'posaditi', 'osnovati', 'zasaditi', 'tovarne', 'rastlinskih_vrst', 'določiti', 'flora', 'rastlin', 'floras', 'vsaditi'}
play	{'dramatičarka', 'trzaj', 'pretvarjati_se', 'hazardiranje', 'prosta_pot', 'christopher_martin', 'igre', 'vrsta', 'staviti', 'nastopati', 'dramsko_delo', 'igra_na_srečo', 'teči', 'skok', 'vesel', 'igračkati_se', 'mečevanje', 'igrati_na', 'zabavati_se', 'sabljanje', 'špekulacija', 'igrati_z', 'google_play', 'drama', 'lesket', 'igro', 'obdobje_igre', 'gledališko_igro', 'dramsko_igro', 'drame', 'igranje_čas', 'vplivati', 'poteza', 'otroška_igra', 'odbijanje', 'play_store', 'nastopiti', 'lesketanje', 'delovati', 'imeti_vpliv', 'prosto_pot', 'hazarderji', 'šala', 'dramatik', 'kvartanje', 'podenje', 'hazard', 'narediti', 'play', 'stave', 'ravnati', 'odboj', 'zračnost', 'delati_se', 'stageplay', 'ride', 'igra', 'igrati_se', 'vložke', 'dramska_igra', 'igre_na_srečo', 'kockanje', 'norenje', 'postaviti', 'google_play_store', 'igráti', 'manever', 'potegovanje', 'igrati', 'android_market', 'igrajo', 'shimmer', 'igrati_proti', 'ustvariti', 'poigravati_se', 'dramatika', 'igralni_čas', 'igranje_na_srečo', 'dramskih_umetnosti', 'vrtenja_mečev'}
pleasure	{'pearl', 'sondre_lerche', 'užitek', 'ugodje', 'radost', 'veselje', 'prijetno', 'zadovoljstvo', 'pleasure_p', 'semisonic', 'fredrik_ball'}
poor	{'nezadosten', 'slaba', 'izčrpanje', 'obubožanje', 'beden', 'ubog', 'reven', 'pomanjkanje', 'beračev', 'revščine', 'pomanjkljiv', 'ganljiv', 'uboštvo', 'žalosten', 'siromašen', 'prostovoljno_revščine', 'revne', 'osiromašenje', 'nizkimi_dohodki', 'henry_varnum_poor', 'zaobljubo_revščine', 'nesrečen', 'revščina', 'revni_ljudje', 'siromaštvo', 'kratek'}
prison	{'tijesan', 'zaprt', 'prevzgojni_objekt', 'pokey', 'ječa', 'jailhouse', 'zaporna_kazen', 'kazen_zapora', 'zaporih', 'pripor', 'jemljejo', 'tom_robinson', 'kaznilnica', 'zapor'}
professional	{'profesionalec', 'strokovnosti', 'strokovnjak', 'strokovnjakov', 'profesionalnega_videza', 'specialist', 'strokoven', 'strokovnost', 'izvedenec', 'strokovna_oseba', 'ekspert', 'profesionalen', 'mojster', 'poklicen', 'profesionalni_športnik', 'ekspertnost_na_delovnem_mestu'}
protection	{'trgovina_zaščita', 'protekcionizem', 'zaščitni_pokrov', 'davek_mafiji', 'varovanje', 'okriljem', 'protection', 'zaščita', 'zaščitno_pokrivalo', 'zavetje', 'pokroviteljstvo', 'varnosti', 'varstvo', 'okrilje', 'varnost'}
pull	{'noge_pogled', 'raztrgati', 'razklati', 'trgati', 'počiti', 'preklati', 'cepiti', 'storiti', 'vlečna_sila', 'prepeti', 'napeti', 'strgati', 'oskubsti', 'skubsti', 'potegniti', 'pritegniti', 'zakriviti', 'izpuliti', 'sila_privlačnosti', 'vleči_se', 'vlečenje', 'vleče', 'pritegnili', 'popokati', 'vazeci', 'pull', 'zagrešiti', 'privlačiti', 'potegnite', 'batsmen', 'biti', 'vleči'}
push	{'suniti', 'porivanje', 'potiskanje', 'pehanje', 'boriti', 'potiskati', 'pritisniti', 'tipka', 'potisniti', 'poriniti', 'push', 'prisiliti', 'sklad', 'forsiranje', 'gumb', 'black_and_white_america', 'zagon', 'sila', 'confessions_on_a_dance_floor', 'get-up-and-go', 'precious', 'tiskati', 'stikalo', 'pritisnite_tipko'}
quality	{'quality', 'barva_glasu', 'karakter', 'barve_zvoka', 'timbral', 'kakovost', 'značilnost', 'visok_družbeni_položaj', 'značaj', 'kvaliteta', 'odličen', 'lastnost', 'ton', 'kakovosti', 'visok_položaj', 'posebnost', 'eliten', 'kakóvost', 'timbres'}
rain	{'padavine', 'toča', 'padati', 'deževnice', 'dežnica', 'heavy_rain', 'rain', 'john_colton', 'simone_battle', 'deževnica', 'in_blue', 'dež', 'dežju', 'pelting', 'deževati', 'rain_na_lechu,_nemčija', 'dež_nevihta', 'kapnica', 'nevihte', 'padavin'}
reaction	{'reakcija', 'nazadnjaštvo', 'kemijska_sprememba', 'kemična_reakcija', 'kemijska_reakcija', 'kemijske_reakcije', 'odziv', 'kemična_sprememba', 'odgovor', 'reaction', 'protireakcija', 'kemično'}
read	{'beležiti', 'zapisati', 'interpretirati', 'čìtati', 'vzeti', 'dojeti', 'prevesti', 'upoštevati', 'čitati', 'razlagati', 'read', 'povedati', 'branje', 'odčitati', 'catherine_read', 'kazati', 'prebrati', 'razumeti', 'robert_william_read', 'pokazati', 'vpisati', 'študirati', 'brati', 'registrirati', 'odčitavati', 'pojmiti', 'zabeležiti', 'prečitati', 'se_glasi', 'praviti', 'biti', 'jemati'}
red	{'bolshy', 'boljševisti', 'izguba', 'krvav', 'rdečkast', 'anil_kapoor', 'boljševik', 'boljševizem', 'day_&_age', 'marksist', 'škrlaten', 'rdeča_barva', 'boljševiki', 'minus', 'red', 'angry_birds', 'bolshie', 'amazing_red', 'red_river', 'boljševizma', 'don_goldstein', 'boljševiške_stranke', 'rdeč', 'after_school', 'jim_krebs', 'rdeča'}
relationship	{'človeške_interakcije', 'poznanstvo', 'človeških_odnosov', 'sorodstvu_in_spust', 'sorodstveni_odnos', 'dolgoročnega_odnosa', 'človeški_odnos', 'druženje', 'družinsko_razmerje', 'znanec', 'znanstvo', 'sorodstvena_zveza', 'medosebnih_odnosov', 'sorodstveno_razmerje', 'zveza', 'sorodstvo', 'povezava', 'sorodniki', 'medčloveški_odnos', 'acquaintanceship', 'razmerje', 'odnos'}
religious	{'devoten', 'pobožen', 'verske', 'svetniški', 'verski', 'religiozen', 'bogoljuben', 'klerik', 'nabožen'}
residence	{'prebivalca', 'residencia', 'domovanje', 'stanovanjska_hiša', 'stanovanj', 'stanovanje', 'prebivališče', 'stanovnik', 'dom', 'graščina', 'prebivalcev', 'residenca', 'stanovalec', 'bivališče', 'prebivalec', 'vila', 'zasebno_bivališče', 'bivanje', 'dóm', 'hiša', 'dvorec_hiša', 'dvorec', 'doma'}
right	{'young_americans', 'filozofija_morale', 'morala', 'etika', 'pravičnost', 'desnica', 'politične_pravice', 'etično_teorijo', 'levičar', 'etičnih_vprašanjih', 'pravilen', 'zelo', 'prav_in_kaj_narobe', 'ustrezen', 'popravljati', 'neodtujljiva_pravica', 'desno_krilo', 'zrel', 'nepristranskim', 'resničen', 'volan_na_desni_strani', 'desna_roka', 'pravílno', 'legitimnost', 'pravilno', 'desni', 'etični_sistem', 'primeren', 'pravico', 'desna_stran_igrišča', 'prav', 'zakonsko_pravico', 'zakonska_pravica', 'desna_stran', 'rightism', 'desničarske', 'nadomestiti', 'popraviti', 'rightfulness', 'pravi', 'fizičnih_in_pravnih_pravic', 'desničarske_politike', 'politična_desnica', 'silno', 'neetično', 'moralne_filozofije', 'neodtujljivo_pravico', 'desničarski', 'etične_standarde', 'etičnih_vprašanj', 'popravi', 'desničar', 'pravice', 'neodtujljivih_pravic', 'desna', 'pravilna', 'dober', 'moralni_filozof', 'pravica', 'zakonitost', 'upravičenost', 'neodtujljiva', 'dobro', 'nravoslovje'}
river	{'watermark', 'vodotok', 'sestao_river_club', 'bishop_briggs', 'obcestni_potok', 'river', 'vodni_tok', 'potok', 'reka', 'ruisseau', 'réka'}
road	{'stran_igre', 'pot', 'the_road', 'cesta', 'causeways', 'javna_cesta', 'cesta_igre', 'tekma_v_gosteh', 'new', 'nevejski_prelaz'}
root	{'superuser', 'tonik', 'korenina', 'kvintdecima', 'praded', 'superuporabnik', 'undecima', 'riti', 'kvinta', 'izvor', 'praoče', 'etimon', 'prednikov', 'kosmato', 'rešitev_enačbe', 'kvartdecima', 'uporabnik_root', 'etymon', 'glasbeni_interval', 'prednik', 'izvir', 'nona', 'korenska_funkcija', 'nič', 'interval', 'začetek', 'glasbenih_intervalih', 'korenine_seznanil', 'oktava', 'tonik_tetive', 'dlaka', 'seksta', 'premor', 'drevo', 'nìč', 'zobna_korenina', 'izvora', 'las', 'kvarta', 'septima', 'prednika', 'naključnih_korenine', 'gozd', 'besedni_koren', '0', 'lasje', 'tercdecima', 'dlake', 'duodecima', 'koren_besede', 'koren', 'root', 'poreklo', 'predhodnik', 'terca', 'korenjenje', 'zoba', 'decima', 'tonik_tetiva', 'ničla_funkcije', 'root_dostop', 'vir', 'korenine', 'konohagakure', 'koreninski_siste\xadm'}
rope	{'vrv', 'rophy', 'vrvi', 'rope', 'ropemaker', 'pozabi_me_drogo', 'roofy', 'mehiška_valium', 'r-2'}
rotten	{'trhel', 'betežen', 'gnil', 'usmrajen', 'nagnil', 'razpadel'}
round	{'krog', 'najbolj_pomemben_znak', 'stypsis', 'pomemben_delež', 'suho', 'kanon', 'telo', 'rutina', 'bareknuckle', 'boksanje', 'en_strel', 'golfa', 'kovinskega_vložka', 'pugilism', 'cikel', 'napad', 'nagrado_borec', 'natančnost', 'zaokrožiti', 'obhod', 'pomembne_števke', 'dnevni_krog', 'okrogel', 'napadati', 'naboj', 'minerality', 'boks', 'sadje', 'fisticuffs', 'obel', 'ciklus', 'vinska_cvetica', 'runda', 'enota_streliva', 'krog_pijač', 'prizefighting', 'krožen', 'aritmetično_natančnost', 'boksar', 'krogu', 'napasti', 'ohišje'}
rub	{'obrišite', 'drgniti', 'odrgniti', 'praskati', 'praskati_se', 'ruski_rubelj', 'mučiti_se', 'zaplet', 'ruskega_rublja'}
sad	{'sezonsko_čustveno_motnjo', 'žalosten', 'potrtost', 'oddelek_za_specialne_aktivnosti', 'lost_dogs', 'beden', 'žalosti', 'sadhe', 'žalostno', 'sad', 'žalost'}
salt	{'salt', 'kuhinjska_sol', 'ionska_sol', 'nacl', 'pogovori_o_omejevanju_strateškega_orožja', 'henry_salt', 'slanost', 'navadne_soli', 'soliti', 'soli', 'sol', 'pogodba_o_omejevanju_strateškega_orožja', 'natrijev_klorid', 'saltcellar', 'kalijeve_soli', 'solnica', 'salt-n-pepa', 'cheryl_james', 'hud'}
sand	{'george_sand', 'pogum', 'schönenberg-kübelberg', 'sand_am_main', 'črevesje', 'mivka', 'sand,_madžarska', 'hrbtenica', 'amandine_aurore_lucie_dupin', 'korajža', 'sand,_francija', 'peska', 'moxie', 'baronica_dudevant', 'odločnost', 'pesek', 'sand'}
say	{'govoriti', 'prepovedati', 'izreči', 'jean-baptiste_say', 'izgovarjati', 'say', 'osakis', 'reči', 'in_blue', 'izgovoriti', 'povedati', 'izustiti', 'beseda', 'pripovedovati', 'naročiti', 'predpisati', 'thomas_say', 'trditi', 'veleti', 'pravijo', 'predvidevam', 'izjaviti', 'brati', 'ukazati', 'navajati', 'dejati', 'domnevati', 'zapovedati', 'se_glasi', 'praviti', 'biti', 'navesti'}
science	{'znanstvene_discipline', 'veda', 'empirične_znanosti', 'znanstvena_disciplina', 'spretnost', 'znanosti', 'znanost', 'veščina', 'spretnosti', 'science', 'mainstream_znanosti', 'model_razvoja_znanosti'}
scratch	{'mehurčka', 'odrtina', 'odrgniti', 'handicap', 'brazgotina', 'praskanje', 'golf_handicap', 'šekelov', 'macules', 'gelt', 'cvenk', 'dermatoz', 'školjke', 'zatrdlino', 'plenk', 'mamon', 'fičnik', 'peter_gabriel', 'prečrtati', 'gnojne_mehurčke', 'zareza', 'opraskanina', 'lihenifikacija', 'stanje_kože', 'vrez', 'odrgnina', 'mehurček', 'penki_penki', 'praskati', 'lupljenjem', 'rez', 'cacography', 'žvenk', 'praske_linija', 'pelf', 'škrabati', 'ficek', 'simoleons', 'startna_črta', 'keš', 'urez', 'udrtina', 'penez', 'drgniti', 'izbrisati', 'pinke_ponke', 'belič', 'krajcar', 'scratch', 'kožnih_sprememb', 'grebsti', 'ekskoriacija', 'praskati_se', 'začetek_vrstice', 'strganje', 'kožne_bolezni', 'mučiti_se', 'dinero', 'oznaka', 'ukiniti', 'moolah'}
sea	{'ocean', 'morskem_okolju', 'morje', 'svetovni_ocean', 'sea', 'lunarni_maria', 'oceani', 'morsko_okolje'}
seafood	{'morski_sadeži', 'morske_hrane'}
see	{'opaziti', 'obiskati', 'interpretirati', 'videli', 'preiskati', 'razložiti', 'spremljati', 'imeti_za', 'skopolamin', 'določiti', 'tolmačiti', 'zavarovati', 'analizirati', 'kontrolirati', 'štekati', 'vidim', 'zagotavljati', 'potrditi', 'združiti_se', 'preveriti', 'pospremiti', 'spoznati', 'smatrati', 'predočiti_si', 'obisk', 'ukvarjati_se', 'gledajo', 'kapirati', 'pojmovati', 'razlagati', 'glej', 'kramljati', 'odkriti', 'archiepiscopal_videli', 'opazovati', 'razumeti', 'doživeti', 'obravnavajo', 'biti_tolmač', 'zagledati', 'najti', 'videnje', 'pregledati', 'tycho', 'zaslišati', 'nadzorovati', 'sklepati', 'zastopiti', 'šteti', 'zapopasti', 'skopolamina', 'zvedeti', 'imeti', 'šteti_za', 'ugotoviti', 'sestati', 'veljati', 'pojmiti', 'motriti', 'dognati', 'biti', 'srečati', 'zavarovanje', 'obiskovati', 'vidno_zaznavanje', 'gledati', 'dojeti', 'see', 'ujeti', 'zagotoviti', 'predstavljati_si', 'poskrbeti', 'hioscin', 'doumeti', 'videti', 'vid', 'srečati_se', 'slišati', 'zamišljati_si', 'uvideti', 'ustrezati'}
seed	{'polfinalist', 'séme', 'cum', 'ejakulacijo', 'sublime', 'semena', 'ena_odprava_turnir', 'semenske_tekočine', 'posejati', 'final_fantasy_viii', 'semifinale', 'seme', 'četrtfinale', 'semenska_tekočina', 'seed', 'spêrma', 'zametek', 'sperma', 'polfinale', 'polfinalu', 'zadnjem_četrtletju', 'nadaljuje', 'naključno_seme', 'četrt-final', 'ejakulirati', 'sejati', 'enem_odprave', 'igralec_semeni', 'vir', 'santi', 'semifinalist', 'obroditi'}
sell	{'prodati_se', 'prodati', 'prodaja', 'trgovina', 'nakup', 'trgovati', 'prodajati', 'biti', 'trgovanje', 'izdati'}
sew	{'šivanje', 'šivati', 'sešiti', 'stitchery'}
sexy	{'elephunk'}
shape	{'primitivni', 'tvoriti', 'shape', 'regulirati', 'meso', 'oblikovati', 'telo', 'saceur', 'forma', 'človeški_anatomiji', 'bod', 'fiziologija_človeka', 'format', 'fiziologije_človeka', 'postava', 'uravnavati', 'se', 'vzorec', 'anatomija', 'urediti', 'mesa', 'izdelati', 'delovati', 'fizično_telo', 'biti', 'človeško_telo', 'glasbeno_obliko', 'vrhovni_poveljnik_zavezniških_sil_za_evropo', 'materialno_telo', 'ogrodje', 'vrhovno_poveljstvo_zavezniških_sil_v_evropi', 'vrhovni_poveljnik_zavezniških_sil_v_evropi', 'oblika', 'tonus_kože', 'delati', 'vplivati', '4-3-3', 'stanje', 'pigmentacije_kože', 'formirati', 'oblikujejo', 'izoblikovati', 'ustvariti', 'vrhovno_poveljstvo_zavezniških_sil_evrope', 'obliki'}
sharp	{'globok', 'razlikovalen', 'skinheads_against_racial_prejudice', 'michael_william_sharp', 'navihan', 'bister', 'penetranten', 'pretkan', 'prekanjen', 'bistroumen', 'prepreden', 'rezek', 'vreščeč', 'piker', 'prebrisan', 'zvit', 'adaven', 'sharp', 'akuten', 'sharp_corporation', 'oster', 'prediren', 'zvijačen', 'ostroumen', 'prepaden', 'aaron_john_sharp'}
ship	{'ladja', 'prenesti', 'prepeljevati', 'ladje', 'prevažati', 'vkrcati', 'poslati', 'voziti', 'ladijske_izmere', 'biti', 'transportirati'}
short	{'kratek', 'osoren', 'naênkrat', 'shortstops', 'lahek', 'nenadoma', 'skratka_predmet', 'nezadosten', 'nasajen', 'prodaja_na_kratko', 'kratek_stik', 'ubog', 'reven', 'shortstop', 'komaj_zadosten', 'pomanjkljiv', 'kratkih_predmetov', 'nizek', 'kratek_postanek', 'kratkih_filmov', 'zadirčen', 'pozabljiv', 'kratke_pozicije', 'majhen', 'charles_wilkins_short', 'animiranih_filmov', 'majhna', '2-reeler', 'kratki_film', 'kratek_film', 'nanaglo', 'short', 'kratkega_stika', 'naenkrat'}
show	{'izpričati', 'beležiti', 'izkazati', 'hazardiranje', 'razkazovanje', 'show', 'igra_na_srečo', 'predložiti', 'izraziti', 'kazati', 'špekulacija', 'dokazati', 'zunanja_podoba', 'potrditi', 'imeti', 'ugotoviti', 'razkazati', 'brati', 'vzpostaviti', 'pospremiti', 'predstavitev', 'pokazati', 'biti', 'ustanoviti', 'vpisati', 'zabeležiti', 'opisati', 'naznaniti', 'predstava', 'hazarderji', 'sejmih_občine', 'zapisati', 'označiti', 'kvartanje', 'hazard', 'stave', 'razstava', 'kažejo', 'prikazati', 'vložke', 'igre_na_srečo', 'kockanje', 'predstavi', 'napraviti', 'pričati', 'izpovedati', 'registrirati', 'demonstrirati', 'predstaviti', 'igranje_na_srečo', 'navesti'}
sign	{'kretnja', 'semiologije', 'pozitivno_število', 'signalnih', 'pisno_znamenje', 'klinični_znak', 'grafem', 'elektropozitivnega', 'astrološko_znamenje', 'znak', 'signalizirati', 'planetarna_hiša', 'sankcionirati', 'znaka', 'elektro', 'potrditi', 'astrološki_znak', 'priznati', 'paulingova_lestvica', 'reklamni_napis', 'bolezenski_znak', 'semiotika', 'okriljem', 'podpisovati', 'priznavati', 'grafični_simbol', 'nenegativno', 'brown_eyed_girls', 'horoskop', 'napis', 'negativna', 'semiotični', 'kliničnih_znakov', 'blagosloviti', 'odobriti', 'podpisati', 'semiologija', 'signal', 'klinične_znake', 'znamenj', 'reklamna_tabla', 'signifikat', 'predznak', 'out-of-band_signalizacijo', 'preindication', 'ratificirati', 'označenec', 'polarnost', 'komercialne_signalizacije', 'potrjevati', 'znamenje', 'signalizacijo', 'graphemes', 'nebesno_znamenje', 'grafemsko', 'signalizacije', 'elektronegativnost', 'grafično_znamenje', 'črka', 'omen', 'signalizacija', 'tabli'}
silly	{'neumno', 'omotičen', 'silly', 'aboten', 'butast', 'glúp', 'nonsensicality', 'vrtoglav', 'neumen', 'nesmiselno', 'nor', 'ganljiv', 'podvala', 'bedast', 'omejen', 'čudaški', 'nesmisel', 'trapast', 'slepilo'}
sin	{'sinus', 'grehe', 'grešiti', 'shin', 'singalščina', 'sine', 'grešniki', 'grešíti', 'šin', 'sin', 'greh', 'grešnost', 'srbščina', 'sinning', 'hudič'}
sing	{'vokal', 'pevec', 'sing', 'blebetati', 'zapeti', 'ženski_vokal', 'prepevati', 'izbrbljati', 'harmonija_vokal', 'pop_pevka', 'leisure', 'peti', 'petje', 'brbljati', 'vocalizing'}
sit	{'usesti_se', 'sit', 'jezditi', 'pozirati', 'posedati', 'paziti_otroke', 'zasedati', 'čuvati_otroke', 'sedenje', 'vsesti_se', 'stati', 'sedeti', 'voziti', 'sesti', 'sedel', 'jahati', 'posesti', '???'}
skin	{'odreti', 'čutilna_telesca', 'avstralski_aboriginal_sorodstvo', 'lupina', 'almost_human', 'umobolnico', 'blender', 'zdravstvene_organizacije', 'lupiti', 'duševna_bolnica', 'preobleka', 'tiskanih_vezij', 'podkožje', 'plug-in', 'skinnable', 'vezje_kartice', 'ray_of_light', 'skin', 'olupek', 'psihiatrične_bolnišnice', 'day_for_night', 'lupino', 'programski_dodatek', 'duševne_dom', 'cutis', 'tiskano_vezje', 'kožo', 'oplata', 'krzno', 'vezje', 'r._kelly', 'olupiti', 'ovoja', 'podkožno_tkivo', 'kožuh', 'vtičnik', 'dodatni_program', 'ovoj', 'usnjica', 'psihiatrična_bolnišnica', 'dodatek', 'programska_razširitev', 'koža'}
sky	{'sky_airlines', 'ozračje', 'atmosfera_zemlje', 'modrina', 'safir', 'stacey_king', 'zemljino_ozračje', 'zrak', 'lazuline', 'nebesno_modra', 'team_sky', 'zemljina_atmosfera', 'ozračju_zemlje', 'nebo', 'credo', 'cerulean', 'azuran', 'thatgamecompany', 'justin_boller', 'zêmljina_atmosfêra', 'heterosphere', 'zagnati', 'winx_club', 'zemljino_atmosfero', 'sky', 'nebo_modro'}
sleep	{'quietus', 'spi', 'hibridno_stanje_pripravljenosti', 'stanju_pripravljenosti', 'letargija', 'spanja', 'večni_spanec', 'večni_počitek', 'sen', 'spati', 'mirovanje', 'spanje', 'dremati', 'stanje_pripravljenosti', 'zaspanost', 'the_black_parade', 'sopor', 'spanec', 'dremež', 'prezimovanje', 'sleep', 'mirovanja'}
small	{'manjši', 'mikroskopski', 'ozek', 'small', 'john_kunkel_small', 'malo', 'majhen', 'slaboten', 'skromen', 'mali', 'šibek', 'nizek'}
