ability	{'zdolność', 'uzdolnienie'}
liver	{'wątroby_wołowej', 'wątróbka', 'wątroba', 'wątroby'}
long	{'long', 'pozycja_długa', 'william_henry_long', 'długa_pozycja', 'wysoki', 'długo', 'długi', 'longa', 'bloody_roar'}
louse	{'wesz_ptak', 'menda', 'stawonóg', 'wszy', 'arthropoda', 'wesz_roślin', 'stawonogów', 'wsza', 'wesz', 'gnida', 'stawonogi', 'ssanie_wesz', 'phthiraptera', 'piłka_brud', 'gryzienie_wesz'}
magic	{'lustro_fenickie', 'alagaesii', 'driving_rain', 'kiri_te_kanawa', 'lustro_półprzepuszczalne', 'magic:_the_gathering', 'mbda_magic', 'magia', 'taumaturgii', 'trik', 'świat_dysku', 'sztuka_iluzji', 'magija', 'cudotwórca', "magia_w_świecie_harry'ego_pottera", 'make_a_scene', 'thaumaturgic', 'iluzjonistów', 'animagus', 'magii', 'parseltongue', 'dziedzictwo', 'wyczarować_sztuczkę', 'czary', 'magic!', 'axel_rudi_pell', 'trans', 'artefakt', 'magic_the_gathering', 'octiron', 'leandro_marín', 'secret_time', 'just-in_the_mix', 'sztuczka', 'matra_magic', 'dame_kiri_te_kanawa', 'octarine', 'obieżysfera', 'czar', 'szczypta_magii', 'take_me_home', 'kuglarstwo', 'magiczna_sztuczka', 'urok', 'wonderworking', 'dame_kiri_te_kanawa_janette', 'oktaryna', 'magic', 'matra_r550_magic', 'lustro_weneckie', 'oklumencji', 'te_kanawa', 'justin_timberlake', 'r550_magic', 'pluto', 'trick'}
man	{'na_świecie', 'człowieczeństwo', 'haradrimowie', 'wan', 'man', 'metropolitan_area_network', 'manfred_gnadinger', 'człowieka', 'plemię_adamowe', 'wen', 'ród_ludzki', 'cornelis_de_man', 'kamerdyner', 'homo', 'dunlendingowie', 'homo_sapiens', 'miejska_sieć_komputerowa', 'wariagowie', 'męskość', 'unix_manual', 'dunlending', 'port_lotniczy_manchester_airport', 'rodzaj_ludzki', 'mężczyzna', 'wojak', 'ludzkości', 'istoty_ludzkie', 'atani', 'ludzki', 'wojskowy', 'manfred_gnädinger', 'ludzi', 'woźnicy', 'człowiek_współczesny', 'bierka', 'valet_de_chambre', 'człowiek_rozumny', 'wyspa_man', 'gatunku_ludzkiego', 'ghan-buri-ghan', 'man_se', 'władcy_man', 'ród_człowieczy', 'sieć_miejska', 'świat', 'świata', 'dojrzałe_płciowo', 'pan', 'relient_k', 'variagowie', 'atanatári', 'port_lotniczy_manchester', 'mąż', 'ludzie', 'człowiek', 'isle_of_man', 'man_ag', 'żołnierz', 'dorosłych_mężczyzn', 'podręcznik_ekranowy', 'ludzkość', 'homo_sapiens_sapiens', 'ja,_twardziel', 'wosowie', 'beorningowie', 'żołdak', 'mężczyzn', 'ghân-buri-ghân', 'pionek', 'dżentelmenów_gentleman'}
many	{'many', 'wiele'}
marriage	{'żeniaczka', 'siunjata', 'małżonkowie', 'związek', 'małżeństwo', 'unia', 'węzeł_małżeński', 'nicość', 'stadło', 'wesela', 'panna_młoda', 'małżeństwo_w_katolicyzmie', 'nihility', 'ceremonia_ślubna', 'ożenek', 'zamążpójście', 'oblubieńczej_relacji', 'sojusz', 'małżeńskie_stadło', 'ceremonii_ślubnej', 'zaślubin', 'gody', 'ślub_cywilny', 'małżeństwa', 'poślubić', 'ślub', 'państwo', 'wesele', 'związek_małżeński', 'nicestwo', 'rocznice_małżeńskie', 'mąż_i_żona', 'hymeneals', 'mariaż', 'nieważności'}
material	{'tworzywo', 'materiału', 'materiał', 'fizykalizmu', 'substancjalny', 'włókienniczy', 'tekstylia', 'materiały', 'substancjonalny', 'fizykalizm', 'tkanin', 'materialny', 'tekstyle', 'tkanina', 'tkaniny', 'rzeczy', 'materializm', 'materialistów'}
mathematical	{'math', 'matematyki', 'matematyka', 'matematycznie', 'matematyce', 'matematyczny'}
meat	{'meritum', 'sercem_i_duszą', 'mięso', 'istota', 'kwintesencja', 'we_will_rock_you', 'shawn_stasiak', 'sedna', 'istota_bytu', 'esencji', 'nauki_mięsa', 'esencja', 'jądro', 'sedno'}
mechanism	{'mechanizmy_reakcji_chemicznych', 'narzędzie', 'mechanizm_reakcji_chemicznej', 'ruch', 'mechanizm', 'mechanizm_reakcji', 'maszyny', 'werk', 'mechanizm_chemiczny', 'maszyneria', 'maszyn', 'maszyna', 'machinery_records', 'urządzenie'}
medication	{'blockbuster_narkotyków', 'version_2.0', 'leków_farmaceutycznych', 'farmaceutyki', 'leków', 'produkt_leczniczy', 'lek', 'leczniczy_lek', 'apteczny', 'specyfik', 'rescue', 'leki', 'farmaceutyk', 'farmaceutyczny', 'medykament', 'remedium', 'medycyna', 'lekarstwo'}
money	{'history:_past,_present_and_future,_book_i', 'me._i_am_mariah..._the_elusive_chanteuse', 'the_art_of_letting_go', 'dutki', 'społeczne_funkcje_pieniądza', 'history:_past,_present_and_future_book_i', 'zapłata', 'the_sound_of_girls_aloud', 'pieniądz', 'pieniądz_zdawkowy', 'pieniędzy', 'history', 'pieniężne', 'money', 'pieniądze'}
moon	{'kyōko_fukada', 'christopher_robin_milne', 'miesiączek', 'miesiąca_księżycowego', 'moon', '문', 'miesiąc_synodyczny', 'jowisz', 'księżyca', 'pismo_moona', 'lunacja', 'księżyców', 'alfabet_moona', "pismo_moon'a", 'słońce', 'mars', 'sun_myung_moon', 'synodyczny_miesiąc', 'światło_księżyca', 'srebrny_glob', 'naturalny_satelita', 'kyoko_fukada', 'satelitów_naturalnych', 'satelita_naturalny', 'wenus', 'słońca', 'pole_magnetyczne_księżyca', 'air', 'księżyc', 'pluton', 'satelita'}
mother	{'bogini_matka', 'zakonnica', 'synchronicity', 'siostry_zakonne', 'a_chorus_line', 'rodzic_żeński', 'magna_mater', 'matka', 'siostra_zakonna', 'siostra', 'matka_ziemia', 'mniszka', 'tichon_chrennikow', 'rodzicielka', 'wielka_bogini', 'bogini-matka', 'wielka_macierz', 'matki_ziemi', 'how_big,_how_blue,_how_beautiful', 'zakonnica_mniszka', 'matek', 'mama', 'tichon_chriennikow', 'sisters_of_avalon', 'mother', 'mamusia', 'chorus_line', 'macierzyństwo', 'how_big'}
mountain	{'góra', 'partia', 'legion', 'good_deal', 'zastęp', 'passel', 'teren_górzysty', 'bardzo_mało', 'dużo', 'tabun', 'armia', 'mickle', 'muckle', 'obrót', 'sahtu', 'schludny_suma', 'mountain', 'wiele', '4-8-2', 'sporo'}
mouth	{'wokół_ust', 'ujście_rzeki', 'wierzchołek', 'ujście_rzeczne', 'węzeł', 'rozmawiać', 'estuarium', 'vertex', 'sassing', 'jamy_ustnej', 'tuba', 'sass', 'ponownie_rozmawiać', 'ujście', 'cavum_oris', 'ustny_szczelina', 'usta', 'labium', 'paszcza', 'buzia', 'gęba', 'mówić', 'jama_ustna', 'pysio', 'backtalk', 'rima_oris'}
movement	{'fekalia', 'ordure', 'prąd_w_sztuce', 'movement_ep', 'odchody', 'wypróżnienia', 'front', 'opróżnienie', 'odchodów', 'wypróżnianie', 'zjawisko_fi', 'krucjata', 'ruszenie', 'aktywności_ruchowej', 'ruch_filozoficzny', 'ruchów_artystycznych', 'ciżba', 'stolec', 'gówno', 'pozorny_ruch', 'ruchliwość', 'ruch_sztuki', 'poruszenie', 'defekacji', 'łajno', 'ruchy_społeczne', 'przemieszczenie', 'zastęp', 'sranie', 'tłum', 'defekacja', 'ruch_artystyczny', 'the_pillows', 'gówno_łajno', 'ekskrementy', 'wypróżnienie', 'lokomocji_zwierząt', 'ruchu', 'ruchu_społecznego', 'kał', 'ruch', 'kału', 'werk', 'she_wolf', 'ruch_społeczny', 'movement', 'ruchów_społecznych', 'kierunek_w_sztuce', 'wypróżnień'}
movie	{'full-motion_video', 'moving-pokaz_zdjęć', 'motion-picture', 'filmów', 'pokaż_zdjęcie', 'full_motion_video', 'film_pełnometrażowy', 'film', 'latawce', 'obraz', 'ruchomy_obraz', 'ruchomym_obrazie', 'motion-picture_pokaż', 'kites', 'dużym_ekranie', 'fmv', 'motion_picture'}
music	{'eufonia', 'muzyka', 'muzyka_prehistoryczna', 'music', 'country_rock', 'muzyki', 'the_music'}
name	{'reputacja', 'nazwa_własna', 'prawidłowa_nazwa', 'identyfikator', 'nazwa_komputera', 'postać', 'rzeczowniki', 'wybierać', 'fraza_nominalna', 'nomen_proprium', 'name', 'wybrać', 'id', 'miano', 'nazwa', 'nomina_propria', 'nazwanie', 'własna', 'wspomnieć', 'przytoczyć', 'identyfikatory', 'nazwy_własne', 'epitet', 'nominalny', 'wspominać', 'rzeczownik', 'imiona_własne', 'imię_własne', 'wyrażenie_rzeczownik', 'nazwać', 'nazwa_osobowa', 'gens', 'sława', 'rzeczownik_własny', 'imię', 'fraza_rzeczownikowa', 'publiczna', 'nazwisko'}
narrow	{'wąski', 'ciasny', 'ograniczony', 'soap&skin'}
nation	{'nacja', 'prowincja', 'nation', 'państwo_niepodległe', 'discworld', 'dorfl', 'ciało_polityczne', 'świat_dysku', 'kraj', 'narodów', 'carry_nation_amelia_moore', 'suwerennych_państw', 'podział_administracyjny_meksyku', 'społeczeństwa_politycznego', 'naród', 'carrie_nation', 'meksykańskim_stanie', 'państwa', 'teren', 'państwo', 'deklaratywnej_teorii_państwowości', 'zaścianek', 'nawa_państwowa', 'kraju', 'carry_nation', 'apollo_crews', 'rządowych', 'rodzaje_państw_kapitalistycznych', 'kraje_związkowe_niemiec', 'kendrick_lamar', 'stan', 'landy_w_niemczech', 'res_publica', 'kraj_związkowy', 'ziemia', 'narodu'}
near	{'near_shoemaker', 'kochany', 'bliski', 'nadciągać', 'near_earth_asteroid_rendezvous', 'nieodległy', 'zbliżać_się', 'blisko', 'near', 'prawie', 'nadchodzić', 'miły', 'niedaleki', 'praktycznie'}
neck	{'szyi', 'gryf', 'kark', 'niksy', 'szyjka', 'karczek', 'karku', 'neck', 'szyja'}
new	{'świeży', 'nowy', 'oryginalny', 'nowo', 'młody', 'delete', 'new'}
news	{'wiadomości', 'nowości', 'reportażu', 'news', 'wartości_informacyjnej', 'wieści', 'bieżących_wydarzeń', 'wiadomość', 'słowo', 'pokaż_wiadomości', 'program_informacyjny'}
night	{'nocy', 'nyx', 'midnight_blue', 'eliezer_wiesel', 'nox', 'noc', 'północ', 'elie_wiesel', 'night', 'nyks', 'nótt', 'wiesel'}
noise	{'stochasticity', 'fala_akustyczna', 'promieniowanie_reliktowe', 'cmbr', 'rozchodzenie_się_dźwięku', 'promieniowanie_tła', 'zagrożenie_hałasem', 'szumy', 'haphazardness', 'fale_dźwiękowe', 'hałasu_przemysłowego', 'przeszkody_atmosferyczne', 'szum', 'fali_akustycznej', 'dźwięk', 'zanieczyszczenie_dźwięk', 'losowość', 'fale_sprężyste', 'mikrofalowego_promieniowania_tła', 'atmospheric_statyczne', 'mikrofalowe_promieniowanie_tła', 'zakłóceń', 'dźwięki_słyszalne', 'fali_dźwiękowej', 'fale_akustyczne', 'fonia', 'szum_akustyczny', 'kosmiczne_promieniowanie_tła', 'niejednorodności_promieniowania_tła', 'fala_dźwiękowa', 'kosmicznego_promieniowania_tła', 'szumów', 'cbr', 'promieniowanie_reklitowe', 'eos', 'hałas', 'noise', 'zakłóceń_radiowych', 'promieniowanie_szczątkowe', 'zakłócenia_obrazu', 'cmb', 'hałasu', 'elementary_os'}
nose	{'dysz', 'zapach', 'gore', 'organ_węchowy', 'bukiet', 'dysza', 'aromatów', 'dziób', 'aromat', 'aromatyczne', 'ludzkiego_nosa', 'dysze', 'nos'}
not	{'bramka_logiczna', 'nie', 'logic_gate', 'oraz', 'negacja', 'bramki_logiczne', 'dyskretnej_logiki', 'bramek_logicznych', 'negacja_logiczna'}
obligation	{'odpowiedzialność_moralna', 'świadectwo_zadłużenia', 'przyrzeczenie', 'prawo_zobowiązań', 'powinność', 'obowiązek', 'prawa_zobowiązań', 'obligacji', 'ciężar', 'obowiązku', 'zobowiązanie', 'odpowiedzialność', 'obietnica', 'instrument_dłużny', 'dług', 'zapewnienie', 'zobowiązania'}
old	{'poprzedzający', 'stary', 'mieć_+_number_+_rok#polish', 'niemłody', 'old', 'mieć', 'starych_winorośli', 'były', 'wyprzedzający'}
one	{'jedności', 'tylko_jeden', 'n-krotka', 'vertical_man', 'armin_van_buuren', 'einsfestival', 'daniel_rosenfeld', 'still_not_getting_any...', 'the_one', 'one', 'c418', 'jedynka', 'tupla', 'planetshakers', 'achiever', 'succeeder', 'enneagram', 'vampire_weekend', 'national_express_east_anglia', 'jeden', 'wspólny', 'osobniczy', 'moja_miłość', 'jednostkowy', 'krotka', 'krotek', 'supposed_former_infatuation_junkie', 'ace', 'sześcioodcinkowy', '1', 'krotki', 'still_not_getting_any…'}
other	{'pozostały', 'inne', 'innych'}
pain	{'nocycepcja', 'forever', 'ból_w_dupie', 'nad_obręczą', 'bolesność', 'ból', "game's_pain", 'utrapienie', 'pain', 'rani', 'utrapieniec', 'king_of_da_ghetto', 'bolesne_uczucie', 'czucie_bólu'}
personality	{'jaźń', 'istność', 'istota', 'osobowości', 'postać', 'indywidualność', 'personality', 'jestestwo', 'osobowość', 'teorie_osobowości', 'ja'}
philosophy	{'szkoła_naukowa', 'izm', 'doktryna', 'system_poglądów', 'doktryna_polityczna', 'filozofia', 'filozofii', 'filozof', 'szkoła_myślenia', 'doktryny', 'system_filozoficzny', 'szkoły'}
picture	{'awatar', 'oklumencji', 'moving-pokaz_zdjęć', 'rycina', 'pokaż_zdjęcie', 'ilustracji', 'zdjęcie', 'parseltongue', 'ruchomy_obraz', 'grafika', 'obrazem', 'obrazowanie', 'fotka', 'motion_picture', 'mentalny_obraz', 'zdjęcie_fotografia', 'zdjęcia', 'przestawiać', 'malarka', 'word-malarstwo', 'malarstwo', 'film_pełnometrażowy', 'fotografia', 'wyobrażeń', 'zdjęcie_fotograficzne', 'książek_ilustrowanych', 'motion-picture_pokaż', 'ilustracja', 'ilustrator', 'wzornictwo', 'odmalować', 'obraz_fotograficzny', 'obrazu', 'malarzy', 'słowo-obraz', 'obraz', 'malowidło', 'zobaczyć', 'wideo', 'kiss', 'dużym_ekranie', 'film', 'rysunek', 'elementy_graficzne', 'malarstwa_klasycznego', 'obraz_słowo', 'cobol', 'motion-picture', 'filmów', 'egzemplifikacja', 'malarz', 'animagus', 'ruchomym_obrazie', 'awatara', 'rysownik', "magia_w_świecie_harry'ego_pottera"}
pig	{'prosiątko', 'flejtuch', 'sus', 'conjoiners', 'pig', 'conjoiner', 'zgniłek', 'prosię', 'niechlujnie_osoba', 'nierogacizna', 'klasa_iii', 'klasa_i', 'gliniarz', 'pożreć', 'dziki_wieprz', 'prosić_się', 'sus_scrofa', 'wieprz', 'porc', 'fleja', 'dzik_europejski', 'sus_scrofa_domestica', 'świnka', 'prosiak', 'klasa_ii_b', 'wieprzowina', 'klasa_ii_a', 'wskaźnik_inspekcji_rurociągu', 'scrofa', 'sus_domestica', 'plucha', 'locha', 'łóżko_świnia', 'tłoków', 'świnina', 'paskuda', 'świnia', 'humber_pig', 'knur', 'fv1612_pig', 'zhu_bajie', 'zhu_wuneng', 'glina', 'dzik_euroazjatycki', 'maciora', 'fv1611_pig', 'trzoda_chlewna', 'klasa_iv', 'policjant', 'dzik', 'czarny_zwierz', 'shote', 'niski_grubas', 'prosiaka', 'pożerać', 'siać', 'mięso_wieprzowe', 'shoat', 'świnia_domowa', 'pies', 'świntuch'}
plan	{'icl_1900', 'marynarka_wojenna_chińskiej_armii_ludowo-wyzwoleńczej', 'plan', 'plan_architektoniczny', 'flota_chin', 'zaplanować', 'zarządzania_programem', 'planować', 'kierownik_programu', 'series_1900', 'zhōngguó_rénmín_jiěfàngjūn_hǎijūn', 'program', 'planu', 'programu'}
plant	{'roślin', 'factorij', 'zakład_przemysłowy', 'linii_montażowej', 'taśma_produkcyjna', 'roślina_zielna', 'nitka_produkcyjna', 'toraigan', 'zakład_produkcyjny', 'lista_pojęć_związanych_z_wrestlingiem', 'flora', 'faktoria', 'naganiacz', 'flory', 'plantae', 'rośliny', 'floras', 'fabryka', 'słup', 'vegetabilia', 'życie_roślin', 'roślina', 'ustanowić', 'gatunki_roslin', 'taśma_montażowa', 'linia_montażowa', 'pole_d', 'zakładów_produkcyjnych', 'linia_produkcyjna', 'gatunków_roślin', 'strefa_d', 'zakład', 'podbijania', 'trigun', 'flor', 'fabryki', 'zabudowa_przemysłowa', 'feitoria', 'linii_produkcyjnej', 'plant', 'archaeplastida', 'roślinność'}
play	{'hazard', 'postawić', 'jazdy', 'harce', 'bawić_się', 'manewr', 'sztuka_teatralna', 'figle', 'swawola', 'patologiczny_hazard', 'dramat', 'sztuka', 'grać', 'play', 'dramaturg', 'dokazywanie', 'stageplay', 'baraszkować', 'google_music', 'gry', 'play_online_na_kartę', 'odgrywać', 'play_store', 'gry_hazardowe', 'migotać', 'android_market', 'dramatopisarz', 'gra', 'teatralnej', 'play_fresh', 'okres_gry', 'google_play_store', 'play_mobile', 'pl_06', 'brykać', 'play_na_kartę', 'dramatyczna_gra', 'wolną_rękę', 'nadchodzi4', 'play_online', 'gra_hazardowa', 'uruchomić', 'przynieść', 'luz', 'sceny_dramatyczne', 'grając_okres', 'szermierka', 'zabawa', 'google_muzyka', 'psoty', 'zakładać_się', 'zakłady', 'google_play', 'występować'}
pleasure	{'zachwyt', 'przyjemności', 'uciecha', 'sondre_lerche', 'semisonic', 'radość', 'rozkosz', 'frajda', 'przyjemność', 'pleasure_p'}
poor	{'wskaźnik_ubóstwa', 'biedak', 'biedny', 'mizerny', 'bieda', 'głębokość_ubóstwa', 'ubóstwo', 'zubożenie', 'luka_dochodowa', 'mortus', 'ubóstwa', 'dobrowolnego_ubóstwa', 'nędzarzy', 'ślub_ubóstwa', 'biedni_ludzie', 'nędzny', 'niedostatek', 'niezamożność', 'ubogi'}
prison	{'zakład_karny', 'areszt', 'tom_robinson', 'więzieniach', 'uwięziony', 'jailhouse', 'więzienie', 'poprawczych_instytucji', 'więzienia', 'medium_bezpieczeństwo', 'ciasny', 'więzieniu', 'uwięzić', 'ubogi'}
professional	{'zawodowy', 'zawodowiec', 'wykwalifikowany', 'zawodowych_sportowców', 'kompetentny', 'o_profesjonalnym_wyglądzie', 'sport_zawodowy', 'profesjonalista', 'wyczynowiec', 'fachowy', 'specjalistów', 'ekspert', 'zawodowych', 'profesjonalizmu', 'zawodowe_osób', 'profesjonalny', 'kiss_land', 'wyszkolony', 'profesjonał', 'specjalistyczny', 'ekspertów', 'kwalifikowany', 'mistrz', 'wolny_zawód'}
protection	{'ochrona_handlu', 'asekuracja', 'auspicje', 'bezpieczeństwa', 'obrona', 'osłona', 'ochrony', 'schronienie', 'bezpieczeństwo', 'protection', 'haracz', 'egida', 'ochrona', 'pole_siłowe'}
pull	{'przyciągać', 'skrócie_nogi', 'pociągnąć', 'wyrywać', 'batsmen', 'ciągnąć', 'odsuwacz', 'spojrzenie_na_nogi', 'popełniać', 'siła_przebicia', 'mrugnięcia', 'przyciągnąć', 'wyciągać', 'batsman', 'rozwalać', 'pull', 'ciągnięcie', 'non-striker'}
push	{'energia', 'stosu', 'temperament', 'życie', 'przycisk', 'pchanie', 'witalizm', 'przycisku', 'pchać', 'tush', 'pobudzać', 'popychanie', 'lifo', 'popchnąć', 'klawisz', 'hej,_skarbie', 'impuls', 'get-up-and-go', 'guzik', 'posuwanie', 'żwawość', 'hej', 'promować', 'push', 'rześkość', 'swada', 'popychać', 'zachęcać', 'rzeźwość', 'confessions_on_a_dance_floor', 'precious', 'dziarskość', 'wigor', 'żywotność', 'witalność', 'tonus_życiowy', 'pchnąć', 'chirurdzy', 'ikra', 'dynamiczność', 'werwa', 'żywość', 'black_and_white_america', 'stos', 'energiczność', 'chirurdzy_sezon_6'}
quality	{'quality', 'cecha', 'jakość', 'poziom_życia', 'barwy', 'timbral', 'tembr', 'timbre', 'przymiot', 'jakości', 'standard_życia', 'charakter', 'barwę', 'barwa_dźwięku', 'wyborowy', 'dźwięk', 'doborowy'}
rain	{'opad_deszczu', 'ulewy', 'deszczu', 'deszczówka', 'deszcz', 'in_blue', 'heavy_rain:_the_origami_killer', 'rain', 'pole_pszenicy_w_deszczu', 'obrzucanie', 'opadów', 'deszczowej', 'woda_deszczowa', 'grzech', 'heavy_rain', 'john_colton'}
reaction	{'odzew', 'reakcja_oderwania', 'reaction', 'reakcja_prosta', 'reakcję_chemiczną', 'chemicznie', 'reakcja', 'reakcja_chemiczna', 'reakcyjność', 'reakcji_chemicznych', 'reakcje_chemiczne', 'reagowanie', 'reakcji', 'przemiana_chemiczna'}
read	{'lektura', 'uczyć_się', 'czytać', 'czytania', 'studiować', 'czytanie', 'read', 'oddawanie_się_lekturze', 'uczyć', 'przeczytać'}
red	{'czerwień', 'raudt', 'czerwony', 'barwa_czerwona', 'kolor_czerwony', 'one_more_red_nightmare', 'bolszewików', 'czerwoność', 'red', 'starless', 'zaczerwieniony', 'day_&_age', 'strata', 'krwawy', 'międzynarodówkowa_robotnicza_lewica', 'after_school', 'red_river', 'anil_kapoor', 'czerwony_kapturek_-_prawdziwa_historia', 'partii_bolszewickiej', 'ruoksat', 'czerwony_kapturek_–_prawdziwa_historia', 'bolszewicy', 'rubinowy', 'bolshy', 'karmazynowy', 'angry_birds', 'rødt', 'a.s.', 'red_digital_cinema_camera_company', 'providence', 'czerwonym_atramentem', 'bolszewizmu', 'ff0000', 'bolshie'}
relationship	{'pokrewieństwa', 'teść', 'system_pokrewieństwa', 'relacji', 'bratowa', 'stosunek', 'dziadkowie', 'znajomy', 'ludzka_relacja', 'szwagierka', 'relacje_interpersonalne', 'kuzynka', 'świekier', 'związek', 'synowa', 'powiązanie', 'zięć', 'bratanica', 'acquaintanceship', 'relacja', 'członkowie_rodziny', 'krewny', 'świekra', 'stryjek', 'szwagier', 'relacja_genealogiczna', 'nazwy_członków_rodziny', 'grupy_zniżania', 'świekr', 'wnuk', 'połączenie', 'długoterminowych_relacji', 'szwagrowa', 'pokrewieństwa_i_pochodzenia', 'wnuczka', 'znajomość', 'relacja_rodzinna', 'związek_interpersonalny', 'relacji_międzyludzkich', 'bratanek', 'związek_rodzinny', 'kuzyn', 'towarzystwa'}
religious	{'pietystyczny', 'religijny', 'religijnych', 'duchowny', 'zakonnik', 'bogobojny'}
residence	{'domu', 'życie', 'rezydent', 'mieszkania', 'dwór', 'lokum', 'dom_mieszkalny', 'dom', 'mieszkanka', 'mieszkaniec', 'chałupa', 'chata', 'miejsce', 'kąt', 'dach', 'domostwo', 'prywatnej_rezydencji', 'mieszkańca', 'budynek_mieszkalny', 'habitant', 'mieszkańców', 'rezydencji', 'sadyba', 'własny_kąt', 'mieszkanie', 'residencia', 'siedlisko', 'zamieszkania', 'mieszkań', 'dach_nad_głową', 'siedziba', 'miejsce_zamieszkania'}
right	{'niezbywalne_prawo', 'standardów_etycznych', 'leworęcznych', 'moralnym_filozof', 'system_etyczny', 'prawa_strona', 'słuszność', 'poprawny', 'hoyre', 'niezbywalne_prawa', 'etyki', 'zagadnień_etycznych', 'niezbywalne', 'praworęczny', 'prawym', 'dobra_i_zła', 'prawica', 'praw', 'høyre', 'prawicowcach', 'filozofia_moralna', 'teorii_etycznej', 'prawoskręt', 'bezstronności', 'prawidłowo', 'niezbywalnych_praw', 'właściwy', 'prawicowej', 'prawy', 'etyka', 'prawo', 'właściwie', 'poprawnie', 'rightism', 'prawicowy', 'konserwatywny', 'filozofii_moralnej', 'konserwatywna_partia_norwegii', 'leworęczny', 'young_americans', 'niezbywalnymi_prawami', 'legalne_prawo', 'norweska_partia_konserwatywna', 'rację', 'względny_kierunek', 'prawa_ręka', 'etyk', 'prawidłowy', 'prawicowość', 'prawa_naturalnego', 'prawicowiec', 'racja', 'prawo_podmiotowe', 'prawa', 'nieetyczne'}
river	{'ciek', 'cieki_wodne', 'ruisseau', 'rzeka', 'watermark', 'rzeki', 'strumieni', 'potok', 'ciek_wodny', 'przerywany_strumień', 'rzeki_świata', 'kanaliki', 'rzek', 'revival', 'sestao_river_club', 'jezioro_ellswortha', 'river'}
road	{'away_game', 'road', 'gra_droga', 'wyjazdowym_meczu', 'the_road', 'budowy_dróg', 'droga', 'new', 'drogi', 'ruch_obywatelski_akcja_demokratyczna', 'droga_samochodowa', 'groble'}
root	{'rdzeń', 'przodka', 'przodek', 'katagen', 'rdzeń_wyrazowy', 'włosy', 'zakorzenione_drzewo', 'pierwiastek_funkcji', 'korzeń', 'drzewo', 'kraina_fal', 'przodków', 'liść_drzewa', 'ascendent', 'interwał_mały', 'zalążek', 'tonalny_centrum', 'korzeń_drzewa', 'wstępny', 'prymę', 'temat_fleksyjny', 'miejsce_zerowe_funkcji', 'odległość', '0', 'interwał_dysonansowy', 'interwał_melodyczny', 'interwał_konsonansowy', 'akord_toniczny', 'pierwiastek_algebraiczny', 'konohagakure', 'pierwiastek_arytmetyczny', 'korzeni_czepnych', 'interwał_wielki', 'pierwiastek', 'superużytkownik', 'temat_wyrazu', 'root', 'pień', 'słowo_korzeń', 'tonik', 'poprzednik', 'interwał_harmoniczny', 'przodkowie', 'toor', 'włos', 'pierwiastek_zespolony', 'korzenia_zęba', 'źródło', 'interwał_muzyczny', 'pierwiastkowanie_liczb_zespolonych', 'etymon', 'dendryt', 'las', 'centrum_tonalnego', 'system_korzeniowy', 'początek', 'morfem_leksykalny', 'źródłosłów', 'źródłem', 'tonika', 'superuser', 'pierwiastkowanie', '√', 'włochaty', 'antenat', 'interwał_zwiększony', 'drzewa', 'interwał_zmniejszony', 'zero', 'pochodzenia', 'użytkownik_główny', 'miejsce_zerowe', 'muzycznych_odstępach', 'interwał_czysty', 'interwał', 'superużytkownika', 'ludzkich_włosów', 'korzenia', 'centrum_tonalne'}
rope	{'rope', 'skakanka', 'zapomnij_mnie_narkotyk', 'mexican_valium', 'liny', 'r-2', 'ropemaker', 'powróz', 'roofy', 'lina', 'lin', 'sznur', 'rophy'}
rotten	{'zgniły', 'gówniany'}
round	{'ciała', 'cyfry_wartościowe', 'tamowanie_krwi', 'nabój', 'owoców', 'bukiet', 'kolisty', 'amunicja_scalona', 'nabój_zespolony', 'runda_golfa', 'najbardziej_znacząca_cyfra', 'round', 'poprzeczka', 'okrągły', 'krągły', 'nabój_scalony', 'krzyżówka', 'precyzji_arytmetycznej', 'cyfr_znaczących', 'znaczącą_postacią', 'walki_nagród', 'jeden_strzał', 'kula', 'cyfra', 'cyfry_znaczące', 'rękawica_bokserska', 'zaokrąglać', 'obchód', 'pięściarstwo', 'bareknuckle', 'kolejkę', 'krzyżowa', 'jednostka_amunicji', 'pięściarz', 'pocisk', 'obudowa', 'cyfry_istotne', 'amunicja_zespolona', 'bokser', 'boks', 'łuski', 'prizefighting', 'pięściarka', 'runda', 'rękoczyny', 'kolejka', 'codziennie_runda', 'cykl', 'mineralności'}
rub	{'trzeć', 'rubel_rosyjski', 'lista_pojęć_związanych_z_wrestlingiem', 'skrobać', 'wycierać'}
sad	{'sadhe', 'depresja_zimowa', 'smutek', 'choroba_afektywna_sezonowa', 'lost_dogs', 'sezonowe_zaburzenie_nastroju', 'smęt', 'depresja_jesienna', 'cadi', 'smutny', 'depresja_sezonowa', 'sezonowe_zaburzenia_afektywne'}
salt	{'nacl', 'sól_jonowa', 'solić', 'henry_salt', 'metody_otrzymywania_soli', 'solniczka', 'strategic_arms_limitation_treaty', 'sól_sodowa', 'soli_potasowej', 'słoność', 'sól', 'słony', 'chlorku_sodu', 'sole', 'chlorek_sodu', 'as-salt', 'soli_drogowej', 'strategic_arms_rozmowy_przedawnienia', 'posolić', "salt'n'pepa", 'produkcji_soli', 'soli_kuchennej', 'sól_kuchenna', 'salt-n-pepa', 'salt', 'soli', 'sól_spożywcza', 'cheryl_james'}
