ability	{'evne', 'aptitude'}
pleasure	{'fred_ball', 'glede', 'hyggelig', 'sondre_lerche', 'semisonic', 'pleasure', 'sondre_lerche_vaular', 'pleasure_p', 'nytelse', 'fredrik_ball', 'fredrik_william_ball'}
poor	{'ekstrem_fattigdom', 'frivillig_fattigdom', 'lav_inntekt', 'fattig', 'blakk', 'fattiglemmer', 'relativ_fattigdom', 'urban_fattigdom', 'global_fattigdom', 'dårlig', 'nødlidende', 'fattigdom', 'løfte_av_fattigdom', 'underpriviligert', 'forringelse', 'fattige', 'ubemidlede'}
prison	{'correctional_facility', 'incarcerate', 'hjem', 'spjeld', 'middels_sikkerhet', 'kriminalomsorgens_institusjon', 'tom_robinson', 'fengsel', 'institusjon', 'botsfengsel', 'jailhouse', 'pokey', 'poky', 'minimum_sikkerhet', 'straffeanstalt', 'fengslet', 'anstalt', 'fengsler'}
professional	{'profesjonelle_idrettsutøvere', 'ekspert', 'mester', 'profesjonell_idrett', 'profesjonell_idrettsutøver', 'fagfolk', 'yrkesmessig', 'faglig', 'eksperter', 'profesjonell_person', 'profesjonalitet', 'profesjonell_sport', 'profesjonelle', 'profesjonell', 'fagleg'}
protection	{'omsorg', 'beskyttelsesdeksel', 'vern', 'forsvar', 'handel_beskyttelse', 'regi', 'dekke', 'sikkerhet', 'protection', 'skjul', 'sikkerhet_trygghet', 'beskyttelse', 'ly'}
pull	{'drag_blås', 'trekke', 'batsmen', 'batting', 'omvendt_feie', 'benet_blikk', 'pull', 'pull_skudd', 'tiltrekke', 'drag', 'gjennomføre'}
push	{'alternativknappen', 'stack', 'radio-knappen', 'precious:_based_on_the_novel_push_by_sapphire', 'presse', 'confessions_on_a_dance_floor', 'skyvekraft', 'dytt', 'precious', 'trykknapp', 'stakk', 'dytte', 'skyve', 'knapp', 'kontakt', 'en', 'skyvekraft_thrust', 'reklamere', 'get-up-and-go', 'black_and_white_america', 'precious:_based_on_the_novel_"push"_by_sapphire', 'skubbe', 'push', 'stabel', 'tvinge'}
quality	{'bedre', 'quality', 'tone', 'side', 'egenskap', 'klang', 'karakter', 'klanglig', 'beskaffenhet', 'tone_farge', 'klanger', 'natur', 'kvalitet', 'hvem_er_best', 'dårlig', 'verre'}
rain	{'regn_storm', 'regnvær', 'rainstorm', 'regnbyge', 'in_blue', 'rain', 'rains', 'pelting', 'regne', 'regnvann', 'styrtregn', 'heavy_rain', 'nedbør', 'regn'}
reaction	{'respons', 'kjemisk', 'reaction', 'prosess', 'kjemiske_reaksjonen', 'reaksjon', 'kjemisk_reaksjon', 'kjemiske_reaksjoner'}
read	{'passerer', 'ta', 'lese', 'nærlesing', 'studere', 'read', 'lesning', 'skumlesing', 'punktlesing', 'lesing', 'fornøyelseslesing'}
red	{'sannheten_om_rødhette', 'rødfarget', 'antibolsjevisme', 'bolsjevikene', 'raudt', 'oslo_rødt', 'bolsjeviker', 'bolsjevikpartiet', 'red', 'day_&_age', 'bolsjevik', 'hoodwinked', 'red_river_of_the_south', 'after_school', 'red_river', 'hoodwinked!', 'red_one', 'anil_kapoor', 'rød', 'bolsjevismen', 'tap', 'bolshy', 'angry_birds', 'rødt', 'bolsjevisme', 'rødt_blekk', 'saga_frontier', 'bolsjevistisk', 'raud', 'bolsjevikisk', 'bolshevik', 'røde', 'bolshie'}
relationship	{'menneskelig_samhandling', 'nedstigningen_gruppe', 'kontakt', 'mellommenneskelige', 'forholdet', 'mellommenneskelige_forhold', 'forhold', 'slektskap', 'menneskelige_forhold', 'langsiktige_forholdet', 'slektskap_og_avstamning', 'relasjon', 'bekjent', 'kameratskap', 'menneskelige_relasjoner', 'genetisk_slektskap', 'bekjentskap', 'mellommenneskelige_relasjoner'}
religious	{'religiøs', 'gudfryktig', 'religiøse'}
residence	{'bolighus', 'privatbolig', 'innbygger', 'beboer', 'bosted', 'heim', 'hjem', 'dweller', 'stove', 'bustad', 'boliger', 'innbyggere', 'bopæl', 'stedet', 'herskapshus', 'bolighuset', 'privat_bolig', 'habitant', 'bolig', 'residens', 'sted', 'hjemsted', 'stue', 'hus', 'homse', 'bopel', 'heimstad'}
right	{'metaetikk', 'høyre_siden', 'rightist', 'anvendt_etikk', 'handedness', 'rette_opp', 'rett_og_galt', 'moralsk_filosof', 'juridisk_rett', 'høyreorienterte_politikken', 'høyrevridde', 'juridiske_rettigheter', 'pliktetikk', 'umistelig_rett', 'politiske_høyre', 'høyresidepolitikk', 'høyregruppe', 'sann', 'sinnelagsetikk', 'høgresida', 'høyrefløy', 'naturlige_rett', 'right_wing', 'høyre', 'akkurat', 'høyreideologi', 'venstrehendt', 'fysiske_og_juridiske_rettigheter', 'høyreorientert', 'høyre_hånd', 'lovfestet_rett', 'etisk', 'konsekvensialisme', 'etiske', 'etikk', 'etiske_problemstillinger', 'etisk_filosofi', 'etiker', 'høire', 'rightism', 'rightfulness', 'formålsetikk', 'umistelige_rettigheter', 'høyresiden', 'etisk_teori', 'høvelig', 'rettighetene', 'young_americans', 'rett', 'aksjonæravtale', 'ordentlig', 'etiske_regler', 'høyresidens', 'destra_nazionale', 'uetisk', 'korrekt', 'høgreideologi', 'høyrehendt', 'etisk_system', 'rettighet', 'høyresida', 'moral_philosophy', 'konsekvensetikk', 'uetiske', 'etiske_standarder', 'moralfilosofi', 'dydsetikk', 'umistelige', 'unalienable_rettigheter', 'høgresiden', 'riktig', 'høyreorienterte', 'høyre_kantspiller', 'rettigheter', 'høgre', 'passende', 'meta-etikk', 'naturlige_rettigheter', 'virkelig'}
river	{'bekker', 'vassdrag', 'bekk', 'ruisseau', 'watermark', 'elvekraftverk', 'å', 'elva', 'elvefar', 'elveleie', 'hva_er_en_elv', 'vassdraget', 'elv', 'elver', 'vannløp', 'sestao_river_club', 'bekkefar', 'elven', 'flod', 'river'}
road	{'road_spillet', 'veien', 'veier', 'veg', 'vei', 'the_road', 'landevei', 'new', 'veibygging', 'vegforbindelse', 'bortekamp'}
root	{'root_brukeren', 'hårvekst', 'superbruker', 'antecedent', 'n-te-rot', 'tonic_akkord', 'hårstrå', 'rot_til_en_ligning', 'ascendant', 'stilk', 'hår_på_hodet', 'tre', 'intervall', 'null', 'forfedre', 'skog', '0', 'tonal_senter', 'røtter', 'begynnelse', 'n-te_rot', 'konohagakure', 'rot', 'tonale_sentrum', 'root', 'forfedrenes', 'rot_oppmerksom', 'ordstamme', 'slå_seg_ned', 'opprinnelse', 'hår', 'musikalsk_intervall', 'musikalske_intervaller', 'stammen', 'etymon', 'rooting', 'adventivskudd_røtter', 'menneskehår', 'hårete', 'tannrot', 'root-tilgang', 'tonika', 'roten', 'hårtips', 'kilde', 'stamfar', 'rotord', 'grunntone', 'forfader', 'nesehår', 'tonic', 'forankring'}
rope	{'rope', 'the_rope', 'meksikansk_valium', 'r-2', 'ropemaker', 'glem_meg_narkotika', 'tauverk', 'roofy', 'tau', 'repet', 'rep', 'rophy'}
rotten	{'råtten'}
round	{'patron', 'stypsis', 'sirkulær', 'rillepatron', 'boksing', 'gjeldende_siffer', 'premie_fighter', 'presisjon', 'kroppen', 'mest_signifikante_siffer', 'bareknuckle', 'hylseløs_ammunisjon', 'casing', 'bare-knuckle_boksing', 'daglige_runde', 'sifre', 'sirkulære', 'ett_skudd', 'premie_kampen', 'randpatron', 'balanse', 'aritmetiske_presisjon', 'gjeldende_sifre', 'minst_signifikante_siffer', 'frukt', 'signifikante_siffer', 'enhet_av_ammunisjon', 'runde', 'rund', 'bokser', 'minerality', 'fisticuffs', 'prizefighting', 'patronhylse', 'pugilism', 'runde_golf', 'tørr', 'betydelig_figur', 'runde_av_drinker'}
rub	{'russisk_rubel', 'rub', 'gni', 'tørk', 'russiske_rubler', 'russiske_rubelen'}
sad	{'bedrøvelig', 'smerte', 'sesongavhengig_depresjon', 'seasonal_affective_disorder', 'trist', 'sørgmodig', 'begredelighet', 'begredelig', 'tristhet', 'vinterdepresjon', 'sørgmodighet', 'vemodig', 'sadhe', 'vemod', 'leit', 'lost_dogs', 'bedrøvet', 'sørgelighet', 'kval', 'mørketidsdepresjon', 'sørgelig', 'bedrøvelighet', 'bedrøvelse', 'vemodighet', 'lei_seg', 'værsyke', 'sesonal_affektiv_lidelse'}
salt	{'nacl', 'salte', 'henry_salt', 'hva_er_salt', 'natriumklorid', 'strategic_arms_limitation_treaty', 'sodium_chloride', 'natriumsalt', 'kaliumsaltet', 'veisalt', 'saltcellar', 'havsalt', 'al_salt', 'strategic_arms_foreldelse_talks', 'vanlig_salt', 'strategic_arms_limitation_talks', 'kalium_salt', 'bordsalt', 'salt-avtalene', 'salter', 'as-salt', 'salt_kjeller', 'ioneforbindelser', 'sodiumklorid', 'salt_produksjon', 'koksalt', 'salt_i-avtalen', 'ionisk_salt', 'mineralsalt', 'salt_i', 'salt-n-pepa', 'salt', 'salt-ii-avtalen', 'salt_ii', 'cheryl_james'}
sand	{'sand_am_main', 'sand_i_ryfylke', 'amandine-aurore-lucile_dupin', 'sand_i_rogaland', 'georges_sand', 'schönenberg-kübelberg', 'guts', 'amandine_aurore_lucie_dupin', 'george_sand', 'sandsbu', 'sand', 'baroness_dudevant', 'moxie'}
say	{'thomas_say', 'jean-baptiste_say', 'anta', 'in_blue', 'say', 'osakis', 'j._p._say', 'saayi', 'si', 'uttale', 'jean_baptiste_say', 'fortelle', 'resitere_forrette'}
science	{'vitskap', 'science_magazine', 'fag', 'vitenskapelig', 'empirisk_vitenskap', 'science', 'mainstream_vitenskap', 'vitenskapelig_disiplin', 'retning', 'fagområde', 'generell_vitenskap', 'disiplin', 'felt', 'dyktighet', 'den_vitenskapelige_arbeidsmetoden', 'grein', 'vitenskap', 'vitenskapen', 'gjenstand~sområde', 'vitenskapelige', 'skole'}
scratch	{'scratch', 'sår_i_huden', 'golfhandicap', 'peter_gabriel', 'dermatoses', 'scrawl', 'vesicle', 'startlinjen', 'gravere', 'skrape_av', 'cacography', 'lichenification', 'pustler', 'hudforandring', 'kurs_vurdering', 'risse', 'bulk', 'scratch_linje', 'handicap', 'simoleons', 'golf_handikap', 'moolah', 'gelt', 'opphav', 'bungel', 'macules', 'hud_tilstand', 'slitasje', 'pelf', 'muslinger', 'hudlesjoner', 'hudsykdommer', 'indurasjon', 'dinero', 'avlyse', 'handikap', 'excoriation', 'skrape', 'sekel', 'merke', 'cutaneous_tilstand'}
sea	{'hav', 'marint_miljø', 'havområder', 'verdenshav', 'verdenshavet', 'osean', 'sjø', 'sea', 'måne_mare', 'verdenshavene', 'hafið', 'månehav', 'havområde', 'havet', 'galskap_maria', 'marine_miljø'}
seafood	{'sjømat'}
see	{'se', 'skjønne', 'oppdage', 'vise', 'innse', 'undersøke', 'støte_på_treffe_på_snuble_over', 'lære', 'møte', 'ser', 'syn_synssans', 'episkopal_se', 'syn', 'ta_seg_av', 'sikre', 'høre', 'finne_ut', 'skopolamin', 'beholding', 'visuell_persepsjon', 'tycho', 'besøke', 'ta_vare', 'hyoscine', 'betrakte', 'finne', 'forestille_seg', 'vurdere', 'forstå', 'se_byen', 'see', 'archiepiscopal_se', 'skopalamin'}
seed	{'cum', 'enkelt_eliminering_turnering', 'utgangsverdi', 'enkelt-eliminering_turnering', 'ff8', 'sperma', 'kimen', 'santi', 'sædvæske', 'enkelt_eliminering', 'tilfeldig_frø', 'startfrøet', 'kommer', 'ffviii', 'sublime', 'seeding', 'kilden', 'frø', 'så', 'single-eliminering', 'final_fantasy_viii', 'semifinalen', 'sæd', 'semifinalist', 'sperm', 'final_fantasy_8', 'seeded_spiller', 'cupen', 'kvartfinalen', 'semi-finalen', 'seed', 'semifinal', 'cup', 'ejakulere', 'sædvæsken'}
sell	{'forråde', 'svike', 'handle', 'forretningsvirksomhet', 'handel', 'selge', 'svikte', 'kjøp', 'handelsnæring', 'maritime_handel'}
sew	{'stitchery', 'sy', 'sydd'}
sexy	{'elephunk'}
shape	{'fysiske_kroppen', 'wm-formasjonen', 'mønster', 'øverstkommanderende_for_allierte_stridskrefter_i_europa', 'benbygning', 'form', 'formasjon', 'fysikk', 'forme', 'shape', 'danne', 'materielle_kroppen', 'figuren', 'definisjon', 'hovedkvarteret_allierte_styrker_i_europa', 'hudfargen', 'primitiv', '4-3-3', 'bestemme', 'hudfarge', 'bod', 'humanfysiologi', 'musikalsk_form', 'allierte_operasjoner', 'kjøtt', 'supreme_headquarters_allied_powers_europe', 'menneskets_anatomi', 'menneskekroppen'}
sharp	{'sharp', '-iss', 'skarp', 'brå', 'skinheads_against_racial_prejudice', '♯', 'sharp_corporation', 'bratt', 'kryss', 'smart'}
ship	{'skip', 'fartøy', 'sende', 'skipet'}
short	{'blankosalg', 'lånesalg', 'brått', 'shorting', 'short', 'shorthandel', 'short_salg', 'kort_film', 'film_kort', 'kort', 'korte_fag', 'elektrisk_kortslutning', 'animerte_kortfilmer', 'kort_posisjon', 'shortstops', 'shorte', 'kortfilmer', 'shortstop', 'to_reeler', 'kort_faget', 'short-selling', 'stuttsalg', 'kortsalg', 'naked_short_selling', 'korte', 'kortfilm', 'short_selling', 'korthandel', 'kortslutning', 'short-salg', 'short-sell', 'udekket_blankosalg', 'plutselig', 'mangelsalg', 'shortsalg', 'kort_stopp'}
show	{'gaming', 'viser', 'gamblere', 'presentere', 'etablere', 'utstilling', 'fastslå', 'bevise', 'vise', 'county_fair', 'fotografere', 'demonstrere', 'vitne', 'satser', 'show', 'uttrykke', 'gambling', 'fylke_messer', 'indikere'}
sign	{'semiotikk', 'hus', 'elektronegative', 'regi', 'skilting', 'signalanlegg', 'medisinsk_tegn', 'stjerne_tegn', 'grafemet', 'kliniske_tegn', 'signboard', 'signal', 'planetariske_huset', 'signage', 'tegn', 'dyrekretsen', 'polaritet', 'ikkenegative', 'sjukdomstegn', 'signert', 'grafem', 'augury', 'elektronegativ', 'signalering', 'brown_eyed_girls', 'merke', 'semiotisk', 'astrologiske_tegn', 'grafisk_symbol', 'fortegn', 'signere', 'foretoken', 'semiologi', 'graphemes', 'soltegn', 'skrive_under', 'logge_av_dyrekretsen', 'sykdomstegn', 'skilt', 'elektronegativitet', 'auspicier', 'preindication', 'stjernetegn', 'ikke-negative', 'positivt_tall', 'merke_av', 'jærtegn', 'semiotiske', 'electropositive'}
silly	{'silly', 'latterlig', 'tøys', 'blåst', 'dum', 'nonsense', 'nonsens', 'tull', 'nonsensicality', 'sludder', 'hokum', 'tåpelig', 'hjernetom', 'opzullik', 'uintelligent', 'tåpelig_dum', 'vrøvl', 'vås'}
sin	{'nanna', 'singhalesisk', 'shin', 'sinus', 'sinhala', 'singalesiske_språk', 'syndere', 'synde', 'singaleser', 'singalesisk', 'synd', 'singalesisk_språk', 'nanna-suen', 'syndig', 'sin', 'synder', 'syndighet', 'kongeriket_sine', 'sinusfunksjonen'}
sing	{'rene_vokal', 'vokalister', 'kvinnelig_vokal', 'synge', 'sang', 'sing', 'vokal', 'sangere', 'sanger', 'fløyte', 'vokalist', 'vokalisering', 'leisure', 'popsanger', 'harmoni_vokal'}
sit	{'ride', 'sittende', 'sitte', 'ri', 'plassere', 'sette_seg', 'sitte_ned', 'posere'}
skin	{'ham', 'skall', 'utvidelsesystem', 'almost_human', 'kretskortet', 'blender', 'gui', 'zest', 'r._kelly', 'cutis', 'hud', 'hud_celle', 'ytterskall', 'mental_hjem', 'add-in', 'printkort', 'skinn', 'skrubbe', 'tegument', 'dermis', 'programtillegg', 'makt_flyet', 'day_for_night', 'mentalsykehus', 'skin', 'epidermis', 'plugin-modul', 'programvareutvidelse', 'ray_of_light', 'huden', 'hypodermis', 'mental_institusjon', 'plugin', 'skinnable', 'psykiatrisk_sykehus', 'australian_aboriginal_slektskap', 'sinnsyk_asyl', 'plugins', 'kretskort', 'plug-in'}
sky	{'sky_digital', 'bskyb', 'cerulean', 'heterosphere', 'thatgamecompany', 'winx', 'safirblå', 'sky_professional_cycling_team', 'lazuline', 'sky_professional_cycling', 'kaste', 'jordatmosfæren', 'himmel', 'winx_club', 'sky', 'team_sky', 'jordas_atmosfære', 'jordens_atmosfære', 'stacey_king', 'sky_airlines', 'sky_uk', 'luft', 'asurblå', 'azure', 'sky_television_network', 'sky_procycling', 'himmelblått', 'credo', 'himmelen'}
sleep	{'hybrid_hvilemodus', 'sove', 'the_black_parade', 'evig_hvile', 'quietus', 'evig_søvn', 'sovemodus', 'b_mennesker', 'soving', 'søvn', 'sopor', 'dvalemodus', 'hvilemodus', 'sleep', 'standby-modus', 'søvn_hos_dyr'}
small	{'korsrygg', 'small', 'liten', 'john_kunkel_small', 'krysset', 'kryss'}
smart	{'svie', 'mentale_kapasitet', 'intelligent', 'klok', 'self-monitoring,_analysis,_and_reporting_technology', 'smart', 'teknologi_for_selvovervåking,_analyse_og_rapportering', 'frisk', 'vis', 'intelligens', 'intellekt'}
smell	{'følelse', 'lukteapparatet', 'lukt', 'olfactory_oppfatning', 'olfactory_sensasjon', 'luktesans', 'olfactory', 'luktfri', 'ubehagelig_lukt', 'duft', 'lukte', 'tone', 'aroma', 'ånd', 'lukten', 'luktesystem', 'følelse_av_lukt', 'olfactory_modalitet', 'følelsen', 'luktende', 'olfactory_eiendom'}
smiling	{'flirer', 'smilende', 'smil', 'smiler', 'glise'}
smoke	{'gress_gras', 'magneto-optisk_kerr_effekt', 'røyking', 'hasj', 'tobakksbruk', 'rullings', 'tobakksrøyking', 'yin_yang_yo_!', 'mary_jane', 'yin_yang_yo!', 'rulletobakk', 'sess', 'kisten_spiker', 'yin_yang_yo', 'røkning', 'sens', 'gress', 'røk', 'røkt', 'roll_av_tobakk', 'røyke', 'tobakksplanten', 'green_goddess', 'fastball', 'tobakk', 'sneip', 'fakta_om_tobakk', 'sigarettrøyking', 'nicotiana', 'ryke', 'pot', 'damp', 'sigarett', 'sigaretter', 'cigaret', 'røyk', 'smoke'}
smooth	{'frukt', 'kroppen', 'bløtgjøre', 'minerality', 'balanse', 'stypsis', 'tørr', 'smooth', 'gerald_albright', 'glatt_nummer', 'pusse', 'glatt'}
snake	{'snake_jailbird', 'ah1_cobra', 'cobra', 'slange', 'vasslangen', 'ophidia', 'giftslanger', 'bell_ah-1_cobra', 'slange_i_gresset', 'serpentes', 'vannslangen', 'giftslange', 'solid_snake', 'slanger', 'snake', 'snake_river', 'ah-1_cobra', 'gray-kode', 'ah-1w_super_cobra', 'ophidian', 'ah-1'}
snow	{'ffmpeg', 'hva_er_et_snøfnugg', 'snow', 'elfenben', 'the_warriors', 'sne', 'snøfnugg', 'c.p._snow', 'snødekke', 'snø+', 'nattens_krigere', 'c._p._snow', 'snau', 'snø_sne', 'offwhite', 'charles_percy_snø', 'snav', 'baron_snø_av_leicester', 'snøe', 'snøfall', 'nese_godteri', 'snov', 'charles_percy_snow', 'sjogg', 'schnov', 'fin_snø', 'sludd', 'snør', 'c._p._snø', 'snøkrystall', 'snø'}
solution	{'løsninger', 'løsning_løysing', 'problemløsing', 'løsning', 'oppløste_stoffer', 'solution', 'svar', 'ligningen_løse', 'fortynnet_løsning', 'resultatet', 'problemløsning', 'oppløsning'}
some	{'rundt', 'eller_så', 'mer_eller_mindre', 'ca', 'noen', 'omtrent'}
soul	{'sjeler', 'aiúa', 'soulmusikk', 'hode', 'soul_musikk', 'menneske', 'mann', 'enkeltperson', 'udødelig_sjel', 'individer', 'soul_music', 'individ', 'person', 'dødelig', 'soulfulness', 'soul', 'sjel', 'noen', 'enkeltpersoner', 'sjelelig', 'individet'}
sound	{'lydforplantning', 'akustisk_bølge', 'høres', 'lydbølger', 'strede', 'frisk', 'tale_lyd', 'lyder', 'lydbølge', 'strete', 'sund', 'lyd', 'akustisk_stråling', 'kanal', 'auditiv_sensasjon', 'lyden', 'fon', 'tecnocumbia', 'sunn', 'telefon'}
spit	{'spytte', 'spidd', 'sand_spytte', 'spytter', 'spytt', 'spit', 'rotisserie', 'oppspytt'}
split	{'delt_rekord', 'homozygositet', 'hemizygous', 'splittelse', 'skille_seg', 'kløyve', 'split', 'heterozygositet', 'homozygot', 'heterozygote', 'homozygote', 'dele', 'the_split', 'heterozygoter', 'birds_of_prey', 'flenge', 'splitting_lemma', 'split_album', 'revne', 'spagat', 'seks_om_kuppet', 'delt', 'zygosity', 'split-album', 'aksjesplitten', 'splitt', 'splitte_opp', 'aksjesplitt', 'delt_album', 'koble_fra'}
spoke	{'taleevne', 'tunge', 'talemål', 'prate', 'muntlig_språk', 'tale', 'tungemål', 'språk', 'tale_kommunikasjon', 'eiker', 'talekommunikasjon', 'spoke', 'eike', 'rundle', 'menneskelig_tale', 'muntlig_kommunikasjon', 'talespråk', 'hjul_snakket'}
squeeze	{'kredittkrisen', 'zugzwang', 'tvinge', 'knipe_sammen', 'sammenpresse', 'utpresse', 'squeeze', 'klemmer', 'trekktvang', 'hugging', 'vri', 'likviditetskrise', 'klemme', 'klemm', 'omfamne', 'presse', 'klem', 'finanskrisen'}
stab	{'kniv_thrust', 'skrik_2', 'horn_dolke', 'stikke', 'stikk', 'scream_2'}
stand	{"jojo's_bizarre_adventure", 'woodlet', 'frukthager', 'orchardist', 'sukker_plantasjen', 'sukkerplantasjer', 'fot', 'motstå', 'bu', 'ta', 'plantasjen', 'the_stand', 'stå', 'kaffeplantasje', 'susan_ashton', 'bære', 'firma', 'bod', 'standa', 'reise_opp', 'salgsboden', 'standpunktet', 'partnerskap', 'står', 'tåle', 'bandstand', 'standpunkt', 'plantasjer', 'synspunkt', 'gummiplantasje', 'utstå', 'plantasje', 'grove', 'frukthage', 'utescene', 'stand', 'bli_stående', 'bomull_plantasje', 'tolerere'}
star	{'*', '3-stjerners_hotell', 'asterisk', 'ilean_almaguer', 'tjære', 'stjerna', 'star_topologi', 'hovedrollen', 'mulle', 'whiz', 'ziggy_stardust', 'stjerne', 'kjendiser', 'stjernesymbol', 'starbåt', 'estelle', 'tv-personlighet', 'mavin', 'steroidogenic_akutt_regulatoriske_protein', 'stjerne_nettverk', 'stjerne_topologi', 'media_personlighet', 'klassifisering_av_hotell', 'hotellklassifikasjon', 'superstar', 'stjerner', 'ledende_skuespiller', '5-stjerners_hotell', 'popstjerne', 'bcg-matrisen', 'hotellklassifisering', 'stjerne_polygon', '4-stjerners_hotell', 'stjerners', 'vekst-aksje_matrise', 'adept', 'filmstjerne', 'hotshot', 'ledende_aktør', 'fem-stjerners_hotell', '6-stjerners_hotell', 'a-kjendis', 'veiv', 'filmstjerner', 'superstjerne', 'star', 'kjendis', 'hovedrolleinnehaver', 'klassifikasjon_av_hotell', 'xerox_star', 'ess', '5-stjernes', 'tar.gz', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'tar', 'kjent_person', 'tv-kjendis', 'headliner', 'maven', 'stjernetopologi'}
stick	{'felles', 'bli', 'stikka', 'clapstick', 'kjepp', 'manuell_girkasse', 'kvist', 'batong', 'marijuana_sigarett', 'spaserstokk', 'styrespaker', 'standard_girkasse', 'synchromesh', 'billy_klubben', 'girstang', 'synkronisering', 'joint', 'billy_club', 'bo', 'nightstick', 'american_standard_code_for_information_interchange', 'joystick', 'spliff', 'billystick', 'staver', 'styrespak', 'reefer', 'stokk', 'kort_shifter', 'spaserstokker', 'ascii', 'truncheon', 'flystikke', 'pinne_skift', 'pinne'}
stone	{'stein', 'edelstener', 'smykkesten', 'i._f._stone', 'juvel', 'halvedle_stein', 'harlan_stone', 'smykkestener', 'harlan_f._stone', 'smykkestein', 'edelsten', 'bergart', 'stone_–_motorsykkelbandens_hevn', 'edelsteiner', 'iskander', 'steinmateriale', 'oliver_stone', 'edward_durell_stone', 'juvél', 'smykkesteiner', 'stone_-_motorsykkelbandens_hevn', 'bergarter', 'edelstein', 'juveler', 'harlan_fisk_stone', 'harlan_fiske_stone', 'rock', 'isidor_feinstein_stone', 'gemstone', 'steine', 'endocarp', 'sten', 'kampestein', 'edelstenene', 'picul', 'stone', 'halvedelsten', 'steiner', 'bergartssekvens', 'lucy_stone', 'halvedelstein'}
straight	{'straightaway', 'heteroseksualitet', 'heterofile', 'hetero', 'heterosexualism', 'hetrofili', 'firkanta', 'firkantet', 'real', 'heteroseksuell_person', 'heteroseksuell', 'heterofili', 'oppløpssiden', 'rett_person', 'direkte', 'heterofil', 'kryss', 'rett'}
student	{'forsker', 'freshman_året', 'bookman', 'elev', 'christ_church,_oxford', 'bokhandlere', 'vitenskapsmann', 'lærd', 'forskere', 'william_sealey_gosset', 'studere', 'christ_church', 'bokhandler', 'studium', 'studiner', 'vitenskapelig_person', 'bokhandlerne', 'student', 'studenter', 'studentene', 'christ_church_college', 'studier', 'bokhandelen', 'freshman_år', 'educatee', 'bokhandel', 'william_sealy_gosset', 'studine', 'studenten', 'studiene'}
stupid	{'uintelligens', 'raven-symone', 'dolt', 'blåst', 'stupiditet', 'dum', 'pillock', 'pudden-head', 'pudding_hodet', 'dumskap', 'dumhet', 'dum_person', 'dårlig_fisk', 'stupe', 'hjernetom', 'uintelligent', 'uvitenhet'}
successful	{'successful', 'vellykket'}
suck	{'suger', 'suge', 'amme', 'sug'}
sugar	{'kullhydrat', 'sugar', 'muslinger', 'sukkerarter', 'sakkarider', 'sugar_e.p.', 'hvitt_sukker', 'sukkerart', 'sukker', 'batman_forever', 'kolhydrat', 'sukker_nivåer', 'sukkerbit', 'simoleons', 'sakkarid', 'sekel', 'glassheart', 'moolah', 'raffinert_sukker', 'karbohydrat', 'sukker_i_vinen', 'pelf', 'karbohydrater', 'sukker_handel', 'dinero', 'saccharide', 'gelt'}
sun	{'herrens_dag', 'solstråle', 'utug', 'sigrid', 'sun_television', 'sun_kwon', 'søndag', 'sola', 'mars', 'dominicus', 'solen', 'faste_stjerner', 'soltegn', 'side_3-piken', 'sollys', 'naturlig_belysning', 'utu', 'sun-hwa_kwon', '☼', 'fast_stjerne', 'sun_paik', 'solstråling', 'sun_microsystems', 'solskinn', 'jupiter', 'cun', 'page_three_girl', 'solspekteret', 'sun', 'new_york_sun', 'sol', 'mercury', 'månen', 'sundag', 'sigrid_solbakk_raabe', 'fiksstjerne', 'venus', 'the_sun', 'fiksstjerner'}
suspect	{'kriminell_tiltalte', 'mistenkte', 'mistenkt', 'mistillit', 'mistanke', 'tiltalte', 'mistro', 'mistenksomhet', 'robert_crais', 'gjerningsmannen'}
swell	{'dude', 'tørkestativ', 'fop', 'crestless_bølge', 'swell', 'dønning', 'magnapop', 'dandies', 'dandy'}
swim	{'flyte', 'konkurransesvømming', 'svømmetur', 'bade', 'svømme', 'ray_of_light', 'svømming'}
table	{'bordet', 'html-kode', 'utsette', 'søketabellen', 'flatberg', 'html_element', 'oppslag', 'bord', 'tabellform_rekke', 'iframe', 'platåberg', 'relasjon', 'klangbunn', 'dataark', 'href', 'piknik', 'lookup', 'look-up_table', 'tabellform', 'tabell', 'oppslagstabell', 'mesa', 'kode', 'platåfjell', 'lydkort', 'mesas', 'lyd_bord', 'søk'}
