ability	{'alkalmasság', 'képesség'}
sharp	{'sharp_corporation', 'sharp', '♯', 'ravasz', 'kereszt', 'adaven', 'sunyi', 'skinheads_against_racial_prejudice', 'éles'}
ship	{'hajók', 'küldje', 'hajó'}
short	{'short', 'hirtelen', 'rövid_megálló', 'rövidre_eladás', 'alacsony', 'rövid_pozíciót', 'kisjátékfilm', 'shortolás', 'shortstop', 'rövid_film', 'rövidrezárás', 'shortstops', 'rövid_tantárgyi', 'rövidzár', 'rövid', 'rövidzárlat', 'elektromos_zárlat', 'rövidre_zárás', 'két_reeler', 'rövid_eladás', 'film_rövid', 'rövidfilm'}
show	{'fogadási', 'kiállítás', 'szerencsejátékosok', 'bizonyítani', 'show_luo', 'megállapítani', 'mutat', 'kifejezni', 'show', 'játékosok', 'hazárdőr', 'megyei_vásáron', 'megmutat', 'megyei_vásárok', 'mutatják', 'szerencsejáték', 'megyei_vásárokon', 'bizonyít'}
sign	{'aláírt', 'klinikai_tünetek', 'asztrológiai_jele', 'szemiotikai', 'elektronegatív', 'jelzés', 'preindication', 'nem-negatív', 'elektronnegativitás', 'brown_eyed_girls', 'elektropozitív', 'szemiotika', 'aláírni', 'csillag_jel', 'pozitív_szám', 'kereskedelmi_jelzések', 'karakter', 'szemiológia', 'csillagjegy', 'embléma', 'elektronegativitás', 'vezérlőjel', 'graféma', 'jelzőtábla', 'jelet', 'jelző', 'csillag_jele', 'jel', 'signage', 'planetáris_ház', 'égisze_alatt', 'megjósol', 'grafémák', 'polaritás', 'jövendölés', 'megjelölés', 'nemnegatív', 'betű', 'jele', 'állatöv_jel', 'ház', 'aláír', 'alá'}
silly	{'nonsensicality', 'idióta', 'értelmetlen', 'ostoba', 'hülye', 'képtelenség', 'giccs', 'buta', 'nonszensz', 'ostobaság', 'silly'}
sin	{'szingaléz_nyelv', 'szingaléz', 'sinhala', 'bűnös', 'szinusz_függvény', 'vétkezik', 'szingapúr-changi_repülőtér', 'bűnösök', 'vétek', 'szingapúr_changi_repülőtér', 'bűnösség', 'szinusz', 'halálos_bűn', 'shin', 'vétség', 'sin', 'sinhala_nyelv', 'bűn'}
sing	{'vocalizing', 'harmónia_ének', 'pop_énekes', 'ének', 'énekel', 'vokális_műfaj', 'vokál', 'leisure', 'énekesek', 'énekelni', 'énekelj!', 'énekes', 'sing', 'női_ének', 'tiszta_ének', 'éneklés'}
sit	{'ülő', 'ülni', 'lovagol', 'lovagolni', 'ül', 'üljön_le'}
skin	{'elmegyógyintézet', 'a_bőr', 'nyomtatott_áramköri_lapok', 'plugin', 'blender', 'add-in', 'elmegyógyintézetben', 'cutis', 'lehorzsol', 'kéreg', 'bőr', 'héj', 'maghéj', 'beépülő_modul', 'barát_a_bajban', 'nyomtatott_áramköri_lapka', 'r._kelly', 'day_for_night', 'skinnable', 'áramköröket', 'teljesítmény_sík', 'almost_human', 'mentális_otthon', 'felület', 'odaát', 'australian_aboriginal_rokonság', 'pszichiátriai_kórház', 'áramköri_kártya', 'ray_of_light', 'nyomtatott_áramkör', 'áramköri', 'áramkör', 'burok', 'plug-in', 'skin'}
sky	{'heterosphere', 'cerulean', 'sky_procycling', 'sky', 'sky_professional_cycling_team', 'égszínkék', 'team_sky', 'credo', 'ég_kék', 'levegő', 'stacey_king', 'kék', 'sky_airlines', 'thatgamecompany', 'winx_club', 'ég', 'lazuline', 'a_föld_légköre', 'eldob', 'égbolt'}
sleep	{'készenléti_állapotban', 'hibernálás', 'agyhullám', 'búcsú', 'sleep', 'sopor', 'the_black_parade', 'alvás', 'örök_nyugalomra', 'alvászavar', 'alszik', 'aludni', 'kábulat', 'alvó_állapot', 'hibrid_alvás', 'örök_alvás'}
small	{'john_kunkel_small', 'ágyéki', 'kis', 'small'}
smart	{'smart', 'értelem', 'intelligens', 'szúró', 'hírszerzés', 'okos', 'spearman_elmélet', 'arcátlan', 'elegáns', 'spearman-féle_elmélet', 'szemtelen', 'pimasz', 'intelligencia'}
smell	{'szaglás', 'szaglási_érzékelés', 'szag', 'bűz', 'kellemetlen_szag', 'szagló_érzés', 'szaglási_modalitás', 'szagló', 'szaga', 'szagló_ingatlan', 'tartozék_szaglórendszer', 'olfaction', 'szagtalan', 'hang', 'érzés', 'szellem'}
smiling	{'vigyorog', 'mosolyog', 'mosolygós', 'mosoly', 'vigyorgó'}
smoke	{'kézzel_sodort_cigeretta', 'dohánynövény', 'sens', 'sess', 'koporsó_köröm', 'füstöl', 'nicotiana_tabacum', 'nicotiana', 'mary_jane', 'dohány', 'marihuána', 'magneto-optikai_kerr-effektus', 'sodrós_cigaretta', 'kézzel_sodort_cigaretta', 'füst', 'dohányzik', 'dohányzás', 'fastball', 'zöld_istennő', 'cigarettadohány', 'dohány_növény', 'a_dohányzás', 'cigarettát', 'tekercs_dohány', 'cigi', 'fű', 'mariska', 'cigaretta', 'smoke', 'tubák', 'füstölt', 'tabak', 'yin_yang_yo!'}
smooth	{'stypsis', 'políroz', 'hatványsima_szám', 'sima', 'száraz', 'test', 'sima_számok', 'smooth', 'gerald_albright', 'kifényesít', 'hatványsima_számok', 'mineralitás', 'gyümölcs', 'sima_szám', 'gyümölcs-és'}
snake	{'ah-1', 'északi_vízikígyó', 'snake_river', 'hydra', 'hidra_csillagkép', 'snake_jailbird', 'solid_snake', 'kígyók', 'gray_kód', 'hydra_csillagkép', 'ah–1_cobra', 'ah-1_cobra', 'gray-kódolás', 'serpentes', 'snake', 'kígyó_a_fűben', 'gray-kód', 'ah–1', 'északi_vízikígyó_csillagkép', 'kígyó'}
snow	{'baron_snow_leicester', 'hóesés', 'havazás', 'hótakaró', 'havazik', 'ffmpeg', 'charles_percy_snow', 'esik_a_hó', 'snow', 'c._p._snow', 'orr_candy', 'piszkosfehér', 'elefántcsont', 'hó'}
solution	{'megoldás', 'megoldást', 'eredményt', 'eredmény', 'válasz', 'egyenlet_megoldása', 'következmény', 'oldott_anyagok', 'oldat', 'oldatok', 'solution', 'problémamegoldás', 'oldatok_kémiája'}
some	{'nagyjából', 'körülbelül', 'többé-kevésbé', 'durván', 'kb.', 'néhány', 'megközelítőleg'}
soul	{'halhatatlan_lélek', 'aiúa', 'individuum', 'lelkek', 'önvaló', 'lélek', 'egyének', 'halandó', 'egyén', 'valaki', 'soulfulness', 'soul_zene', 'személy', 'soul'}
sound	{'hanghullámok', 'hallás_érzés', 'hanghullám', 'szoros', 'tecnocumbia', 'akusztikus_hullám', 'ép', 'beszédhang', 'hang', 'telefon', 'tengerszoros', 'egészséges', 'hangterjedés', 'hangok', 'akusztikai_hullám'}
spit	{'spit', 'nyárson', 'köp', 'köpet', 'grillező', 'nyál', 'köpködés', 'homokos_fövenyen', 'turzás'}
split	{'heterozigóta', 'tört', 'spalatum', 'osztott', 'szakít', 'heterozigozitás', 'leválasztás', 'split_lemez', 'stock_split', 'split_album', 'szétválik', 'szétpukkan', 'hasítás_lemma', 'hasít', 'szétvág', 'split', 'homozigozitás', 'zigóta', 'homozigóta', 'homozigóták', 'heterozigóták', 'spalato', 'stock_osztott', 'birds_of_prey', '12512_split', 'hemizigóta'}
spoke	{'küllők', 'beszéd', 'rundle', 'beszélt_nyelv', 'spoke', 'kerék_felszólal', 'szóbeli_kommunikáció', 'emberi_beszéd', 'beszéd_kommunikáció', 'speech_közleményben', 'küllő', 'szóbeli_nyelvi', 'nyelv', 'beszélt_kommunikáció', 'hangkommunikációt'}
squeeze	{'lépéskényszer', 'zugzwang', 'a', 'szorítás', 'összenyomás', 'összenyom', 'ölelés', 'átölelve', '01x02_gumiember', 'megölel', 'hitelválság', 'gumiember', 'csippentés', 'squeeze', 'nyomja', 'likviditási_válság', 'összeprésel'}
stab	{'sikoly_2', 'sikoly_2.', 'kés_tolóerő', 'kürt_stab', 'döf', 'scream_2', 'szúr'}
stand	{'felállít', 'állni', 'értékesítési_standján', 'vállalat', 'áll', 'gumi_ültetvény', 'gyümölcsöskert', 'szabadtéri_színpad', 'susan_ashton', 'ültetvények', 'gyümölcs_ültetvény', 'gyümölcsösök', 'kibír', 'szempontjából', 'partnerség', 'állít', 'kávé_ültetvény', 'szempontból', 'alap', 'cég', 'woodlet', 'álláspont', 'ültetvény', 'hain', 'nézőpont', 'kiáll', 'bódé', 'stand', 'gyümölcsös', 'cukor_ültetvényeket', 'elvisel', 'cukor_ültetvény', 'gyapotültetvény', 'orchardist', 'zenekari_pavilon'}
star	{'maven', 'filmsztárok', 'csillagsokszög', 'mozicsillag', 'szteroidogén_akut_szabályozó_fehérje', 'hírességek', 'szupersztár', 'csillagjel', 'filmcsillag', 'xerox_star', 'ász', 'média_személyiség', 'csillagos', 'főszerepben', 'filmsztár', '*', 'csillag_gráf', 'nagy_szenzáció', 'zúgás', 'tar', 'csillag_hálózat', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'mavin', 'vezető_színész', 'televíziós_személyiség', 'csillag', 'nagyágyú', 'főszereplője', 'sztár', 'aszteriszk', 'kategória', 'celeb', 'popsztár', 'star', 'tar.gz', 'márna', 'csillag_topológia', 'ügyes', 'híresség', 'vezető_színésznő', 'csillagok', 'estelle', 'a_csillag', 'ilean_almaguer', 'csillag_sokszög', 'wiz', 'csillaggráf', 'híres_ember', 'csillaghajó', 'mozisztár'}
stick	{'ascii', 'rövid_váltó', 'szabványos_sebességváltó', 'bottal_műszak', 'sétapálcák', 'kormányoszlop', 'szinkronizált', 'pálca', 'sétabot', 'karakterkészlet', 'manuális_sebességváltó', 'rendőrségi_gumibot', 'ascii-kód', 'botkormány', 'straßburg', 'marihuána_cigaretta', 'clapstick', 'közös', 'kétsoros_posztózubbony', 'bot', 'botot', 'gumibot', 'billy_club', 'billystick', 'kibír_műszak', 'joystick', 'szabványos_átviteli', 'american_standard_code_for_information_interchange', 'billy_klub', 'stafétabotot', 'spliff'}
stone	{'szikla', 'i._f._kő', 'harlan_fisk_kő', '9m72_iszkander', 'harlan_kő', 'drágakő', 'edward_durell_stone', 'edward_durell_stone-', 'harlan_f._kő', 'stone', 'ss–26_stone', 'kőzetek', 'isidor_feinstein_kő', 'lucy_stone', 'harlan_fiske_stone', 'kavics', 'drágakövek', 'endocarpiumból', 'féldrágakő', 'sziklák', 'kő', '9k720_iszkander', 'picul', 'kőzet', 'lucy_kő', 'endokarpiumból', 'kövek', 'iskander', 'iszkander', 'robert_stone', 'belő', 'féldrágakövek', 'harlan_fiske_stone-', 'ékszerek', 'oliver_stone'}
straight	{'sor', 'egyenes', 'heterosexualism', 'hetero', 'kockafejű', 'heteroszexuális_személy', 'heteró', 'heteroszexuális', 'heteroszexuálisok', 'heteroszexualitás', 'azonnal', 'közvetlenül', 'kereszt', 'egyenes_ember', 'célegyenesben', 'egyenesen'}
student	{'könyvkereskedelem', 'christ_church', 'könyvkereskedő', 'könyvesboltok', 'könyvkereskedők', 'könyvkereskedelem_magyarországon', 'tudós', 'tudós_ember', 'educatee', 'tudósok', 'tanuló', 'diákok', 'hallgató', 'mártírok', 'diák', 'william_sealy_gosset', 'könyvesbolt'}
stupid	{'szegény_halak', 'tökfilkó', 'tökfej', 'idióta', 'pillock', 'ostoba', 'hülye', 'melegvizes_borogatás', 'buta', 'puding_fej', 'pudden-head', 'hülyeség', 'raven-symone', 'butaság', 'buta_ember'}
successful	{'successful', 'sikeres'}
suck	{'szívás', 'szívó', 'szopás', 'szoptat'}
sugar	{'batman_forever', 'gelt', 'mullah', 'dohány', 'cukor', 'vércukorszint', 'kagyló', 'kockacukor', 'mindörökké_batman', 'szénhidrátok', 'simoleons', 'cukrok', 'sugar', 'cukor_a_borban', 'gazdagság', 'nyers_cukor', 'finomított_cukor', 'szacharid', 'szénhidrát', 'diszacharidok', 'glassheart', 'juharcukor', 'dinero', 'vagyon', 'fehér_cukor', 'cukroz'}
sun	{'napfény', 'nap_színképében', 'fix_csillag', 'sun-hwa_kwon', 'állócsillagok', 'napsütésben', 'kromoszféra', 'merkúr', 'állócsillag', 'nap', 'napsugárzás', 'úr_napja', 'sun_kwon', 'mars', 'jouh-tv', 'cun', 'seon', 'napciklus', 'napkorona', 'vénusz', 'vasárnap', 'naplégkör', 'kvon_szonhva', 'konvekciós_zóna', 'rögzített_csillagok', 'sunw', 'the_sun', 'napsütés', 'hold', 'jupiter', 'sun', 'jouh-dtv', 'sun_tv', 'sun_television', 'utu', 'sun-tv', 'utug', 'napozik', 'dominicus', 'sun_microsystems'}
suspect	{'alperesek', 'gyanakodik', 'gyanúsított', 'robert_crais', 'smallville', 'elkövető', 'alperes', 'vádlott', 'bizalmatlanság', 'gyanúsít', 'büntetőjogi_alperes', 'gyanúsítottak', 'gyanakvás', 'gyanakszik'}
swell	{'piperkőc', 'szárító', 'dandies', 'hop', 'crestless_hullám', 'dandy', 'haver', 'hömpölygő_tengerár', 'ruhaszárító', 'swell'}
swim	{'lebeg', 'versenyúszás', 'ray_of_light', 'úszik', 'úszni', 'úszás', 'vízi_mozgásszervi', 'versenyképes_úszás'}
table	{'tető', 'címke', 'mesa', 'look-up_table', 'html-elem', 'soundboard', 'kapcsolat', 'táblázat', 'hangkártya', 'html-címke', 'mesas', 'href', 'táblázatos', 'asztal', 'késleltetett', 'rezonáns', 'html_elem', 'tábla', 'keresési_tábla', 'fennsík', 'adatbázis_tábla', 'adatlap', 'iframe', 'elhalasztja', 'táblázatos_array', 'hangszertető', 'keresés', 'lookup'}
tail	{'tail-end', 'tailender', 'követő_hajó', 'farok_végén', 'hátsó', 'tooshie', 'bazális', 'hátsó_vége', 'mögött', 'disztális', 'űz', 'feltételek_az_anatómiai_elhelyezkedés', 'gluteális', 'csíny', 'tat', 'középső_rend', 'farok', 'ventrális', 'üldöz', 'ipsilateralis', 'caudally', 'dorzolaterális', 'fenék', 'ugyan', 'talpi', 'ülep', 'derriere', 'oldalsó', 'nyitó_batsman', 'apikális', 'ellenoldali', 'keister', 'utáni_rész', 'zsemle', 'sereghajtó', 'hajótat', 'dorsoventral', 'irányfelület', 'caudalis', 'tail', 'ventrolaterális', 'batting_sorrendben', 'farokfelület', 'batting_rendelés', 'hajszol', 'aboral', 'midclavicular_vonal', 'utólag'}
taste	{'ízérzékelés', 'mesterséges_aroma', 'megízlel', 'ízlel', 'zamat', 'nowhere', 'íz_érzékelés', 'íz', 'preferencia', 'vak_kóstoló', 'preferenciarendezés', 'ízesít', 'természetes_aromák', 'preferenciák', 'előszeretet', 'ízelítő', 'szájíz', 'ízfokozóként', 'kóstol', 'borkóstoló', 'megkóstol', 'ízlelési', 'alapvető_íz', 'íz_érzés', 'ízfokozó', 'taste', 'preferenciarendszer', 'ízlelési_modalitás', 'ízlelés', 'ízlik'}
team	{'csapat', 'szólóban', 'banda', 'pop_zenekar', 'rockzenekar', 'munkacella', 'sport_csapat', 'team', 'rock_banda', 'zenekar', 'zenei_együttes', 'rock', 'team_sport', 'csapatsport', 'hangszeres_együttesre', 'együttes', 'csoport', 'csapatsportok', 'pop-rock_zenekar', 'zenei_együttese', 'rock_zenekarok'}
texture	{'textúrázás', 'makroszerkezet', 'szájíz', 'textúra', 'texture-mapping', 'textúra_térkép', 'zenei_textúra', 'texture_mapping', 'szájízt'}
that	{'thaat'}
there	{'oda', 'ott'}
they	{'ők', 'they', 'xe', 'nemspecifikus_névmás', 'ő', 'nemek_szempontjából_semleges_névmás', 'atomszám_54', 'xenon'}
thick	{'vastag', 'sűrű', 'középen'}
thin	{'vékony', 'sovány'}
think	{'intellekció', 'fontolgat', 'gondolatok', 'gondolkodik', 'fontol', 'think', 'nem', 'mentation', 'gondolni', 'gondolkodási_folyamat', 'szán', 'gondolkodás', 'agyműködés', 'szándékozik', 'akar', 'hiszem', 'vélekedik', 'tervez', 'vél', 'gondolat', 'emlékezik', 'emlékszik', 'gondol', 'képzelni'}
this	{'ez', 'this', 'thinis'}
three	{'kettes-ász', 'seventeen_seconds', 'ternion', '3', 'enneagramma', 'háromsoros_versszak', 'három', 'tanul', 'three', 'bob_sinclar', 'tercett', 'prong', 'iii', 'hármas', 'succeeder', 'santana_iii'}
throw	{'leadott', 'throw', 'tölcséres_fúvókájú_hangszerek', 'kipufogó_stroke', 'van', 'sűrítési_ütem', 'sárgaréz', 'rézfúvós', 'dob', 'cam_löket', 'dobja', 'vet', 'löket', 'rézfúvós_hangszerek', 'tölcséres_fúvókájú', 'rézfúvósok', 'tölcséres_fúvókájú_hangszer', 'vetít', 'rézfúvós_hangszer', 'kompressziós_löket'}
tie	{'vasúti_nyakkendő', 'összekapcsol', 'csatolás', 'összead', 'döntetlen', 'faalj', 'árukapcsolás', 'köt', 'vasúti_talpfa', 'csatol', 'nyakkendők', 'nyakkendő_gerenda', 'nyakkendő', 'nyakkendőjét', 'talpfa', 'crosstie', 'csatlakozás', 'betonlemezhez', 'társít', 'linkup', 'párosít', 'vasút_nyakkendő'}
time	{'hypnotica', 'ütemjelzés', 'idő', 'polymeter', '6/8_idő', 'korai_univerzumban', 'pacific_ocean_blue', 'xkcd_1190', '4/4_idő', 'időintervallumban', 'igeidő', 'nyelvtani_feszült', 'kozmológiai_idő', 'time', 'igeidők', 'időutazók', 'mérő', 'time_magazine', 'a_világegyetem_története', "scatman's_world", 'idő_t', 'rendszer_idő', 'órajel-ciklust', 'börtönbüntetésre_ítélték', 'kozmológiai_időszakok', 'zenei_idő_aláírás', 'keringő_időben', 'órajel_ciklust', 'óra', 'time,_norvégia', 'alkalom', 'időpont', 'az_univerzum_idővonala', 'timeless', 'in_my_own_words', 'duple', 'órajel', '12/8', 'time_magazin', '4/4', 'rendszer_órát', 'csillagidő', 'feszült', 'anastacia', 'kábel_kibocsátás', 'y_not', 'összetett_időben', 'the_time', 'negyedik_dimenzióban', '2/4_idő', 'smartstop', 'izzó', 'órát'}
tongue	{'lengua', 'tongue', 'marhanyelv', 'nyelveken_szólás', 'glosszolália', 'természetes_nyelvek', 'természetes_nyelv', 'nyelvét', 'glossa', 'a_nyelveken_szólás', 'harangnyelv', 'nyelv', 'lingua', 'mnek'}
tool	{'szoftver_eszközök', 'fasz', 'eszköz', 'farok', 'szoftver_fejlesztési_eszköz', 'szoftverfejlesztő_eszközök', 'eszközök', 'szerszám', 'szerszámok', 'tool', 'programozási_eszköz', 'szer', 'munkaeszköz', 'pöcs', 'szoftver_eszköz', 'kocsikázik', 'fejlesztési_eszköz'}
tooth	{'metszőfog', 'dens', 'őrlőfog', 'előzápfog', 'zápfog', 'fogak', 'emberi_fog', 'fog', 'dentes'}
toy	{'chatoyancy', 'toyline', 'játék', 'játékok', 'színjátszó_anyag', 'szexuális_játékok', 'játékszer', 'toy', 'a_játékszer', 'yello', 'játék_kutya'}
tree	{'herbert_beerbohm_tree', 'sir_herbert_beerbohm_fa', 'gyermek_csomópont', 'tree', 'erdő', 'fák', 'levélcsomópont', 'gyökeres_fa', 'csemete', 'fa', 'charlotte_bronte', 'részfa', 'szülő_csomópont', 'kruskal_fája_tétel', 'fa_adatszerkezet', 'currer_bell', 'szent_fa', 'charlotte_brontë', 'fa_diagram', 'gyökér_csomópont', 'levél_csomópont', 'fagráf', 'szülőcsomópont', 'fa_istentisztelet', 'fa_imádás', 'belső_csomópont', 'charlotte_nicholls'}
trial	{'kettes-ász', 'kauzalitás', '3', 'három', 'nyelvtani_szám', 'perek', 'esetben', 'tercett', 'a_per', 'polgári_ügyben', 'perben', 'ternion', 'gyötrelem', 'tárgyalás_előtti', 'háromsoros_versszak', 'paucal', 'kísérlet', 'bűncselekmény', 'szám_megállapodás', 'polgári_bíróság', 'próba', 'próbált', 'jogi_vita', 'szám', 'ok', 'próbaüzem', 'hármas', 'ügy', 'okság', 'jogi_eset', 'számot', 'causa', 'beperelte', 'pert', 'per', 'peres_felek', 'bírósági_ügy', 'iii', 'tárgyalás'}
tried	{'bűncselekmény', 'tárgyalás', 'próbált'}
turn	{'sor', 'játék_mechanika', 'fordít', 'fordulattal', 'fordul', 'volta', 'viszont', 'tükrözés', 'díszítőelemek', 'forog', 'perigon', 'győzelmi_pontot', 'játék_mód', 'racionális_trigonometria', 'teljesszög', 'visszaállítás', 'fordulat', 'piruett', 'díszítés', 'acciaccatura', 'kegyelem_jegyzet', 'kegyelem_megjegyzés', 'játék_szerelő', 'jótett', 'dísz', 'appoggiatura', 'kerek_szög'}
two	{'two', 'enneagramma', 'ii', 'succeeder', 'merevítő', '2', 'két', 'kettő', 'tanul'}
typical	{'tipikus'}
unaware	{'tudomása'}
usable	{'használható', 'felhasználóbarát', 'weblap-használhatóság', 'használhatóság'}
useless	{'useless'}
vacation	{'kirándul', 'szünidő', 'szabadság', 'nyaralás', 'vakáció'}
vomit	{'hányadék', 'okádik', 'hánytató', 'nauseant', 'hány', 'hányás', 'hányik', 'hányt', 'regurgitáció', 'vagyoni_előny_elvonását', 'hánytatószer', 'rókázik'}
walk	{'walk', 'egyszerű_gráf', 'megy', 'súlyozott_gráf', 'alapja_a_golyók', 'gyalogló', 'csúcs', 'sétány', 'rend', 'kötéltánc', 'hurokél', 'irányítatlan_gráf', 'séta_az_élet', 'járás', 'részgráf', 'gráf', 'irányított_út', 'séta', 'ló_járása', 'gráfcsúcspont', 'paseo', 'a_ló_mozgásformái', 'gráfelméleti_fogalomtár', 'él'}
war	{'hadjárat', 'háborúk', 'all_or_nothing', 'fegyveres_konfliktus', 'hadiállapot', 'egy_háború', 'waray', 'fegyveres_konfliktusok', 'háborúskodás', 'ares', 'the_war', 'waray-waray_nyelv', 'háború', 'war', 'katonai_konfliktus', 'hadviselés', 'észak_és_dél'}
warm	{'hirtelen', 'meleg', 'szerető', 'gyengéd', 'lobbanékony'}
wash	{'arroyo', 'mosónő', 'eltemetve', 'légcsavarszél', 'kimos', 'száraz_mosás', 'scan', 'mos', 'mossa_rajz', 'buried', 'the_wash', 'mosoda', 'mosás', 'lavation', 'washables', 'unearthed', 'lost_dogs', 'slipstream', 'kínai_mosodát'}
water	{'nitrogéntartalmú_hulladék', 'víztestek', 'fenciklidin', 'csepp_kerítés', 'angyalpor', 'fencidiklin', 'vízellátás', 'urina', 'h2o', 'blood_red_shoes', 'weewee', 'h₂o', 'vízgőztartalom', 'jég_betakarítás', 'para', 'vízellátó_hálózat', 'water', 'víz_molekula', 'hugy', 'szöglet', 'fenciklidin_hidroklorid', 'víztömeg', 'dihidrogén-monoxid', 'gőz', 'vízellátó_rendszer', 'itat', 'vízrendszer', 'vízvezeték', 'víz_forrása', 'vízkészlet', 'pisi', 'pisil', 'vizelet', 'húgy', 'ipari_víz', 'jég', 'vízelosztórendszer', 'víz', 'folyékony_víz', 'quoins', 'vízgőz', 'víztest'}
we	{'we', 'polycephaly', 'shinhwa', 'mi', 'wé', 'we_tv'}
weak	{'gyengeség', 'the_sea', 'izomgyengeség', 'gyenge', 'gyönge'}
wear	{'ruházati_ipar', 'öltözet', 'ruhadarab', 'kopásállóság', 'női', 'viseletben', 'díszes_öltözet', 'gúnyolódás', 'ruházat', 'kopás', 'sylvanus_wear', 'viselni', 'ruhák', 'wear', 'hordható', 'ruha'}
weather	{'időjárási_feltételek', 'időjárási_körülmények', 'légköri_állapot', 'időjárás-előrejelzés', 'időjárás', 'időjárás_áttekintés'}
wet	{'fenciklidin', 'nedvesség', 'fenciklidin_hidroklorid', 'nyugat-európai_idő', 'nedves', 'angyalpor', 'wet', 'fencidiklin'}
what	{'micsoda', 'milyen'}
when	{'diamonds_for_breakfast'}
where	{'ahol'}
white	{'kaukázusi', 'latino', 'kaukázusi_faj', 'ázsiai', 'fehér_ember', 'white_river', 'ovalbumin', 'magic:_the_gathering', 'andrew_d._white', 'stanford_white', 'patrick_white', 'feketearcú', 'pieris', 'bőrszín', 't._h._white', 'kaukázusi_rassz', 'piszkosfehér', 'andrew_dickson_white', 'fekete', 'e._b._fehér', 'fehérek', 'patrick_victor_martindale_white', 'europoid', 'theodore_harold_white', 'edward_douglas_white_jr.', 'fehérlepke', 'europid', 'white_people', 'edward_white', 'fehér', 'tojásfehérje', 'planeswalker', 'europid_nagyrassz', 'elwyn_brooks_white', 'fehér_emberek', 'edward_d._white', 'három_szín:_fehér', 'e._b._white', 'spanyol', 'tojásfehérjét', 'más_fajok', 'white_airways', 'bőr_pigmentáció', 'white', 'fehér_faj', 'europid_rassz', 'caucasoids', 'elefántcsont', 'white_motor_company'}
who	{'the_high_numbers', 'the_who', 'az_egészségügyi_világszervezet', 'zayn', 'jim_neidhart', 'world_health_organization', 'egészségügyi_világszervezet', 'ki', 'who'}
wide	{'széles'}
wife	{'férjes_asszony', 'felesége', 'feleség'}
willingly	set()
wind	{'széllökés', 'tekercselés', 'szél', 'wind', 'szél_támogatott', 'wiatr', 'fúvós', 'fúvós_hangszerek', 'fúvós_hangszer', 'törés_szél', 'levegő', 'harang', 'fing', 'légárammal', 'potenciális_vevő', 'bizalmas_információk', 'kanyargó', 'üres_szavak', 'halandzsa', 'érdeklődő', 'malarky', 'szelek_szárnyán', 'akeboshi', 'elektromágneses_tekercs', 'fúvóshangszer', 'légáram'}
wing	{'kacsaszárny', 'orrsegédszárny', 'őr-forward', 'wing', 'prop_előre', 'tighthead_prop', 'kísérő_manőver', 'a_bal_kísérő', 'madár_repülés', 'első_öt-nyolcadik', 'deltaszárny', 'törővég', 'belépőél', 'wing,_a_kínai_pacsirta', 'félszárny', 'sárvédő', 'swingman', 'repülőgépszárny', 'repül', 'gone_again', 'háttérben', 'hátranyilazott_szárny', 'repülni', 'szárny', 'hindwing', 'szegélyező', 'spoiler', 'kilépőél', 'kerék_is', 'fly_felét', 'vitorlázó', 'flyhalf', 'melléklet', 'nem_színpadi', 'repít'}
wipe	{'törölje', 'törlés'}
with	set()
woman	{'nancy_benoit', 'nőnemű', 'nőnemű_állat', 'takarítónő', 'női', 'nők', 'woman', 'harry_styles', 'bejárónõ', 'gyengébb_nem', 'nőstény', 'klaatu', 'asszony', 'bejárónő', 'tojó', 'nőnem', 'nő', 'felnőtt_női'}
word	{'pin-kód', 'jelszót', 'jelszavakat', 'kötelezettségvállalás', 'good_book', 'szó', 'a_biblia', 'szent_szövegek', 'vita', 'bibliák', 'bibliai', 'becsszó', 'biblia', 'szent_szöveg', 'vallási_szövegek', 'szót', 'a_szentírás', 'keresztény_biblia', 'microsoft_word', 'logos', 'word', 'adat_szó', 'hír', 'becsületszavamra', 'szentírás', 'jelszó', 'fia', 'microsoft_office_word', 'szóhossz', 'szent_biblia', 'megbeszélés', 'logosz', 'szent_könyv', 'becsületszó', 'szavak', 'a_biblia_írói', 'keresztény_szentírások'}
worm	{'worm', 'kukac', 'giliszták', 'számítógépes_féreg', 'európai_sárkány', 'giliszta', 'geleszta', 'szennyeződés_labda', 'féreg'}
year	{'évi', 'annum', 'ma', 'esztendeig', 'naptári_év', 'ka', 'tropikus_év', 'év', 'anomalisztikus_év', 'kilo-annum', 'szoláris_év', 'földi_év', 'átlagos_trópusi_év', 'kor', 'hosszú_ideig', 'hosszú_idő', 'trópusi_év', 'esztendő', 'csillagászati_év', 'évente', 'napéjegyenlőségi_év'}
yellow	{'sárga_folyó', 'huang_he', 'gyáva', 'hong_jin-ho', 'eiko_shimamiya', 'szőke_haj', 'sárga', 'hwang_ho', 'huangho', 'szőke', 'yellow', 'simamija_eiko', 'shimamiya_eiko', 'zebrahead', 'sárga-folyó', 'sárgaság'}
you	{'pablo_honey', 'janne_da_arc', 'you', 'monster', 'the_real_testament', 'amy_lynn_lee', 'amy_lee', 'amy_lynn_hartzler', 'fly', 'no_control', 'ti', 'te'}
