ability	{'capacidad', 'poder', 'habilidad', 'ingenio', 'talento', 'aptitud'}
smooth	{'pulimentar', 'arreglar', 'llano', 'calmo', 'buqué', 'calmado', 'tranquilo', 'números_lisos', 'frutas', 'bruñir', 'legato', 'plácido', 'seco', 'sereno', 'ligero', 'stypsis', 'número_suave', 'bouqué', 'quieto', 'bouque', 'abrillantar', 'acicalar', 'cuerpo', 'apacible', 'sosegado', 'alisar', 'suavizar', 'lustrar', 'astringencia', 'número_liso', 'numero_suave', 'suave', 'número_suaves', 'buquet', 'smooth', 'mineralidad', 'pulir', 'numeros_lisos', 'gerald_albright', 'equilibrio', 'cepillar', 'liso', 'fluido', 'allanar', 'numero_suaves'}
snake	{'bell_ah-1', 'sierpe', 'snake_jailbird', 'hydra', 'ofidios', 'culebra', 'codigo_gray', 'serpiente', 'bell_ah-1_cobra', 'bell_ah_1_cobra', 'serpentes', 'ophidia', 'culebrear', 'código_de_gray', 'hidra', 'signo_de_la_serpiente', 'la_serpiente', 'serpiente_en_la_hierba', 'bell_ah_1', 'culebras', 'iroquois_pliskin', 'snake', 'lockheed_ah-1_cobra', 'serpentear', 'rio_snake', 'codigo_de_gray', 'constelación_de_hidra', 'ah-1_cobra', 'serpientes', 'ah_1', 'solid_snake', 'codigo_binario_reflejado', 'ah-1', 'lockheed_ah_1_cobra', 'ah_1w', 'ah_1_cobra', 'código_binario_reflejado', 'ahi', 'ofidia', 'old_snake', 'ofidio', 'río_snake', 'snake_river', 'código_gray'}
snow	{'arthur_owens', 'snow', 'the_warriors:_los_amos_de_la_noche', 'farlopa', 'blanco_apagado', 'the_new_year', 'variedad_de_blanco', 'nevada', 'variedades_de_blanco', 'tonalidad_de_blanco', 'ruido', 'the_warriors', 'libavcodec', 'blancuzco', 'engañar', 'c_p_snow', 'the_warriors_los_amos_de_la_noche', 'marfil', 'matices_de_blanco', 'nariz_caramelo', 'hueso', 'tonalidades_de_blanco', 'capa_de_nieve', 'tomar_el_pelo', 'nieve_polvo', 'nieve', 'charles_percy_snow', 'c._p._snow', 'ffmpeg', 'nevadas', 'c', 'caramelo', 'nevar', 'tonos_de_blanco', 'aturdir', 'barón_snow_de_leicester', 'coca', 'blow', 'matiz_de_blanco', 'cubierta_de_nieve', 'blanco_marfil', 'zapada', 'confundir', 'perla', 'tono_de_blanco', 'las_nevadas', 'blanco_roto', 'los_guerreros', 'color_marfil'}
solution	{'respuesta', 'solución_de_problemas', 'solutos', 'solucion_de_problemas', 'solución_saturada', 'solucion_saturada', 'disolución_saturada', 'solución_sobresaturada', 'disolucion', 'resolución_de_ecuaciones', 'localización_y_resolución_de_problemas', 'disolución', 'resolucion_de_ecuaciones', 'sobresaturada', 'resolución', 'solucion', 'mezcla_homogénea', 'resultado', 'servicio_técnico', 'solucion_sobresaturada', 'disoluciones', 'soluciones', 'solución', 'solution', 'resolución_de_problemas', 'problema', 'solvente', 'solucionática', 'problema_cognitivo'}
some	{'cerca_de', 'unos', 'alguno', 'algo', 'algún', 'un_poco', 'algunas', 'algunos', 'más_o_menos', 'cerca', 'aproximadamente', 'unas'}
soul	{'mr.mr.', 'soul-jazz', 'musica_soul', 'alma', 'soul_music', 'persona_individuo', 'personas', 'alguien', 'mortal', 'alma_inmortal', 'soulfulness', 'hebp2', 'ser_humano', 'almas', 'música_soul', 'ánimas', 'individuo', 'individualidad', 'animas', 'individual', 'personaje_real', 'ser', 'indivisible', 'anímica', 'persona', 'concepto_de_persona', 'humano', 'sujeto', 'alma_humana', 'teorema_de_la_alma', 'aiúa', 'individuos', 'alguno', 'soul', 'psique', 'anímico'}
sound	{'vocalizar', 'propagación_del_sonido', 'hacer_sonar', 'sondar', 'sondear', 'onda_de_sonido', 'estrecho', 'sondeo_uretral', 'dar_la_alarma', 'acertado', 'fono', 'tener_pinta', 'onda_acústica', 'hacer_ruido', 'tecnocumbia', 'ruido', 'el_sonido', 'los_sonidos_del_habla', 'audio', 'sentido_del_oído', 'onda_acustica', 'ondas_sonoras', 'sonido', 'sonidos', 'propiedades_musicales_del_sonido', 'razonado', 'paso', 'razonable', 'bien', 'bueno', 'fonema', 'technocumbia', 'seno', 'sano', 'ondas_de_sonido', 'cualidades_del_sonido', 'sonar', 'son', 'electrocumbia', 'profundo', 'inteligente', 'sensato', 'onda_sound', 'onda_sonora', 'legal', 'juego_uretral', 'sound', 'estrechos', 'sensación_auditiva', 'sonido_del_habla', 'teléfono', 'cumbia_sound', 'sonoro', 'parecer', 'volumen'}
spit	{'baba', 'sialagoga', 'lengua_de_arena', 'salivoso', 'espetar', 'rociar', 'escupir', 'rotisserie', 'expectorar', 'chispear', 'salpicar', 'soltarla', 'lengua_de_tierra', 'esputar', 'salivacion', 'lin_newborn', 'cordon_litoral', 'asador', 'expectoración', 'ast', 'salivar', 'rosticería', 'spit', 'lloviznar', 'espeto', 'saliva', 'salivas', 'cordón_litoral'}
split	{'surcar', 'split,_croacia', 'abertura', 'desdoblar', 'desvincular', 'dividir', 'álbum_split', 'dividido', 'spagat', 'división', 'separar', 'cigosidad', 'hender', 'rajarse', 'reventarse', 'homozygosity', 'clivar', 'heterocigoto', 'raja', 'hemicigotos', 'heterocigotos', 'split_álbum', 'explotar', 'cisma', 'split', 'album_split', 'desdoblamiento_de_acciones', 'partir', 'homocigosidad', 'heterocigosidad', 'spalato', 'split_album', 'rasgadura', 'homocigotos', 'división_de_acciones', 'desunir', 'reventar', 'rajar', 'hendidura', 'rasgar', 'desunido', 'estallar', 'birds_of_prey', 'fragmentar', 'separado', 'distanciarse', 'discorde', 'dividirse', 'heterozigoto', 'lema_división', 'rasgón', 'separarse', 'split_dividida', 'homocigoto', 'repartir', 'fender', 'homozigoto', 'desgarrón', 'desdoblamiento', 'escindir'}
spoke	{'comunicación_verbal', 'lenguaje_oral', 'la_comunicacion_oral', 'rundle', 'idioma', 'rayo', 'lengua_hablada', 'rueda_habló', 'lenguaje_verbal', 'lenguaje_articulado', 'lengua', 'spoke', 'radio', 'lenguaje_humano', 'comunicacion_oral', 'discurso_de_la_comunicación', 'habla', 'radios', 'hablar', 'travesaño', 'la_comunicación_oral', 'peldaño', 'lenguaje_hablado', 'comunicación_oral', 'lenguaje', 'comunicación_de_voz'}
squeeze	{'abrazamiento', 'contracción_del_credito', 'extorsionar', 'encajar', 'comprimir', 'pellizcar', 'estrujar', 'coercer', 'aplastamiento', 'zugzwang', 'apretar', 'forzar', 'chafar', 'contracción_del_crédito', 'chapotear', 'crisis_de_liquidez', 'contraccion_del_credito', 'apretando', 'estrujadura', 'zungwang', 'abrazar', 'credit_crunch', 'squeeze', 'abrazos', 'escurrir', 'sterno', 'abrazo_apasionado', 'infiltrarse', 'exprimir', 'llenar', 'seno', 'embutir', 'crisis_de_crédito', 'apretón', 'majar', 'crisis_crediticia', 'obligar', 'contraccion_del_crédito', 'estrujón', 'coaccionar', 'atormentar', 'abrazo', 'acercar_los_dedos', 'meter', 'moler', 'aplastar', 'achuchón', 'presionar', 'machacar', 'estrujamiento'}
stab	{'picar', 'mickey_altieri', 'tajo', 'cuchillazo', 'cuchillo_empuje', 'hincar', 'atropellar', 'aguijonear', 'navajazo', 'golpear', 'pinchar', 'acuchillar', 'cuchillada', 'remordimiento', 'casey_"cici"_cooper', 'scream_ii', 'puñalada_bocina', 'punzada', 'scream_2', 'puñalada', 'stab', 'apuñalar'}
stand	{'fundamento', 'digerir', 'puesto', 'resistencia', 'consentir', 'plantación_algodón', 'poner', 'sobrellevar', 'paralización', 'tomar', 'aguantar', 'gradas', 'plantación_de_azúcar', 'sufrir', 'permanecer', 'soporte', 'susan_ashton', 'peana', 'estar_en_vigor', 'plantaciones_de_azúcar', 'diamond_is_not_crash', 'inmovilización', "jojo's_bizarre_adventure", 'base', 'tarima', 'jojo_no_kimyō_na_bōken', 'aceptar', 'quiosco_de_musica', 'templete_de_música', 'arboleda', 'empresa', 'huerto', 'escenario_al_aire_libre', 'vergel', 'pie', 'estar_parado', 'woodlet', 'someterse', 'estancia', 'ventas_cabina', 'quiosco', 'plantación_café', 'conformarse', 'estar_vigente', 'escenario', 'alzar', 'jojo_no_kimyo_na_bōken', 'stand', 'punto_de_vista_técnico', 'pedestal', 'levantarse', 'plantación', 'asociación', 'plantaciones_de_caucho', 'estar_de_pie', 'tenderete', 'resignarse', 'apechar', 'condescender', 'quiosco_de_música', 'graderío', 'anaquel', 'plantacion', 'punto_de_vista', 'soportar', 'gradería', 'plantaciones', 'algodonal', 'posición', 'grada', 'óptica', 'mantener', 'barraca', 'the_stand', 'huerta', 'templete', 'plantación_de_algodón', 'ponerse_de_pie', 'levantar', 'caseta', 'poner_de_pie', 'firma', 'tolerar', 'perspectiva', 'huertos', 'compañía', 'jojo_no_kimyo_na_boken', 'parada', 'huerto_frutal', 'visión', 'postura', 'horticultor', 'punto', 'apocalipsis'}
star	{'rol_protagonico', 'artista', 'tlz', 'entendido', 'la_estrella_de_cine', 'milky', 'wiz', 'superestrella', 'adepto', 'polígono_estrellado', 'topologia_en_estrella', 'actriz_principal', 'tar.gz', 'topologia_de_red_en_estrella', 'celebridades', 'estrellas', 'personaje_mediático', '★', 'se_armó_el_belén', 'asistente', 'red_en_estrella', 'análisis_bcg', 'anexo:discografía_de_daughtry', 'persona_famosa', 'virtuoso', 'personalidad_de_televisión', 'actor_principal', 'rol_protagónico', 'star', 'poligono_estrellado', 'estrellas_masivas', 'rol_principal', 'tgz', 'celebrities', '＊', '*', 'estrella', 'categoría', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'air_tv', 'tar_gz', 'estrellas_de_cine', 'gucy2c', 'famoso', 'ziggy_stardust', 'la_estrella_de_belen', 'analisis_bcg', 'protagonizada_por', 'star_tv', 'hotel_de_cinco_estrellas', 'célebre', 'estrella_del_pop', '✩', '⭐️', 'célebres', 'astro', 'estelle', 'gráfico_estrella', 'protagonista', 'análisis_b.c.g.', 'analisis_b_c_g', 'mavin', 'silbido', 'estelar', 'xerox_star', 'el_ascenso_y_la_caída_de_ziggy_stardust_y_las_arañas_de_marte', 'hacha', 'artista_de_cine', 'estelle_swaray', 'experto', 'crack', 'poliedro_estrellado', 'maven', 'estrella_cinematográfica', 'hotshot', 'analisis_b.c.g.', 'famosas', 'genio', 'grafo_estrella', 'entendida', 'air', 'the_star', 'topología_en_estrella', 'ilean_almaguer', 'la_estrella_de_belén', 'famosos', 'asterisco', 'protagonizar', 'ducho', 'estrella_de_cine', 'reparto', 'diestro', 'es', 'celebridad', 'headliner', 'estrella_masiva', 'topología_de_red_en_estrella', 'personalidad_de_la_televisión', 'tar', 'as', 'personaje_central', 'personalidad_de_los_medios', 'matriz_bcg', 'tarball', '.tgz'}
stick	{'caja_de_cambios_manual', 'verdugo', 'mando_de_juego', 'molestar', 'atar', 'quedar', 'articulación', 'trompeta', 'palanca_de_mando', 'vincular', 'conjunto_de_caracteres_ascii', 'palanca', 'punzar', 'palo', 'palanca_de_cambios_corta', 'bastón', 'alojarse', 'permanecer', 'codigo_ascii', 'bastón_de_marcha', 'cigarrillo_de_marihuana', 'aferrar', 'billystick', 'ramo', 'porra', 'ramita', 'stick', 'picar', 'incomodar', 'us-ascii', 'barra', 'american_standard_code_for_information_interchange', 'adherir', 'cambios', 'carruco', 'garrote', 'astilla', 'unirse', 'transmisión_estándar', 'pito', 'bastón_policial', 'palo_de_hockey', 'us_ascii', 'bate', 'el_control_stick', 'synchromesh', 'depositar', 'encargarse_de', 'sorprender', 'encajar', 'kiki', 'aferrarse', 'enganchar', 'desconcertar', 'porro', 'peta', 'ascii_code', 'código_ascii', 'hospedarse', 'bastones', 'joystick', 'asociarse', 'transmisión_manual', 'canuto', 'estoquear', 'irritar', 'asombrar', 'incorporarse', 'ascii', 'pegarse_cambio', 'cambio_manual', 'liar', 'palanca_de_control', 'billy_club', 'calzar', 'cargar', 'pinchar', 'porra_de_policía', 'chaquetón', 'spliff', 'verdugón', 'apoyar', 'joysticks', 'código_estándar_americano_para_intercambio_de_información', 'adherirse', 'cachiporra', 'leño', 'ligarse', 'codigo-ascii', 'transmision_manual', 'pegarse', 'vara', 'encolar', 'quedarse', 'código-ascii', 'palanca_de_control_central', 'clapstick', 'confundir', 'pegar'}
stone	{'piedra_preciosa', 'joyas', 'picul', 'piedras_semi-preciosas', 'pétreo', 'grava', 'pericarpo', 'gaston_tardivo', 'iskander_e', 'endocarpo', 'semilla', 'sillar', 'rocas', 'henry_stone', 'iskander', 'harlan_f._stone', 'piedras_semipreciosas', 'nuez', '9k720_iskander', 'apedrear', 'hueso', 'harlan_stone', 'piedra_semipreciosa', 'ss_26', 'oliver_stone', 'isidor_feinstein_stone', 'lapidar', 'gema', 'roca', 'i._f._stone', 'ss-26', 'piedras', 'clases_de_rocas', 'pericarpio', 'harlan_fisk_stone', 'harlan_fiske_stone', 'stone', 'joya', 'piedras_preciosas', 'despepitar', 'rocoso', 'gemas', 'lucy_stone', 'peña', 'iskander-e', 'robert_stone', 'semi-preciosas', 'ss_26_stone', 'endocarpio', 'edward_durell_stone', 'piedra', 'ss-26_stone', 'pepita', 'deshuesar'}
straight	{'erguido', 'desenroscado', 'cuadrado', 'anticuado', 'informal', 'solo', 'desenrollado', 'claro', 'sincero', 'hetero', 'heterosexualismo', 'seguido', 'directamente', 'consecutivo', 'recto', 'directo', '⚤', 'correcto', 'carca', 'comportamiento_heterosexual', 'franco', 'recta_final', 'derecho', 'regular', 'escalera', 'carroza', 'recta', 'tieso', 'persona_heterosexual', 'escala', 'heterosexual', 'hacia', 'liso', 'heterosexualidad', 'hétero', 'enderezado', 'rígido', 'inmediatamente', 'persona_directamente', 'heterosexuales'}
student	{'alumna', 'aedes_christi', 'estudiantes', 'william_sealy_gosset', 'especialista', 'christ_church', 'christ_church_college', 'estudiante', 'bookman', 'william_gosset', 'pupila', 'sabio', 'librerias', 'estudiar', 'pupilo', 'discente', 'ædes_christi', 'erudito', 'educando', 'docto', 'librerías', 'estudian', 'iglesia_cristiana', 'christ_church,_oxford', 'año', 'librero', 'cardinal_college', 'el_estudiante', 'estudioso', 'alumno', 'christ_church_oxford', 'student', 'venta_de_libros', 'libreria', 'college_christ_church_de_oxford', 'iglesia_cristiana,_oxford', 'tienda_de_libros', 'persona_erudita', 'libreros', 'estudiantil', 'librería'}
stupid	{'corto', 'imbecil', 'pero_se_puede_saber_que_cono_estas_haciendo?', 'tonterías', 'tarada', 'que_coño_haces?', 'idiotez', 'estupefacto', 'menso', 'poco_inteligente', 'pillock', 'atontadas', 'camueso', 'idiota', 'tonta_del_culo', 'gaznápiro', 'tontolaba', 'lelo', 'peruétano', 'qué_cono_haces?', 'torpe', 'tontorron', 'hijo_de_burro', 'bolsa', 'pero_se_puede_saber_que_coño_estás_haciendo?', 'jumento', 'tontorrón', 'en_estado_de_shock', 'lento', 'johan_elias_feliz_perez', 'estupidez', 'pero_se_puede_saber_qué_cono_estas_haciendo?', 'tarado', 'tontopolla', 'ciruelo', 'necio', 'pero_se_puede_saber_qué_coño_estas_haciendo?', 'tonto_del_culo', 'estúpido', 'raven-symoné', 'tonto', 'ininteligente', 'pero_se_puede_saber_qué_cono_estás_haciendo?', 'gilipollez', 'tontos', 'bobochorra', 'no_inteligentes', 'gili', 'estúpida', 'mastuerzo', 'gilipolleces', 'que_cono_haces?', 'pero_se_puede_saber_que_coño_estas_haciendo?', 'pobre_pez', 'estupido', 'majareta', 'raven-symone', 'pero_se_puede_saber_qué_coño_estás_haciendo?', 'obtuso', 'zopenco', 'hacerse_el_tonto', 'tontería', 'bobo', 'tonta', 'mendrugo', 'atontados', 'tonterias', 'en_estado_de_confusión', 'gilí', 'pudden_de_cabeza', 'tontorrona', 'raven_symoné', 'atontada', 'pasmado', 'atontado', 'deja_de_hacer_el_idiota', 'gilí_pendejo', 'zoquete', 'gilipollas', 'necedad', 'tontas', 'cretino', 'calabaza', 'raven_symone', 'tonteria', 'pero_se_puede_saber_que_cono_estás_haciendo?', 'tragapollas', 'imbécil', 'atontar'}
successful	{'successful', 'próspero', 'afortunado', 'triunfador', 'exitoso'}
suck	{'amamantar', 'dar_el_pecho', 'succión', 'atetar', 'seok', 'chuparse', 'absorber', 'dar_teta', 'absorver', 'dar_de_mamar', 'dar_pecho', 'aspirar', 'lactar', 'chupar', 'tragar', 'chuparla'}
sugar	{'glass_heart', 'glucidos', 'azúcar_en_el_vino', 'plata', 'moolah', 'azúcar_refinado', 'mosca', 'comercio_de_azúcar', 'azucar_refinado', 'azúcares_en_el_vino', 'simoleons', 'almejas', 'azúcar_blanco', 'sacarosa', 'azúcar', 'azuquitar', 'batman_forever', 'sugar_toast', 'pasta', 'hidratos_de_carbono', 'vil_metal', 'cucas', 'lana', 'endulzar', 'endulcorar', 'kale', 'guita', 'glúcido', 'parné', 'hidrato_de_carbono', 'sacárido', 'azúcar_en_cubos', 'carbohidrato', 'terrón_de_azúcar', 'cuartos', 'glucido', 'pelas', 'sugar_gui', 'batman_eternamente', 'azucarar', 'niveles_azúcar', 'sugar', 'azucar', 'azuquítar', 'gelt', 'glúcidos', 'carbohidratos', 'glassheart', 'azúcares', 'sacáridos', 'cubo_de_azúcar', 'dinero', 'lucro', 'shekels', 'azuquita'}
sun	{'domingos', 'día_del_señor', 'sol', 'sun_hwa_kwon', 'día_del_senyor', 'sun_hwa-kwon', 'antú', 'new_york_sun', 'the_distance_to_here', 'sun_microsystems,_inc.', 'cun', 'espectro_solar', 'radiación_solar', 'solear', 'surya_vara', 'direccion_de_incidencia_de_la_irradiacion_solar', 'direcciones_de_incidencia_de_la_irradiacion_solar', 'direcciones_de_incidencia_de_la_irradiación_solar', 'estrellas_fijas', 'marte', 'mercurio', 'utug', 'júpiter', 'sun_television', 'luz_del_sol', 'helios', 'domingo', 'disco_solar', 'astro_solar', 'radiacion_solar', 'the_sun', 'lorenzo', 'signo_solar', 'new_york_evening_sun', 'estrella_fija', 'fisica_solar', 'seon', 'sun_microsystem', 'direccion_de_incidencia_de_la_irradiación_solar', 'utu', 'the_new_york_evening_sun', 'asolear', 'iluminación_natural', 'sun_microsystems', 'dom', 'sun_microsystems_inc', 'sun_microsystems,_inc', 'dirección_de_incidencia_de_la_irradiación_solar', 'luna', 'ho_yeow_sun', 'sun_microsystems_inc.', 'luz_solar', 'sun-hwa_kwon', 'venus', 'dominicus', 'tomar_el_sol', 'sun', 'xin', 'radiación', 'sūrya_vāra'}
suspect	{'presumir', 'procesado', 'sospecha', 'acusada', 'dudoso', 'elvis_cole', 'demandado', 'suponer', 'acusados', 'suspect', 'sospechoso', 'sospechar', 'sospechosos', 'querellado', 'recelar', 'figurarse', 'desconfianza', 'desconfiar', 'robert_crais', 'acusado', 'barruntar', 'defendido', 'sospechosa', 'dudar', 'recelo', 'extraño', 'segunda_temporada_de_smallville', 'jerry_gret_samouche', 'intuir', 'sospita', 'raro', 'autor'}
swell	{'dandies', 'petimetre', 'galán', 'magnapop', 'swell', 'gomoso', 'guay', 'lindo', 'guapo', 'bestial', 'dandy', 'mar_de_leva', 'currutaco', 'tenderete', 'mar_tendida', 'enjugador', 'dandysmo', 'dandis', 'chachi', 'oleaje', 'swell_dopa', 'brutal', 'inflamarse', 'inflarse', 'hinchar', 'homemade_sister', 'ola_crestless', 'dude', 'subir', 'pinturero', 'crecida', 'linda_&_ruthie', 'manar', 'fenomenal', 'genial', 'enorme', 'dandi', 'dandismo', 'brotar', 'marejada', 'bárbaro', 'expandirse', 'linda_and_ruthie', 'tumefacción', 'abultar', 'narciso', 'hincharse', 'súper', 'aumentar', 'mar_de_viento', 'tendedero', 'dilatarse', 'mar_de_fondo', 'pisaverde', 'agrandarse', 'oleada', 'gran', 'boquirrubio', 'figurín'}
swim	{'mer_girl', 'ray_of_light', 'nadadora', 'skin', 'shanti_ashtangi', 'natación_competitiva', 'candy_perfume_girl', 'natación', 'shanti/ashtangi', 'alone_again', 'swim', 'estilos_de_nado', 'nadar', 'flotar', 'has_to_be', 'sky_fits_heaven', 'locomoción_acuática', 'to_have_and_not_to_hold', 'nado', 'little_star', 'natacion'}
table	{'cocina', 'meseta', 'tabla', 'href', 'mesetas', 'posponer', 'iframe', 'elemento_html', 'soundboard', 'look_up_table', 'mesa', 'etiqueta', 'tabla_de_consulta', 'placa_de_sonido', 'caja_de_resonancia', 'retrasar', 'mesa_de_campaña', 'búsqueda', 'etiqueta_html', 'tabla_de_base_datos', 'postergar', 'prorrogar', 'matriz_tabular', "meta_tag's", 'tags', 'tag', 'relación', 'demorar', 'caja', 'etiqueta_p', 'aplazar', 'diferir', 'anexo:etiquetas_de_html', 'tabular', 'hoja_de_datos', 'lookup_table'}
tail	{'posas', 'asentaderas', 'rabo', 'proximal', 'pompis', 'traseros', 'bollos', 'cola-ender', 'grupa', 'miles_"tails"_prower', 'extremo_trasero', 'apical', 'distal', 'contralateral', 'orden_medio', 'alineación', 'dorsoventral', 'línea_media_clavicular', 'ventral', 'tailender', 'miles_prower', 'plantar', 'posterior', 'cola', 'glúteo', 'formación', 'dorsolateral', 'términos_para_la_localización_anatómica', 'poto', 'orden_de_bateo', 'fundillo', 'colas', 'traste', 'culo', 'extremo_posterior', 'desrabar', 'popa', 'ocóte', 'parte_trasera', 'tuje', 'asiento', 'pompas', 'as_de_oros', 'tras', 'caudalmente', 'basal', 'región_glútea', 'glúteos', 'ano', 'conjunto_de_cola', 'bateador_de_apertura', 'seguir', 'empenaje', 'pandero', 'cola-end', 'la_cola_de_montaje', 'desrabotar', 'caudal', 'rulé', 'suelo', 'tush', 'lado_trasero', 'fin', 'cachetes', 'restos', 'cachas', 'trasero', 'ipsilateral', 'cuadro_resumen', 'tooshie', 'después_de_que_parte', 'posaderas', 'aboral', 'gluteos', 'descolar', 'ancas', 'miles_«tails»_prower', 'tail', 'lateral', 'nalgas', 'fondo', 'gluteo', 'términos_anatómicos_de_localización', 'final', 'ventrolateral', 'posteriormente', 'rastrear', 'keister', 'nalga', 'perseguir', 'derriere', 'tails', 'nates', 'detrás', 'imbécil', 'remedador'}
taste	{'catar', 'sabor_artificial', 'potenciador_del_sabor', 'paladear', 'gustar', 'degustacion_de_vinos', 'cata_de_vinos', 'gustacion', 'degustar', 'degustación_de_vinos', 'percepción_gustativa', 'gustación', 'cata_a_ciegas', 'proclividad', 'gustation', 'saboroso', 'degustación_de_vino', 'disposición', 'preferencia', 'perceptividad', 'sistema_gustativo', 'degustación', 'sentido_del_gusto', 'tendencia', 'sabor', 'placer_estético', 'percepción_del_gusto', 'buen_gusto', 'apreciación', 'nowhere', 'predisposición', 'predilección', 'preferencias', 'gusto_artístico', 'cata', 'muestra', 'propensión', 'saboreo', 'sabor_básico', 'sabor_sensación', 'sabores_naturales', 'gusto_estético', 'saboreamiento', 'conocedor_de_vinos', 'saborizantes_artificiales', 'saborgar', 'probar', 'agente_saborizante', 'saboreador', 'modalidad_gustativa', 'inclinación', 'taste', 'gusto', 'bocado', 'degustacion_de_vino', 'sensación_gustativa', 'discernimiento', 'gusto_estetico', 'saborear', 'gusto_artistico', 'cata_de_vino', 'sabores'}
team	{'conjunto_musical', 'banda', 'deporte_de_conjunto', 'bandas_de_rock', 'cuadrilla', 'artista_en_solitario', 'conjunto', 'equipo_de_deporte', 'banda_de_musica', 'grupo_musical', 'banda_pop', 'conjunto_instrumental', 'la_banda_de_rock', 'deporte_de_equipo', 'escuadra', 'equipos', 'banda_de_música', 'team', 'tiro', 'grupo_de_rock', 'proyecto_en_solitario', 'celda_de_trabajo', 'asociarse', 'banda_musical', 'deporte_colectivo', 'grupo', 'yunta', 'banda_de_rock', 'deportes_de_conjunto', 'escuadrón', 'recua', 'grupo_de_música', 'deportes_de_equipo', 'el_grupo_de_rock', 'equipo'}
texture	{'macrotextura', 'textura_de_la_música', 'mapeado_de_texturas', 'textura_musical', 'sensación_en_la_boca', 'texture_mapping', 'textura_cristalografica', 'textura_en_boca', 'multitexturizado', 'textura', 'mapa_de_textura', 'textura_cristalográfica', 'textura_de_la_pintura'}
that	{'eso', 'aquello', 'esa', 'ese', 'aquella', 'thaat', 'that', 'aquel'}
there	{'por_allí', 'en_ese_lugar', 'allá', 'hacia_allá', 'ahí', 'en_ese_sitio', 'hay', 'allí'}
they	{'se', 'xenón', 'número_atómico_54', 'ellos', 'they', 'les', 'ellas', 'xenon', 'xe'}
thick	{'apelmazadamente', 'fuerte', 'espeso', 'robusto', 'grueso', 'compacto', 'de_forma_espesa', 'grosor', 'denso', 'rechoncho', 'corazón', 'corpulento', 'indistinto', 'medio', 'fornido', 'condensado', 'tupido', 'confuso', 'achaparrado', 'espesor', 'gruesamente', 'concentrado'}
thin	{'esbelto', 'magro', 'ralo', 'claro', 'diluído', 'perder_peso', 'disperso', 'cortar', 'flaco', 'enflaquecer', 'leve', 'delgadas', 'adelgazar', 'escaso', 'insustancial', 'enflacar', 'delgado', 'diluir', 'desleír', 'aclarar', 'adelgazarse', 'delgadamente', 'bajar_peso', 'reducir', 'escasa', 'rebajar', 'fino', 'enflaquecerse'}
think	{'meditar', 'rememorar', 'think', 'considerar', 'think_global', 'pensante', 'anexo:discografía_de_adam_lambert', 'creer', 'proponerse', 'figurarse', 'imaginar', 'comportar', 'meditación', 'pensamientos', 'acordarse', 'opinar', 'pensamiento', 'pretender', 'creo', 'supongo', 'reflexión', 'intelección', 'intentar', 'significar', 'ción', 'reflexionar', 'planear', 'intención', 'discurrir', 'evocar', 'cerebración', 'imagino', 'conmemorar', 'proceso_del_pensamiento', 'recordar', 'pensar', 'acordar', 'estimar', 'suponer'}
this	{'undécima_temporada_de_the_x-files', 'tis', 'me', 'thinis', 'mí', 'anexo:undécima_temporada_de_the_x-files', 'this', 'este', 'the_x-files,_temporada_11', 'tinis', 'expediente_x,_temporada_11'}
three	{'bob_sinclair', 'tercera', '3_banda', 'christophe_le_friant', 'prong', 'eneagrama_de_la_personalidad', 'iii', 'ternion', 'número_3', 'u2-3', 'achiever', '3_servicio_del_metro_de_nueva_york', '#3', 'hutchison_3g', 'three', '3_the_x-files', '3', 'numero_3', 'terzetto', 'the_mighty_bop', 'triada', 'u2_3', 'christophe_lefriant', 'seventeen_seconds', 'uno_del_trío', 'trine', 'succeeder', 'u2_three', 'trey', 'bob_sinclar', 'éxito', 'ganador', 'troika', 'eneagrama', 'alejandro_sanz_3', 'trío', 'tres', 'deuce-as', 'terceto', 'santana_iii', 'santana', 'tercero', 'ternario'}
throw	{'vaciar', 'metal_viento', 'proyección', 'quitarse_de_encima', 'desconcertar', 'dispensar', 'instrumento_de_metal', 'instrumento_de_viento-metal', 'latón_instrumento', 'quitarse', 'lance', 'tirar', 'sacudirse_algo', 'hacer', 'proyectar', 'dejar_perplejo', 'le', 'cobres', 'lanzarse', 'lanzamiento', 'throw', 'metales', 'despeñar', 'echar', 'organizar', 'instrumentos_de_viento-metal', 'desorientar', 'entregar', 'dejar_caer', 'lanzar', 'pase', 'dar', 'accionar', 'desmontar', 'viento_metal', 'tirarse', 'proyeccion', 'mudar', 'bolada', 'despojarse', 'arrojarse', 'carrera', 'carrera_de_compresión', 'metal', 'latón', 'arrojar', 'instrumentos_de_viento_de_metal', 'aturdir', 'instrumentos_de_viento_metal', 'cam_carrera', 'librarse_de', 'instrumento_musical_de_metal', 'echado', 'instrumento_de_viento_metal', 'instrumentos_de_metal', 'propinar', 'factor_de_proyección', 'confundir', 'dar_forma', 'carrera_de_escape'}
