ability	{'la_capacitat', 'aptitud', 'poder', 'habilitat', 'capacitat', 'enginy'}
long	{'anhelar', 'longa', 'llunyà', 'saber_greu', 'extens', 'persiana', 'llarg', 'sobrant', 'excedent', 'enyorar', 'ansiejar', 'doldre', 'sobrer', 'bloody_roar', 'consumir-se', 'posició_llarga', 'william_henry_long', 'long', 'llong'}
louse	{'ftiràpter', 'arthropod', 'poll_mossegar', 'ocell_poll', 'pediculosi', 'canalla', 'arthropoda', 'poll_del_llibre', 'polls', 'artròpodes', 'brutícia_pilota', 'pugó', 'planta_poll', 'phthiraptera', 'xuclant_poll', 'artròpode', 'poll', 'euartròpode'}
magic	{'secret_time', 'conjurant_truc', 'octarina', 'il•lusionisme', "dóna'm_kiri_te_kanawa_janette", 'truc_de_màgia', 'encanteri', 'planeswalker', 'marca_de_les_forces_del_mal', 'il·lusionista', 'dame_kiri_te_kanawa', 'et_kanawa', 'il·lusionisme', 'màgia', 'octiron', 'il.lusionisme', 'màgiques', 'alagaësia', 'wonderworking', 'taumaturg', "dóna'm_kiri_te_kanawa", 'kiri_te_kanawa', 'poder_màgic', 'driving_rain', 'oclumancia', 'telescopi_magic', 'màgic', 'genet_de_drac', 'magic:_el_encuentro', 'prestidigitació', 'il·lusió', 'taumaturgia', 'magic:_la_trobada', 'il_·_lusionistes', 'magic:_the_gathering', 'taumatúrgiques', 'take_me_home', 'il·lusionador', 'justin_timberlake', 'discworld', 'magic!', 'embruixament', 'leandro_marín', 'genets_de_drac', 'conjur', 'mirall_de_dues_vies', 'animago', 'axel_rudi_pell', "màgia_d'escenari", 'iŀlusionisme', 'màgica', 'magic_the_gathering', 'energia_màgica', 'axel_rudi', 'taumatúrgia', 'make_a_scene', 'surda', 'truc', 'artefacte', 'el_llegat', 'encís', 'pársel', 'encantament', 'pluto', 'transfiguració', 'màgics', 'magic', 'la_màgia', 'mirall_unidireccional'}
man	{'món', 'illa_de_manx', 'èsser_humà', 'homo', 'mon', 'mundial', 'home', 'huma', 'militar', 'wireless_metropolitan_area_network', 'forma_humana', 'homo_sàpiens', 'homo_sapiens', 'maduresa_sexual', 'man', "home_de_l'univers_tolkien", 'manesos', 'home_modern', 'aeroport_de_manchester', 'home_de_confiança', 'baró', 'dunledinos', 'pàgines_de_manual', 'raça_humana', 'animal_racional', 'humà', 'èssers_humans', 'figura_masculina', 'humana', 'persona', 'cavaller_cavaller', 'home_adult', 'h._sapiens', 'homes', 'mascle_adult', 'ajudant_de_càmera', 'relient_k', 'humans', 'ésser_humà', 'wen', 'fitxa', 'sexe_masculí', 'valet', 'manfred_gnadinger', 'ser_humà', 'atanatári', 'peça', "xarxa_d'àrea_metropolitana", 'llinatge_humà', 'el_món', 'terra', 'wan', 'humanitat', 'éssers_humans', 'mascle', 'cornelis_de_man', 'valet_de_chambre', 'illa_de_man', 'man,_illa_de', 'illa', 'maduració_sexual', 'gènere_humà', 'homo_sapiens_sapiens', 'hom', 'espècie_humana'}
many	{'many', 'molts'}
marriage	{'boda', 'enllaç', 'casament', 'no-res', 'nuvi', 'nul_·_litat', 'noces', 'unió', 'cerimònia_del_casament', 'casament_civil', 'nihilidad', 'nul·litat', 'esponsal', 'matrimoni_canònic', 'matrimoni_catòlic', 'casori', 'cònjugues', 'núpcies', 'marit_i_dona', 'hymeneals', 'casaments', 'cerimònia_de_matrimoni', 'el_casament', 'matrimonial', 'matrimoni', 'connubi', 'parella_casada', 'matrimonis', 'casar-se', 'nupcials', 'parells_casats', 'cerimònia_compromís', 'relació_conjugal', 'relacions_matrimonials'}
material	{'fisicalisme', 'nous_materials', 'materialistes', 'material_design', 'roba', 'ceguesa_escaquística', 'materials', 'dades', 'drap', 'matèria', 'fisicalismo', 'tela', 'teixit', 'substancial', 'els_materials_i_les_seves_propietats', 'industrial_tèxtil', 'corpori', 'materialisme', 'ontologia_física', 'coses', 'tèxtils', 'tèxtil', 'material', 'materialista', 'art_de_teixir', 'teles'}
mathematical	{'matemàticament', 'matemàtic', 'ciències_exactes', 'matemàtica', 'ciències_matemàtiques', 'matemàtiques', 'exacte', 'ciència_matemàtica'}
meat	{'tall_de_carn', 'centre', 'carns', 'moll', 'ésser', 'quid', 'carn_de_vaca', 'carn_processada', 'essència', 'bessó', 'substància', 'shawn_stasiak', 'we_will_rock_you', "cor_i_l'ànima", 'ciència_carn', 'essències', 'entitat', 'nucli', 'ousia', 'cor', 'carn'}
mechanism	{'mecanismes_de_reacció', 'mecanisme', 'equip', 'maquinària', 'dispositiu', 'màqeuina', 'màquina', 'mecanisme_de_reacció', 'aparell', 'moviment', 'màquines', 'mecanisme_químic'}
medication	{'droga_medicinal', 'fàrmac', 'rescue', 'version_2.0', 'medicines', 'medicaments', 'medicació', 'producte_farmacèutic', 'medicina', 'agent_medicinal', 'farmacèutics', 'medicament', 'farmacèutic', 'medecina'}
money	{'moneda', 'money', 'diners', 'monetari', 'quartos', 'diner'}
moon	{'satèl.lit_natural', 'lluna_ascendent', 'clar_de_lluna', 'satèl·lit_natural', 'satèl·lit', 'llunes', 'llum_lunar', 'fase_de_la_lluna', 'mercuri', 'lluna', 'semidiàmetre_lunar', 'mart', 'llum_de_la_lluna', 'mes_sinòdic', 'kyôko_fukada', 'mes_lunar', 'satèl_·_lits_naturals', 'sun_myung_moon', 'saturn', 'llunació', 'satèl•lit_natural', 'sol', 'satèl·lits_naturals', 'lunar', 'mes_draconià', 'plutó', 'la_lluna', 'satèŀlit_natural', 'moon', '문', 'venus', 'júpiter', 'llum_de_lluna', 'signe_solar'}
mother	{'senyora', 'mares', 'mare_terra', 'mare', 'mare_biològica', 'la_mare_terra', 'acaronar', 'deessa_mare', 'a_chorus_line', 'materna', 'religiosa', 'progenitor_femení', 'mares_del_vi', 'engendrar', 'mat', 'synchronicity', 'monja', 'sisters_of_avalon', 'generar', 'amoixar', 'germana', 'amanyagar', 'mother', 'monges', 'sor', 'la_mare', 'ana', 'mare_del_vi', 'chorus_line'}
mountain	{'mickle', 'mountain', 'estol', 'muckle', 'gran_quantitat', 'bona_suma', 'sahtu', '4-8-2', 'muntanyes', 'cúmul', 'quantitat', 'la_muntanya', 'estiba', 'passel', 'molt', 'feix', 'montanyes', 'montanya', 'muntanyosa', 'apilament', 'pila', 'lot', 'tou', 'manyoc', 'munt', 'bastant_una_mica', 'nivell_muntanyenc', 'pilot', 'muntanya', 'apilotament', 'castell'}
mouth	{'dir', 'parlar', 'embocadura', 'vèrtexs', 'proferir', 'sassing', 'vèrtex', 'vértex', 'insolenència', 'desembocadura', 'verbalitzar', 'fissura_oral,', 'estuari', 'perioral', 'parlar_de_nou', 'sass', 'cavitat_oral', 'rima_oris', 'dialogar', 'boca', 'llavi', 'cavitat_bucal', 'impertinència'}
movement	{'moviment_social', 'desplaçament', 'deposició', 'tifa', 'dejecció', 'cagant', 'activitat_locomotora', 'motricitat', 'motilitat', 'mòtil', 'fecals', 'merda', 'she_wolf', 'gernació', 'coprogènic', 'movement', 'campanya', 'excrements', 'locomoció', 'trasllat', 'motriu', 'art_moviment', 'mobilitat_cel·lular', 'egestió', 'munt', 'acció_de_grup', 'moviment_phi', 'moviments_intestinals', 'cagar', 'front', 'fecal', 'defecació', 'caca', 'the_pillows', 'locomoció_animal', 'defecar', 'femta', 'fenomen_phi', 'moviments_socials', 'moviment_filosòfic', 'evacuació_intestinal', 'corrent_artístic', 'causa', "excrements_d'aus", 'moviment', 'moviment_artístic', 'moviment_musical', 'femtes', 'moviment_aparent', 'anadura', 'moviments_artístics', 'exèrcit', 'massa', 'excrement', 'bosta', 'matèria_fecal', 'acció_grupal', 'corrent', 'multitud', 'legió'}
movie	{'moviment_es_mostra_la_imatge', 'pel•lícules', 'pel•lícula', 'lícules', 'pel_·_lícules', 'tràiler', 'kites', 'gran_pel_·_lícula', 'pel·lícula_de_cinema', 'pel·lícula_cinematogràfica', 'full_motion_video', 'producció', 'lícula', 'film', 'llargmetratges', 'llargmetratge', 'pelicula', 'mostra_la_imatge', 'pel·lícula', 'pantalla_gran', 'cinema', 'imatge_en_moviment', 'pel.lícula', 'motion-picture_show', 'peŀlícula', 'imatges_en_moviment', 'pel·lícules', 'vídeo_de_moviment_complet', 'pel_·_lícula'}
music	{'country_rock', 'eufonia', 'music', 'música_de_la_prehistòria', 'the_music', 'música_prehistòrica', 'country-rock', 'música_primitiva', 'músiques', 'música'}
name	{'esmentar', 'noms_propis', 'grup_nominal', 'gens_romana', 'nominar', 'escollir', 'nomenar', 'nom_propi', 'al·ludir', 'gens', 'id', 'reputació', 'diagnosticar', 'identificació', 'citar', 'designar', 'persona', 'dir', 'sintagma_nominal', 'posar', 'fer', 'figura', 'identificar', 'frase_nominal', 'identificador', 'posar_nom', 'epítet', 'especificar', 'nominal', 'descriure', 'identificadors', 'denominar', 'anomenar', 'descobrir', 'proposar', 'personatge_públic', 'precisar', 'referir', 'mencionar', 'nom'}
narrow	{'estretir', 'especialitzar-se', 'marginal', 'insignificant', 'estrènyer', 'minuciós', 'soap&skin', 'especificar', 'estret', 'intolerant'}
nation	{'land', 'länder', 'bundesländer', 'estats_federats_alemanys', 'land_alemany', "estats_d'alemanya", "teoria_declarativa_de_la_condició_d'estat", 'societat_política', 'estat_federal', 'bundesland', 'estats_mexicans', 'organització_territorial_de_mèxic', 'governamentals', 'estat_del_món', 'nacional', 'estats_alemanys', 'bundesland_alemany', 'estat_sobirà', 'estats_federals_alemanys', 'teoria_declarativa_de_la_estadidad', 'països', "teoria_declarativa_de_la_de_condició_d'estat", 'estat_propi', 'estat_independent', 'estat_federat_alemany', 'carry_nation', 'discworld', 'estat_mexicà', "estats_federals_d'alemanya", 'estat_federat', "forma_d'estat", 'kendrik_lamar', 'estat_alemany', 'poble', "teoria_constitutiva_de_la_condició_d'estat", 'estat', 'divisions_administratives_de_mèxic', 'kendrick_lamar', 'carrie_nation', 'estatal', 'terra', 'nacions', 'nació', 'cos_polític', "estats_federats_d'alemanya", "teoria_declarativa_de_l'estadidad", 'estats', 'dur_a_amelia_nació_moore', 'país', 'república', 'res_publica', 'estats_sobirans', 'federació_mexicana', "estat_federat_d'alemanya", 'entitats_federatives_de_mèxic', 'nació_estudiant', 'estat_federal_alemany', 'divisió_política_de_mèxic', 'nation', "estat_d'alemanya"}
near	{'abordar', 'proper', 'venir', 'encarar', 'gairebé', 'apropar', 'pròxim', 'acostar-se', 'near_earth_asteroid_rendezvous_-_shoemaker', 'apropar-se', 'aproximat', 'prop', 'casi', 'aproximar', 'near_shoemaker', 'acostar', 'garrepa', 'quasi', 'near', 'estimat'}
neck	{'coll', "coll_d'obertura", 'nucal', 'bescoll', 'màstil', 'mànec', 'clatell', 'broc'}
new	{'inaudit', 'recentment', 'contemporani', 'modern', 'novell', 'de_fresc', 'inexpert', 'nou', 'novament', 'new', 'fresc'}
news	{'actualitat', 'noticiabilitat', 'notícies', 'informe_notícies', 'nova', 'notícia', 'noticiari', 'news', 'transmissió_de_notícies', 'telenotícies', 'esdeveniments_actuals', 'paraula', 'noves'}
night	{'nit', 'wiesel', 'fosca', 'obscuritat', 'eliezer_wiesel', 'mitjanit', 'elie_wiesel', 'nyx', 'night', 'nicte', 'nox', 'nix'}
noise	{'radiació_còsmica_de_fons', 'cmbr,', 'impacte_auditiu', 'aleatorietat', 'fons_de_microones_còsmic', 'soroll_aspre', 'ona_de_so', 'sò', 'fons_còsmic_de_microones', 'fons_de_radiació_de_microones', 'radiació_de_fons_microones_còsmic', 'noise', 'haphazardness', 'dissonància', 'paràsit', 'radiació_de_fons_microones', 'cmb', 'fressa', 'fons_cosmològic', 'la_radiació_còsmica_de_fons', 'soroll_de_la_imatge', 'baluern', 'so', 'direccionalitat_del_so', 'ones_sonores', 'soroll_electrònic', 'radiació_de_fons_de_microones', 'atmosfèrica_estàtica', 'la_contaminació_sonora', 'ona_sonora', 'ona_acústica', 'microones_còsmic_de_radiació_de_fons', 'interferència', 'atmosfèrics', 'sons', 'retrunyir', 'soroll_elèctric', 'estàtica', 'soroll_ambiental', 'noise-music', 'estocasticitat', 'cbr', 'soroll', 'elementary_os', 'soroll_aleatori', 'ressonar', 'estrèpit', 'soroll_del_senyal', 'soroll_industrial', 'contaminació_acústica', 'radiació_de_fons', 'soroll_de_ràdio'}
nose	{'òrgan_olfactiu', 'aromàtics', 'olfacte', 'aromàtic', 'tafanejar', 'boquilla', 'fragància', 'flairar', 'aromes', 'nas', 'ensumar', 'ficar_el_nas', 'tovera_magnètica', 'nassejar', 'aroma', 'tovera_de_laval', 'tovera', 'gore', 'broquets', 'ram', 'olorar', 'nas_humana'}
not	{'circuit_lògic', 'pas', 'portes_lògiques', 'negació_lògica', 'lògica_discreta', 'negació', 'no', 'la_porta_lògica', 'tot', 'porta_lògica'}
obligation	{'bo', 'obligació', 'responsabilitat', 'deure', 'deures', 'obligacions', "dret_d'obligacions", 'instrument_de_deute', 'certificat_de_deute', 'promesa'}
old	{'vell', 'previ', 'antic', 'translated_by_tenir_followed_by_the_length_of_time', 'gran', 'antany'}
one	{'upla', 'enneagrama', 'tupla', 'n-pla', 'immillorable', 'one_pro_cycling', 'u', 'still_not_getting_any…', 'n-epla', 'n-upla', 'armin_van_buuren', "l'únic", 'nombre_u', 'identitat_multiplicativa', 'supposed_former_infatuation_junkie', 'unitat', 'achiever', '1', 'tuples', 'insuperable', 'n-eples', 'n-tupla', 'incomparable', 'èxit', 'succeeder', 'unit', '+1', 'inigualable', 'nombre_1', 'dos', 'vertical_man', 'tuple', 'i', 'unitari', 'epla', 'n-tuple', 'still_not_getting_any...', 'sèxtuple', 'n-ples', 'vampire_weekend', 'one', 'guanyador', 'un', 'planetshakers', 'the_one'}
other	{'altres', 'altre', 'estrany'}
pain	{'tabarra', 'indolores', 'pain', 'forever', 'angoixa', 'fer_mal', 'aflicció', 'enuig', 'sensació_de_dolor', 'king_of_da_ghetto', 'molèstia', 'destorb', "game's_pain", 'anguniejar', 'afligir', 'enutjament', 'mal', 'dolor_agut', 'nosa', 'dolor_al_cul', 'dolor', 'colpir', 'sensació_dolorosa', 'pena', 'dany', 'pesar'}
personality	{'personalitat', 'personality', 'persona'}
philosophy	{'filòsofa', 'isme', 'escola_de_pensament', 'filosòfica', 'sistema_filosòfic', 'filòsofs', 'doctrina', 'filosofies', 'filosofía', 'filosófica', 'filosofia_aplicada', 'doctrinal', 'filosofar', 'filòsof', 'escola', 'doctrines', 'filosòfic', 'filosòfics', 'filosòfiques', 'filosofia_occidental', 'filosofia', 'escola_filosòfica'}
picture	{'paraula-pintura', 'pel•lícula', 'lícules', 'tràiler', 'veure', 'dibuix_artístic', 'matèria_pictòrica', 'tela', 'dibuix', 'imatge_del_compte', 'imatge_mental', 'pintures', 'il·lustració', 'imatge_en_moviment', 'vídeo', 'pel_·_lícula', 'tècnica_de_pintura', 'il·lustració_gràfica', 'foto', 'dibuixant', 'cobol', 'retòrica_musical', 'pintura_clàssica', 'pel·lícula_cinematogràfica', 'pintor', 'lícula', 'dibuixos', 'gènere_pictòric', 'pictòric', 'exposició', 'pelicula', 'escena', 'pintar', 'pel·lícula', 'imatge', 'transfiguració', 'pantalla_gran', 'pel.lícula', 'motion-picture_show', 'film', 'fotos', 'caracterització', 'fotografia', 'obra_pictòrica', 'imatges_mentals', 'moviment_es_mostra_la_imatge', 'fantasia', 'avatar', 'marca_de_les_forces_del_mal', 'imaginar-se', 'il_·_lustracions', 'quadre', 'llargmetratges', 'pintura_paraula', 'llargmetratge', 'il·lustradora', 'il_·_lustració', 'oclumancia', 'representació', 'pintura_artística', 'pictòrica', 'pel·lícules', 'representar-se', 'pintura', 'pel•lícules', 'descripció', 'imatges', 'instantània', 'figuralisme', 'paraula_imatge', 'pel_·_lícules', 'animago', 'kiss', 'figurar-se', 'gran_pel_·_lícula', 'pel·lícula_de_cinema', 'producció', 'pintors', 'fotografies', 'retratar', 'mostra_la_imatge', 'pársel', 'cinema', 'peŀlícula', 'imatges_en_moviment', 'llibres_il_·_lustrats'}
pig	{'porcí', 'porcs_senglars', 'bacó', 'porca', 'sloven', 'sus', 'conjoiner', 'deixat', 'verra', 'conjoiners', 'zhu_bajie', 'porcs', 'carn_porcina', 'marranxó', 'brut', 'carn_magra', 'porc_fer', 'zhu_wuneng', 'empassar_se', 'porc_domèstic', 'truja', 'parir', 'policia', 'jònec', 'pig', 'sus_domestica', 'endrapar', "mesurador_d'inspecció_de_canonades", 'porcs_salvatges', 'scrofa', 'porcellar', 'grassonet', 'persona_desaliñada', 'poli', 'porc_llit', 'garrí', 'sembrar', 'gandul', 'pasma', 'senglar', 'carn_de_porc', 'porcina', 'sus_scrofa', 'rascat', 'porcell', 'tacany', 'porc', 'porc_salvatge', 'marrà', 'camp', 'fartar-se', 'suid', 'truges', 'sus_domesticus', 'bòfia', 'sus_scrofa_domestica', 'porco', 'engolir', 'porquet', 'devorar', 'porc_senglar', 'senglars', 'acaparador'}
plan	{'plànol', 'planejar', 'traçat', 'idear', 'dissenyar', 'gestió_de_programes', 'planificació_arquitectònica', 'director_del_programa', 'planificar', 'programa', 'disseny', 'plan', 'plans', 'pla', 'pla_arquitectònic', "armada_de_l'exèrcit_popular_d'alliberament", 'dibuixos'}
plant	{'planta_física', 'constituir', 'línia_de_muntatge', 'molí', 'inculcar', 'plantes', 'producció_en_cadena', 'fàbriques', 'flora_mediterrània', 'línies_de_muntatge', 'cadena_de_producció', 'plant', 'la_vida_vegetal', 'planta_industrial', 'plantar', 'regne_vegetal', 'plantae', 'planta_de_fabricació', 'flores', 'planta', 'vegetal', 'flora', 'les_plantes', 'clorobionts', 'producció_en_massa', 'establir', 'treballador_de_la_fàbrica', 'línia_de_producció', 'cadena_de_muntatge', 'viridiplantes', 'viridiplanta', 'fabricació', 'feitoria', 'nau_industrial', 'fundar', 'fàbrica', 'chlorobionta', 'producció_en_sèrie', 'la_línia_de_producció', 'testaferro', 'viridiplantae', 'clorobiont', 'implantar', 'integrar', 'instaurar', 'planta_de_fabricació_de', 'factoria', 'còmplice', 'instituir', 'factorij', 'fabricant', 'línia_producció', 'trigun', 'vegetals', 'espècies_de_plantes', 'obres', 'metafitas'}
play	{'apostes', 'dramatisme', 'dramàtic', 'google_play', 'forma_dramàtica', "joc_d'aposta", '-el_joc:_les_seves_aportacions_pedagògiques.', 'espectacle_de_teatre', 'folga', 'període_de_joc', 'jugar', 'drama', 'tocar', 'jugada', 'amplitud', 'reflex', 'plan', 'executar', 'torn', 'joc_dramàtic', 'festa', 'divertir-se', 'befa', 'entretenir-se', 'google_play_store', "maneig_de_l'espasa", 'retrocés', 'espectacle_teatral', 'obres_teatrals', 'broma', 'obres_dramàtiques', 'espectacle_dramàtic', 'obra_teatral', 'actuar', 'drames', 'play', 'lúdics', 'obra_de_teatre', 'conya', 'soltesa', 'dramàtica', 'play_store', 'enfrontar-se', 'posar_en_joc', 'lúdiques', 'joc_de_nens', 'jugadors', 'deseiximent', 'ride', 'curs', 'posar', 'obra', 'repercussió', 'android_market', 'joc', 'jugant_període', 'aposta', 'lúdic', 'simular', 'representació_teatral', 'representar', 'obra_dramàtica', 'maniobra', 'jocs', 'entremaliadura', 'portar-se', 'participar', 'esbargir-se', 'espectacle_escènic', 'fer_veure', 'peça_dramàtica', 'dramatúrgia', 'apostar', 'lúdica', 'retozar', 'obres_de_teatre', 'portar', 'folgança', 'espectacles_dramàtics', 'brillantor', 'espectacles_teatrals', 'interpretar'}
pleasure	{'gaudi', 'sondre_lerche', 'agradable', 'plaer', 'alegria', 'pleasure_p', 'delit', 'gust', 'semisonic'}
poor	{'miserable', 'llastimós', 'desventurat', 'baix', 'pobresa_voluntària', 'pobresa_global', 'fretura', 'pobre', 'desafortunat', 'vot_de_pobresa', 'misèria', 'taxa_de_pobresa', 'escàs', 'pobresa', 'desgraciat', 'pobres', 'baixos_ingressos', 'pobresa_relativa', 'infeliç', 'indigents', 'insuficient', 'exigu', 'els_pobres', 'pobresa_urbana', 'dissortat', 'trist', 'empobriment'}
prison	{'penal', 'fängelse', 'centre_penitenciari', 'política_penitenciària', 'empresonat', 'garjola', 'mitjana_seguretat', 'empresonar', 'sistema_penitenciari', 'presó_del_comtat', 'pokey', 'presó', 'presidi', 'diminut', 'calabós', 'institució_correccional', 'tom_robinson', 'presons'}
professional	{'esport_professional', 'crac', 'professionals', 'mestre', 'expert', 'persona_professional', 'experts', 'perit', 'pèrit', 'futbol_professional', 'atleta_professional', 'atletes_professionals', 'professionalisme', 'professional', 'mestra'}
protection	{'resguard', 'refugi', 'abric', 'auspicis', 'protecció', 'recer', 'protection', 'protecció_comercial', 'guàrdia', 'coberta_de_protecció', 'ègida', 'auspici', 'seguretat', 'favor', 'asil'}
pull	{'estirada', 'pull', 'torcement', 'cometre', 'estrebada', 'tracció', 'torçada', 'calada', 'atracció', 'arrossegar', 'tirar', 'estirar', 'pipada', 'perpetrar', 'mirada_cama', 'fendre', 'tirada', 'esqueixar', 'batuda', 'preeminència', 'atreure', 'batedors', 'esberlar', 'pelar', 'treure', 'extreure', 'plomar'}
push	{'impulsar', 'propulsar', 'energia', 'precious:_based_on_the_novel_push_by_sapphire', 'impulsió', 'empenta', 'espenta', 'prémer', 'empènyer', 'anunciar', 'premeu_el_botó', 'promocionar', 'get-up-and-go', 'animar', 'confessions_on_a_dance_floor', 'botó', 'fomentar', 'polsador', 'empenyent', 'push', 'black_and_white_america', 'precious', 'apilament', 'pila', 'fix_me', 'pitjada', 'incitar', 'empentar', 'memòria_en_pila'}
quality	{'característica', 'intercanvi', 'caràcter', 'superior', 'to', 'qualitat', 'distingit', 'timbres', 'sacrifici_de_qualitat', 'timbre_musical', 'timbre', 'qualitativament', 'concepte_de_qualitat', 'excel·lent', 'embergadura', 'qualitatiu', 'selecte', 'quality', 'to_de_color', 'tímbrica', 'calibre'}
rain	{'pluges', 'in_blue', 'aigua_de_pluja', 'simone_battle', 'john_colton', 'pluviositat', 'precipitació', 'pluja_de_convecció', 'ploure', 'rain', 'pluja', 'torrencial', 'tempesta', 'heavy_rain', 'tempestes_de_pluja'}
reaction	{'reaccions_químiques', 'reacció_metall-àcid', 'reaction', 'força_de_reacció', 'reacció_química', 'canvi_químic', 'químicament', 'resposta', 'processos_químics', 'reacció', 'acció-reacció', 'acció_i_reacció', 'mètodes_químics'}
read	{'examinar', 'entendre', 'declamar', 'estudiar', 'lectoescriptura_inicial', 'lectura', 'llegir-se', 'aprendre', 'traduir', 'explorar', 'prendre', 'registrar', 'sentir', 'llegir', 'lector', 'read', 'marcar', 'enregistrar', 'interpretar'}
red	{'partit_roig', 'vermell', 'carmesí', 'vermellenc', 'xarxa_river', 'day_&_age', 'bolshy', 'bolxevic', 'bolxevics', 'bolshie', 'tinta_vermella', 'partit_bolxevic', 'rogenc', 'roig', 'vermellor', 'cirera', 'riu_vermell', 'red', 'vermella', 'encarnat', 'rojor', 'anil_kapoor', 'carmí', 'enrojolat', 'bolxevisme', 'grana', 'escarlata', 'angry_birds', 'ruborós', 'groc', 'xarxa', 'vermellós', 'after_school', 'taronja', 'red_river'}
relationship	{'relació_de_llarg_termini', 'tracte', 'parentiu', 'grau_de_parentiu', 'relacions_humanes', 'companyia', 'parentiu_i_la_descendència', 'interacció_humana', 'relacions_interpersonals', 'coneixença', 'relació_familiar', 'interpersonal', 'lligam', 'grup_de_descendència', 'relació', 'vincle', 'cognat', 'convivència', 'relació_a_llarg_termini', 'coneguda', 'les_relacions_humanes', 'conegut', 'relació_personal', 'relació_interpersonal', 'contacte', 'parentesc'}
religious	{'religiós', 'religiosa', 'espiritual', 'eclesiàstic', 'pietós', 'clergue', 'regular', 'piadós'}
residence	{'residència', 'estatge', 'mansió', 'habitants', 'casa', 'habitatges', 'habitacle', 'allotjament', 'domicili', 'llar', "casa_d'habitatge", 'habitant', 'poblador', 'pobladora', 'llatinoamericà', 'resident', 'veí', 'habitatge', 'lloc', 'pis', 'residència_privada', 'veïna', 'vivenda', 'residencia', 'casa_pairal', 'mansions'}
right	{'adequat', 'høyre', 'dret', 'ètica', 'inalienable', 'ideal', 'sistema_ètic', 'política_de_dreta', 'indicat', 'compensar', 'dreta', 'perpendicular', 'apropiat', 'de_dretes', 'bo', 'ètic', 'drets_naturals', 'estàndards_ètics', 'adient', 'bé_i_el_mal', 'escaient', 'a_la_dreta', 'idoni', 'destre', 'raó', 'filosofia_moral', 'dret_inalienable', 'dreta_política', 'dretes', 'costat_dret', 'partit_conservador_de_noruega', 'dretanisme', 'teoria_ètica', 'redreçar', 'apte', 'moral', 'drets_legals', 'young_americans', 'correcte', 'filòsof_moral', 'esquerrà', 'recte', 'drets_inalienables', 'correcta', 'capaç', 'correctament', 'dret_natural', 'dretà', 'encertat', 'corregir', 'ètiques', 'legitimitat', 'ala_dreta', 'dret_legal', 'drets', 'qüestions_ètiques', 'mà_dreta'}
river	{'the_river', 'riu', 'rierols', 'river', 'watermark', "curs_d'aigua", "cursos_d'aigua", 'rius', 'sestao_river', 'sestao_river_club', "corrent_d'aigua_intermitent", 'riera', 'ruisseau', 'corrent_intermitent', 'rierol', 'rieres', 'fluvial', 'corrent'}
road	{'construcció_de_carreteres', 'carretera_joc', 'camí', 'la_carretera', 'calçades', 'ruta', 'carreteres', 'visitant', 'partit_fora_de_casa', 'new', 'carretera', 'the_road'}
root	{'progenitor', 'cabells', 'mare', 'xuclador', 'tema', 'arbre', 'piloriza', 'interval', 'epigeu', 'centre_tonal', '0', 'arrels_adventícies', 'konoha', 'rels', 'antecessor', 'interval_musical', 'radicel·la', 'axonomorfa', 'arrel', 'radícula', 'arrelament', 'arrel_enèsima', 'rel', 'arrel_n-èsima', 'ancestre', 'tija', 'antecedent', 'arrelar-se', "l'arrel_de_la_dent", 'avantpassat', 'naixement', 'arize', 'a_pèl', "zero_d'un_polinomi", 'zero', 'còfia', 'avantpassats', 'cabell_humà', 'al·lorízic', 'font', 'ancestral', 'ètim', 'pèls', 'tònica', 'axonomorf', 'nota_fonamental', 'arriza', 'arrelar', 'intervals_musicals', 'superusuari', 'cabell', "arrel_d'una_funció", 'pericicle', 'radical', 'caliptra', 'establir-se', 'al·lorízia', 'root', 'procedència', 'base', 'germen', 'ascendent', "arrel_d'un_polinomi", 'pèl', 'pelut', 'rizoderma', 'fonamental', 'usuari_root', 'napiforme', 'fel·loderma', 'enllaços_cabells', 'origen', "zero_d'una_funció", 'mot_primitiu', 'posició_fonamental', 'accés_root', 'l’arrel', 'arrel_de_la_paraula', 'bosc', 'arrels', 'cilindre_central', 'hipogeu', 'arrel_aritmètica', 'acord_de_tònica', 'còrtex', 'ariza'}
rope	{'atròfia', 'rope', 'r-2', 'soga', 'la_soga', 'corda_gruixuda', 'the_rope', 'maroma', 'corder', 'cordill', 'cap', 'cordes', 'rophy', 'valium_mexicà', 'corda', 'sàgola', 'roofy', "m'oblidi_de_drogues"}
rotten	set()
round	{'rutina_diària', 'cartutx_metàl_·_lic', 'engreixar', 'stypsis', 'round', 'completar', 'agredir', 'fruites', 'afinar', 'dígit_significatiu', 'arrodonir', 'sec', 'polir', 'dígit_menys_significatiu', 'visita', 'xifres_significatives', 'xifra_significativa', 'boxador', 'rodó', 'cargolar', 'encerclar', 'cerclar', 'ronda', 'prizefighting', 'dígits_significatius', 'pugilista', 'boxejador', 'aritmètica_de_precisió', 'omplir', 'boxa', 'cops_de_puny', 'cartutx', 'equilibri', 'cercle', 'unitat_de_munició', 'rotund', 'un_tret', 'circular', 'carcassa', 'farcir', 'cos', 'boxeig', 'rodona', 'embotir', 'enroscar', 'dígit_més_significatiu', 'astrigència', 'combat_de_boxa', 'bareknuckle', 'precisió', 'volta', 'pugilat', 'cicle', 'mineralitat', 'ronda_de_golf', 'pugilisme', 'ronda_de_begudes', 'atacar'}
