ability	{'yetenek', 'yeteneği'}
science	{'bilimsel_metod', 'i̇lm', 'bilimci', 'i̇lmi', 'ilim', 'bilim', 'bilimler', 'ana_bilim', 'science', 'i̇lim', 'discovery_science', 'bilim_dalı', 'genel_bilim', 'beceri', 'bilimsel', 'bilimsel_bir_disiplin', 'blimselik', 'i̇lmî'}
scratch	{'gelt', 'ekmek_parası', 'start_çizgisi', 'deri_lezyonu', 'püstüller', 'dermatoz', 'moolah', 'çizmek', 'peter_gabriel', 'yazmak', 'scratch', 'aşınma', 'karalayıvermek', 'istiridye', 'vurgun', 'çökme', 'deniz_tarağı', 'göçük', 'bahisli_bir_yarış', 'maküller', 'simoleons', 'kötü_el_yazısı', 'handicap', 'deri_lezyonları', 'kazımak', 'oyuk', 'kaşımak', 'servet', 'start', 'handikap', 'golf_handikap', 'likenifikasyon', 'vezikül', 'sıfırdan_hattı', 'dinero', 'deri_hastalıkları', 'cilt_ülseri', 'eksorasyon', 'ders_değerlendirme', 'endurasyon', 'kazıma'}
sea	{'deniz', 'air', 'okyanus', 'okyanuslar', 'sea', 'derya'}
seafood	{'deniz_ürünü_deniz_ürünleri', 'su_ürünü', 'sevimli_balik_pupi', 'deniz_ürünleri', 'deniz_ürünü', 'su_ürünleri'}
see	{'ziyaret', 'kutsal_deniz', 'başpiskoposla_görmek', 'görmek', 'bakmak', 'karşılaşmak', 'hyoscine', 'episkopos_makamı', 'piskoposlara_ait_deniz', 'görü', 'izlemek', 'düşünün', 'duymak', 'tycho', 'see_şehir', 'skopolamin', 'rastlamak', 'rastlaşmak', 'piskopos_denizi', 'görüş', 'anlamak', 'sağlamak', 'görme', 'ziyaret_etmek', 'fark', 'görme_olayı', 'keşfetmek', 'görsel_algı', 'görüntülemek', 'karşılamak', 'see', 'kabul'}
seed	{'seed', 'yarı_finalist', 'yarı_final', 'rastgele_tohum', 'kaynağı', 'tek_maçlı_eleminasyon_sistemi', 'su', 'meni', 'tek_maçlı_eliminasyon_sistemi', 'atmık', 'sublime', 'gelmek', 'mezi', 'er_suyu', 'tane', 'tek_elemeli_turnuva', 'tek_eleme', 'tek_elemeli', 'final_fantasy_viii', 'oyuncu_seribaşı', 'sperm', 'ersuyu', 'çeyrek_finale', 'çekirdek_değer', 'çeyrek_final', 'boşalmak', 'tohum', 'santi', 'döl'}
sell	{'ticari', 'tic', 'ticâret', 'ticarî', 'satkanlık', 'sell', 'tüccar', 'ihanet_etmek', 'satmanlık', 'alım_satım', 'takas', 'ticaret', 'satmak', 'tecim'}
sew	{'stitchery', 'dikmek', 'konfeksiyon', 'dikiş'}
sexy	{'elephunk', 'afrodizyak'}
shape	{'insan_anatomisi', 'vaziyet', '4-3-3', 'şekil', 'desen', 'müttefik_harekat_komutanlığı', 'avrupa_müttefik_kuvvetleri_yüksek_karargahı', 'vücut', 'bod', 'dizilim', 'ilkel', 'diziliş', 'form', 'avrupa_müttefik_kuvvetleri_yüksek_komutanı', 'rakam', 'görünüş', 'fiziksel_beden', 'i̇nsan_vücudu', 'insan_vücudu', 'eti', 'materyal_beden', 'shape', 'insan_fizyolojisi', 'durum', 'supreme_headquarters_allied_powers_europe', 'müttefik_yüksek_komutanı_avrupa', 'şekillendirmeye', 'oluşturmak', 'beden', 'avrupa_müttefik_kuvvetleri_yüksek_karargâhı', "yüksek_avrupa_müttefik_kuvvetler_karargahı'nın"}
sharp	{'sharp', 'adaven', 'skinheads_against_racial_prejudice', 'keskin', 'sharp_corporation'}
ship	{'gemi', 'gemicilik', 'göndermek'}
short	{'short', 'kısa_durak', 'ansızın', 'kısa_metraj', 'kısa_konulu', 'pasörünüz', 'kısa_filmler', 'iki_makarası', 'kısa_devre', 'kısa_konu', 'kısa_pozisyon', 'animasyonlu_şort', 'shortstop', 'açığa_satış', 'kısa', 'aniden', 'shortstops', 'birden', 'kısa_satış', 'kısa-satış', 'kısa_film', 'birdenbire', 'kısa_metrajlı_film'}
show	{'kanıtlamak', 'saptamak', 'göstermek', 'ispat_etmek', 'ilçe_fuarlar', 'show', 'ifade', 'bahis', 'sunmak', 'kurmak', 'gösteri', 'kumar', 'tarım_fuarı', 'tespit_etmek', 'gösterisi', 'kumarın_zararları'}
sign	{'gösterge', 'sinyalizasyon', 'klinik_belirtisi', 'i̇şaret', 'himayesi', 'preindication', 'grafem', 'gösterge_bilimi', 'brown_eyed_girls', 'elektropozitif', 'semiotik', 'bulgu', 'burcun', 'burç', 'imzalı', 'karakter', 'yıldız_işareti', 'planet_evi', 'astrolojide_evler', 'sesletim', 'belirti', 'sinyal', 'tabela', 'allen_elektronegatifliği', 'alâmet', 'negatif_olmayan', 'göstergebilimsel', 'polarite', 'simgeloji', 'semiyotik', 'grafemler', 'i̇konografi', 'ticari_tabela', 'elektronegatiflik', 'göstergebilim', 'işaretidir', 'elektronegatif', 'imzalamak', 'grafik_sembolü', 'omen', 'işaret', 'semiyoloji', 'işareti'}
silly	{'akılsız', 'saçmalığı', 'aptal_salak_bön_ahmak_ahmaklar', 'saçmalık', 'aptal', 'silly', 'sersem', 'saçma', 'aptalca', 'angut', 'ahmak', 'enayice'}
sin	{'nanna', 'günâh', 'س', 'seylanca', 'günahkar', 'şin', 'günahkarlar', 'günah_işlemek', 'sin', 'singalaca', 'sinüs', 'sinüs_fonksiyonu', 'sinhala', 'singapur_changi_havalimanı', 'shin', 'günahkâr', 'günah', 'günahkârlık', 'ﺱ', 'vebal'}
sing	{'şarkıcılar', 'şantör', 'vokal', 'pop_şarkıcısı', 'sing', 'şarkı_söylemek', 'şarkı', 'bayan_vokal', 'temiz_vokaller', 'leisure', 'armoni_vokal', 'vokalist'}
sit	{'sürmek', 'oturmak', 'otur', 'binmek'}
skin	{'deri_hücresi', 'robert_sylvester_kelly', 'deri', 'baskı_devre', 'blender', 'derma', 'ten', 'cilt', 'supernatural', 'psikiyatrik_hastane', 'devre_kartı', 'bdk-_baskılı_devre_kartı', 'r._kelly', 'fişli', 'day_for_night', 'skinnable', 'eklentileri', 'zar', 'akıl_hastanesi', 'almost_human', 'r_kelly', 'avustralya_aborijin_akrabalık', 'r.kelly', 'kutanöz', 'dış_görünüm', 'baskılı_devre_kartı', 'ray_of_light', 'eklenti', 'kabuğu', 'deri_solunumu', 'plug-in', 'skin'}
sky	{'gökyüzü', 'azur_mavisi', 'dünya_atmosferi', 'cerulean', 'sky', 'wınx', 'gök', 'gökçe', 'gökkubbe', 'heterosfer', 'thatgamecompany', 'masmavi', 'sky_digital', 'lazuline', 'premiere', "dünya'nın_atmosferi", 'semâ', 'gök_rengi', 'gökşin', 'british_sky_broadcasting', 'hava', 'koyu_gök_mavisi', 'azurro', 'team_sky', 'gök_mavisi', 'credo', 'winx_club', 'stacey_king', 'sky_airlines', 'sky_deutschland'}
sleep	{'öldürücü_darbe', 'hazırda_bekleme', 'karma_uyku', 'uyumak', 'sleep', 'uyku', 'le_sommeil', 'sopor', 'bekleme_modunda', 'ebedi_uyku', 'the_black_parade', 'uyku_modu', 'stand_by_konumu', 'hazırda', 'ebedî_istirahatgâhına'}
small	{'lomber', 'john_kunkel_small', 'small', 'küçük', 'lumbar'}
smart	{'smart', 'smarting', 'zekâ', 'zeka', 'smart_metodu', 'kendi_kendini_izleme,_çözümleme_ve_raporlama_teknolojisi', 'istihbarat', 'akıllı', 'arsiz', 's.m.a.r.t.', 'anlak', 'istihbarat_teşkilatı'}
smell	{'olfaksiyon', 'koku_alma_sistemi', 'kokusu', 'koku_özelliği', 'koku', 'olfaktör_modalite', 'koklama', 'koklamak', 'ruhu', 'duygu', 'koku_alma', 'kokan', 'koku_algısı', 'sesi', 'koklama_duyusu', 'koku_hissi'}
smiling	{'gülümsemek', 'gülümseyen', 'sırıtmak', 'gülme', 'gülümseyiş', 'tebessüm', 'gülücük', 'mütebessim', 'sırıtma', 'güleç', 'gülüş', 'gülümseme'}
smoke	{'sens', 'sess', 'duman', 'tütün', 'tütmek', 'sigara_içmek', 'nicotiana_tabacum', 'nicotiana', 'mary_jane', 'izmarit', 'sis', 'yeşil_tanrıça', 'melvin_harris', 'fastball', 'manyeto-optik_kerr_etkisi', 'tütün_bitkisi', 'içmek', 'big_smoke', 'yin_yang_yo!', 'tütün_rulo', 'füme', 'tabut_çivisi', 'cıgara', 'smoke', 'tütüncülük', 'ot', 'sigara'}
smooth	{'stypsis', 'meyve', 'vücut', 'düzeltmek', 'gerald_albright', 'minerality', 'denge', 'kuru', 'smooth', 'pürüzsüz'}
snake	{'görünmez_tehlike', 'yılanlar', 'cobra_helicopter', 'bell_ah-1_cobra', 'hydra_takımyıldızı', 'suyılanı', 'solid_snake', 'yilan', 'ah-1w_super_cobra', 'ah-1p_cobra', 'ah-1w_supercobra', 'ah-1_cobra', 'yılan', 'serpentes', 'engenek_yılanı', 'ah-1', 'snake_river', 'bell_ah-1', 'hydra', 'gray_kodu', 'ophidia', 'kobra_helikopter', 'snake', 'ah-1_kobra', 'suyılanı_takımyıldızı', 'yılan_gibi', 'snake_jailbird'}
snow	{'kar_örtüsünün', 'fildişi', 'kar_yağışı', 'charles_percy_snow', 'ffmpeg', 'kar_yağmak', 'snow', 'kar_örtüsü', "darrin_o'brien", 'c._p._snow', 'kirli_beyaz', 'kar', 'burun_şekeri', 'leicester_baron_kar', 'karlamak'}
solution	{'denklemi_çözme', 'problem_çözme', 'denklem_çözme', 'çözeltiler', 'sorun_çözme', 'hal', 'çözünen', 'solution', 'solüsyon', 'sonuç', 'çözelti', 'çözüm', 'cevap'}
some	{'yaklaşık', 'bazı', 'kadar', 'civarında', 'kabaca', 'nerdeyse', 'ya_da_öylesine'}
soul	{'birisi', 'fani', 'kişi', 'hint_mistisizmi', 'soul_müzik', 'rûhânî', 'kimse', 'ruh', 'can', 'aiúa', 'bireysel', 'ölümlü', 'biri', 'soulfulness', 'birey', 'soul'}
sound	{'konuşma_ses', 'boğaz', 'sağlıklı', 'ses_şiddeti', 'tecnocumbia', 'akustik_dalga', 'sesler', 'ses_dalgaları', 'ses_nasıl_oluşur', 'telefon', 'işitsel_duyu', 'ses', 'sesin_oluşumu', 'ses_en_çok_hangi_ortamda_yayılır', 'ses_dalgası'}
spit	{'tükürük', 'kum_tükürmek', 'spit', 'salya', 'tükürme', 'tükürmek'}
split	{'heterozigot', 'heterozigotluğunu', 'heterozigotluk', 'spolat', 'stok_bölünmüş', 'homozigot', 'patlamak', 'homozigosite', 'bölünmüş_albüm', 'zigosite', 'yarmak', 'bağlantıyı_kaldırmak', 'split', 'bölmek', 'hemizygous', 'split_albüm', 'spalato', 'bölünmüş', 'spolato', 'birds_of_prey', 'ayrılmak', 'bölme_lemması', 'patladı'}
spoke	{'konuşma', 'konuşma_iletişimi', 'konuştuğum_iletişim', 'rundle', 'ispit', 'spoke', 'tekerlek_konuştu', 'konuşulan_dil', 'konuştu', 'sözlü_iletişim', 'konuşma_dili_-_yazı_dili', 'dil', 'konuşmacı', 'konuşma_iletişim', 'sesli_iletişim', 'konuşma_dili'}
squeeze	{'zugzwang', 'likidite_krizi', 'sıkıştırmak', 'sarılma', 'sıkma', 'acıtmak', 'zorlamak', 'çimdiklemek', 'sıkmak', 'sarılmak', 'squeeze', 'kredi_krizi'}
stab	{'bıçak_itme', 'şişlemek', 'saplamak', 'bıçaklamak', 'scream_2', 'çığlık_2', 'boynuz_bıçak'}
stand	{'kaldırmak', 'ortaklığı', 'kabul_etmek', 'stant', 'bağ', 'şeker_tarlaları', 'susan_ashton', 'meyve_bahçesi', 'koru', 'firma', 'şeker_plantasyonu', 'şirket', 'bakış_açısından', 'bostan', 'temelesas', 'ayakta_durmak', 'woodlet', 'plantasyon', 'dayanmak', 'durmak', 'tarlaları', 'botanik,', 'orkestranın_yeri', 'açısından', 'ortaklık', 'katlanmak', 'açık_sahne', 'stand', 'kahve_saç_ekimi', 'bakış_açısı', 'satış_standında', 'tahammül_etmek', 'orchardist'}
star	{'maven', 'yıldız_çokgen', 'kefal', 'başrol_oyuncusu', 'ünlü', 'ünlü_kişi', 'star_gazete', 'yıldız_topolojisi', 'asterisk', 'steroidojenik_akut_düzenleyici_protein', 'yildiz', 'yıldız_ağ', '2_yıldızlı_otel', 'i̇ki_yıldızlı_otel', '✱', 'xerox_star', 'beş_yıldızlı_otel', 'star_topolojisi', 'yıldızlı', 'yıldız_imi', '*', 'yıldız_(star)_topolojisi', 'bir_yıldızlı_otel', 'popstar', 'tar', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'hotshot', 'yıldız_sınıflandırması', 'yıldız_işareti', 'mavin', 'air', 'assolist', '1_yıldızlı_otel', 'yıldızlar', '3_yıldızlı_otel', 'mütehassıs', 'vızıltı', 'televizyon_kişiliği', '＊', 'estelle_swaray', 'tar_dosya_formatı', 'film_yıldızı', '❃', 'gelişmiş_yıldız_topolojisi', 'star', 'tar.gz', 'dört_yıldızlı_otel', 'üç_yıldızlı_otel', '∗', 'yıldız', '5_yıldızlı_otel', 'yıldız_topoloji', 'ünlüler', 'star_gazetesi', 'estelle', 'ilean_almaguer', 'süperstar', 'yıldız_derecelendirmesi', 'yıldız_yarıçapı', 'uzman', 'usta', 'yıldız_sınıflandırma', 'oynadığı', 'deha', '4_yıldızlı_otel', 'film_yıldızları'}
stick	{'düz_şanzıman', 'camadancı', 'asa', 'kontrol_kolu', 'manuel_vites', 'değnek', 'kontrol_sopa', 'billy_kulübü', 'çomak', 'cop', 'kısa_değiştiren', 'çubuk', 'baton', 'yönetim_kolu', 'billystick', 'joystick', 'kalmak', 'standart_iletim', 'i̇dare_çubuğu', 'joystik', 'spliff', 'senkromeç', 'ascii', 'oyun_çubuğu', 'senkromeçli', 'ortak', 'baston', 'düz_vites', 'esrar_sigara', 'manuel_şanzıman', 'sopa', 'dayak', 'manual_transmission', 'bilgi_değişimi_i̇çin_amerikan_standardı', 'clapstick', 'polis_cop', 'bilgi_değişimi_i̇çin_amerikan_standart_kodlama_sistemi', 'sopa_vardiya', 'bastonlar', 'ciltlemek', 'bilgi_alışverişi_için_amerikan_standart_kodu', 'ascii_kodu', 'manuel_transmisyon'}
stone	{'mücevher', 'yarı_değerli', 'harlan_taş', 'edward_durell_stone', 'değerli_taş', 'stone', 'harlan_fisk_taş', 'harlan_f._taş', 'endocarp', 'lucy_stone', 'harlan_fiske_stone', 'yarı_değerli_taş', 'taşlar', 'kayaçlar', 'picul', 'kaya', 'kayaç', 'taş', 'i._f._taş', 'kıymetli_taş', 'değerli_taşlar', 'yarı_kıymetli', 'isidor_feinstein_taş', 'yarı_kıymetli_taş', 'oliver_stone', 'yarı_değerli_taşlar'}
straight	{'straight', 'heteroseksüel_kişi', 'yarış_çizgisi', 'düz_kişi', 'heteroseksüellik', 'oblivion', 'heteroseksüelizm', 'düzcinsel', 'düzcinsellik', 'karşıcinsel', 'düz', 'doğrudan', 'heterosexualism', 'hetero', 'heteroseksüel', 'heteroseksüeller', 'çapraz'}
student	{'öğrenciler', 'educatee', 'kitapçılık', 'bilimsel_kişi', 'bilgin', 'kitapçı', 'âlim', 'öğrenci', 'üniversite_öğrencisi', 'william_sealy_gosset', 'kitapçılarda', 'üniversiteli'}
stupid	{'fakir_balık', 'aptal_salak_bön_ahmak_ahmaklar', 'aptal', 'pudden_kafa', 'saçma', 'aptal_kişi', 'raven-symone', 'ahmak', 'puding_kafa', 'aptallık', 'sıcak_kompres'}
successful	{'başarılı', 'successful'}
suck	{'emmek', 'emme'}
sugar	{'batman_forever', 'kristal_şeker', 'karbohidrat', 'gelt', 'karbonhidrat', 'karbonhidratlar', 'toz_şeker', 'ekmek_parası', 'korbonhitratlar', 'küp_şeker', 'moolah', 'istiridye', 'polisakarit', 'deniz_tarağı', 'simoleons', 'vurgun', 'sugar', 'batman_daima', 'sugarscape.com', 'disakkarit', 'şeker', 'sakarit', 'şarap_şekerlerin', 'şeker_ticareti', 'glassheart', 'beyaz_şeker', 'servet', 'dinero', 'karbonhidratların_vücuttaki_görev', 'şekerler', 'rafine_şeker', 'karbonhitratlar', 'kesme_şeker'}
sun	{'güneş_ışını', 'güneş', 'ay', 'gün_ışığı', 'sun-hwa_kwon', 'güneş_işareti', 'jüpiter', 'merkür', 'the_sun', '☉', 'güneş_ışınları', 'pazar', 'pazar_günü', '🌞', 'fotosfer', 'güneş_ışığı', 'sun_kwon', 'korona', 'güneş_işını', 'sun', 'güneşlenmek', 'cun', 'sabit_yıldız', 'mars', 'sun_television', 'gunes', 'benzer', 'utu', 'seon', 'gün', 'utug', "rab'bin_günü", 'venüs', 'dominicus', 'sun_microsystems'}
suspect	{'müdafi', 'şüpheli', 'faili', 'sanık', 'şüphe', 'güvensizlik', 'davalı', 'robert_crais', 'suçlu'}
swell	{'züppe', 'kabarma', 'crestless_dalga', 'swell', 'yiğidi', 'dostum', 'çamaşır_askısı', 'fop'}
swim	{'yüzme', 'yüzme_sporu', 'bedensel_engelli_yüzme', 'rekabetçi_yüzme', 'ray_of_light', 'yüzmek', 'yüzücü'}
table	{'tablo', 'html_öğesi', 'mesa', 'arama', 'soundboard', 'başvuru_çizelgesi', 'arama_tablosu', 'veritabanı_tablo', 'masa', 'ses_kartı', 'cetvel', 'sekmeli_dizi', 'veri_sayfası', 'sekmeli', 'ertelemek', 'yayla', 'erteleme', 'geciktirmek', 'html_etiketi', 'iframe', 'yemek_masası', 'etiket', 'href'}
tail	{'arka_uç', 'yanar', 'kovalamak', 'geride', 'tooshie', 'ventrolateral', 'kuyruk_bölümü', 'çörekler', 'popo', 'bazal', 'kaba_et', 'sonuncu', 'kıç', 'posterior', 'kuyruk_montajı', 'peşinden_koşmak', 'göt', 'posteriora', 'distal', 'kalça', 'derriere', 'ipsilateral', 'dorsolateral', 'kuyruk', 'makat', 'plantar', 'shadower', 'vuruş_sırası', 'keister', 'pupa', 'apikal', 'kuyruk_sonuna', 'sus', 'kaudal', 'yazı', 'kontralateral', 'dorsoventral', 'açılış_batsman', 'empennage', 'tail', 'miles_"tails"_prower', 'proksimal', 'aboral', 'bölümünden_sonra', 'kuyruk_ender', 'ventral'}
taste	{'ekşi', 'şarap_tatma', 'temel_tat', 'doğal_aromalar', 'tercihleri', 'lezzet', 'tercihi', 'tadı', 'nowhere', 'tat_duyusunda', 'lezzet_arttırıcı', 'tat_algısı', 'tadına_bakma', 'kör_tadım', 'tatlandırıcı', 'tutku', 'tat', 'tat_alma', 'tat_alma_sistemi', 'çeşni', 'taste', 'tadını_çıkarmak', 'tatma', 'gustatuar_modalite', 'yapay_tatlandırıcı', 'tat_hissi', 'şarap_tadımı'}
team	{'takım_oyunu', 'müzik_topluluğu', 'pop_rock_grubudur', 'bar_grubu', 'bando', 'solo_projesi', 'team', 'iş_hücresi', 'solo_sanatçı', 'takım_sporları', 'takım_sporu', 'grubu', 'takım', 'müzik_grubu', 'bando_takımı', 'pop_grubu', 'rock_grupları', 'rock_grubu', 'ekip', 'enstrümental_orkestra', 'pop_rock_grubu'}
texture	{'doku', 'macrotexture', 'kaplama', 'doku_haritalama', 'doku_haritası', 'doku_dahil', 'müzikal_doku'}
that	{'o', 'thaat'}
there	{'oraya', 'orada', 'şuraya'}
they	{'o', 'they', 'onlar', 'xe', 'xenon', 'atom_numarası_54', 'ksenon'}
thick	{'ortasında', 'kalın', 'yoğun'}
thin	{'ince'}
think	{'plânlamak', 'düşünme', 'hayal', 'anımsamak', 'niyetinde', 'sanmak', 'fikir', 'hatırlamak', 'düşünce', 'düşünmek', 'think', 'amaçlamak', 'sanırım', 'intellection', 'düşünüyorum', 'mantasyon', 'düşünce_süreci'}
this	{'bu', 'this', 'thinis,_mısır', 'thinis'}
three	{'➂', '3', 'bob_sinclair', 'üçlü', '➌', 'three', 'bob_sinclar', '৩', '❸', 'başarılı_kimse', '③', '三', 'succeeder', 'santana_iii', 'seventeen_seconds', '３', 'ternion', 'üç_mısralı_kıta', 'hüç', '३', 'prong', 'iii', 'christophe_le_friant', 'deuce-ace', 'üç'}
throw	{'var', 'döküm', 'kam_inme', 'pirinç_alet', 'yolunu_bulmak', 'vermek', 'atmak', 'fırlatmak', 'pirinç', 'bakır_üflemeli_çalgılar', 'üflemeli_çalgı', 'bakır_nefesli_çalgılar'}
tie	{'beraberlik', 'ilişkilendirmek', 'bağlantı_sağlamak', 'bağ', 'kravat', 'birlikte_satın_alma_şartı', 'bağlamak', 'kiriş', 'eşleştirmek', 'crosstie', 'demiryolu_traversi', 'kravat_kiriş', 'katılmak', 'demiryolu_travers', 'döşeme_parça', 'kravat,_boyunbagi', 'boyunbağı', 'boyun_kravat'}
time	{'hypnotica', 'bileşik_metre', 'polymeter', 'saat_sinyali', 'süre', 'space_and_time', 'müzikal_zaman_imza', 'pacific_ocean_blue', 'xkcd_1190', 'zaman_imza', 'kere', 'time', 'time_magazine', 'sefer', 'metre', 'basit_zaman', "scatman's_world", 'saat', 'zaman_imzalar', 'defa', 'vals_zamanında', 'ikili', 'saat_döngüsü', 'hapis', 'vakit', 'lahza', 'space_/_time', 'büyük_patlama_kronolojisi', 'zamanların', 'in_my_own_words', 'zaman', 'saat_işareti', 'dördüncü_boyut', 'zaman_aralığı', 'sistem_saati', 'saat_zaman', 'sistem_saatini', 'an', '4/4', '12/8', 'ölçü_işareti', 'gramer_gergin', 'zaman,süre', 'saat_tutmak', 'şimdi', 'anastacia', 'zamanları', 'kez', 'y_not', 'gergin', 'time_dergisi', 'bileşik_zaman'}
tongue	{'tabii_lisan', 'doğal_dil', 'tul', 'glossa', 'glossolalia', 'sığır_dili', 'dil', 'dana_dil', 'tongue', 'lingua', 'mnek'}
tool	{'yazılım_geliştirme_araçları', 'pipi', 'aletler', 'yarak', 'tool', 'geliştirme_aracı', 'yazılım_araçları', 'cihaz', 'kuş', 'çük', 'programlama_aracı', 'alet', 'yazılım_aracıdır', 'yazılım_geliştirme_aracı', 'sik', 'âlet', 'araç', 'kobra', 'aygıt'}
tooth	{'diş', 'dişler', 'insan_dişi', 'i̇nsan_dişi', 'dental', 'kesici_dişler'}
toy	{'chatoyancy', 'oyuncaklı_ilişki', 'refakatçi_köpekler', 'oyuncak_köpekler', 'seks_oyuncakları', 'seks_oyuncak', 'toyline', 'süs_köpekleri', 'seks_oyuncağı', 'mastürbasyon_aletleri', 'süs_köpeği', 'oyuncak', 'toy', 'oyuncak_köpek', 'yello', 'chatoyant'}
tree	{'alt_ağaç', 'aðaç', 'iç_düğümü', 'herbert_beerbohm_tree', 'ağaç_diyagramı', 'kök_düğüm', 'kutsal_ağaç', 'orman', 'subtree', 'charlotte_bronte', 'kruskal_ağacı_teoremi', 'ağaç_veri_yapısı', 'yaprak_düğüm', 'ağaç_inancı', 'charlotte_brontë', 'ahşap', 'ağaç', 'ağaçlar', 'türk_mitolojisinde_ağaç', 'iç_düğüm', 'sir_herbert_beerbohm_ağacı', 'ağaç_kültü', 'agac', 'ağaç_gövdesi', 'fidan', 'üst_düğüm'}
trial	{'➂', 'sıkıntı', '3', 'nedensel', 'üçlü', 'test', 'duruşma_öncesi', '➌', '৩', 'numarası_anlaşması', '❸', '③', 'sivil_dava', 'tarafalr', '三', 'üç', 'dava', 'causa', 'bu', '３', 'durum', 'üç_mısralı_kıta', 'deneme_çalışması', 'deney', 'hüç', 'duruşma', 'deneme', 'tekil', '३', 'sayı', 'paucal', 'iii', 'sivil_mahkeme', 'ceza_davası', 'neden_sistem', 'davalar', 'deuce-ace', 'dava_açtı', 'nedensellik', 'ternion'}
tried	{'duruşma', 'ceza_davası'}
turn	{'dönmek', 'döndürmek', 'olayların_açmak', 'oyun_modu', 'bezeme', 'piruet', 'tam_açı', 'iyilik', 'sıra', 'perigon', 'sapmak', 'oyun_mekanik', 'oyun_mekaniği', 'çevirmek', 'süs', 'i̇lmik', 'acciaccatura', 'süsleme', 'notanın_yanına_eklenen_ufak_nota', 'akılcı_trigonometri', 'parmak_uçlarında_dönme', 'geri_almak', 'zafer_noktası', 'dönüş', 'tasarım_elemanları', 'volta', 'açmak'}
two	{'i̇ki', 'iki', '➋', 'kuşak', '②', '2_rakamı', 'two', 'ii', 'başarılı_kimse', '❷', '➁', '2', 'succeeder'}
typical	{'tipik'}
unaware	{'habersiz'}
usable	{'kullanılır', 'kullanılabilirlik', 'yaraklı', 'elverişli', 'kullanıcı_dostu'}
useless	{'useless'}
vacation	{'tatil'}
vomit	{'emesis', 'kusuyor', 'kusturucu', 'barf', 'nauseant', 'kusmak', 'kusturan', 'kusma', 'haksız_kazanç_ödemesi', 'kusmuk', 'kusuntu'}
walk	{'atın_yürümesini', 'topları_üsleri', 'walk', 'yürüyüş', 'grafik_düğümü', 'düzeni', 'basit_grafik', 'yürüme', 'sipariş', 'topları_baz', 'meslek', 'yürüyen_bir_şekilde', 'geçit', 'paseo', 'yürümek', 'ambulasyon', 'gitmek', 'grafik', 'kenar'}
war	{'savaş_ile_ilgili_atasözleri_ve_deyimler', 'muharebe', 'cenk', 'silahlı_çatışma', 'all_or_nothing', 'varayca', 'suikastçi', 'savaş', 'suikastçı', 'savaş_durumu', 'askeri_çatışma', 'the_war', 'ares', 'war', 'waray-waray_dil', 'harp', 'savaş_alanı'}
warm	{'sıcak'}
wash	{'arroyo', 'prison_break', 'kuru_vadi', 'tarama', 'sel_yatağı', 'unearthed', 'lost_dogs', 'yıkanabilirlikle', 'çamaşırcı', 'çinli_çamaşır', 'çamaşır_yıkama', 'netserv.inf', 'çamaşırhane', 'yumak', 'suluboya', 'yıkamak_için_kuru', 'yıkamak', 'pervane_rüzgârı', 'the_wash', 'yıkanır', 'yıkama', 'büyük_kaçış'}
water	{'sulanmak', 'çiş_yapmak', 'sıvı_su', 'endüstriyel_su', 'su_kaynakları', 'su', 'sulandırmak', 'idrar', 'karasuyu', 'h2o', 'durgun_su', 'blood_red_shoes', 'weewee', 'h₂o', 'fensiklidin_hidroklorür', 'ab_qualifier', 'buz_hasat', 'su_kaynağı', 'water', 'su_gövdesinin', 'su_vermek', 'köşe', 'ma_qualifier', 'su_şebeke', 'buz', 'sidik', 'fensiklidin', 'i̇drar', 'voda', 'phencyclidine', 'su_sistemi', 'damla_çit', 'çiş', 'su_temini', 'su_molekülü', 'azotlu_atık', 'melek_tozu', 'pcp', 'suyun_vücuttaki_görev', 'quoins', 'kamu_su', 'su_buharı'}
we	{'biz', 'shinhwa', 'ԝe', 'biz_tv', 'wé', 'dicephaly', 'disefali', 'polycephaly', 'ԝ', 'rae_sremmurd'}
weak	{'the_sea', 'zayıf', 'asteni', 'kas_zayıflığı', 'kas_güçsüzlüğü', 'güçsüz', 'zafiyet'}
wear	{'üst', 'giyim', 'giyim_makalede', 'aşınma', 'giysi', 'kılık_ve_kıyafet', 'wear', 'giymek', 'giyecek', 'kıyafetleri', 'kılık_kıyafet', 'giyim_kuşam', 'giyim-kuşam', 'aşınma_direnci', 'kıyafet', 'womenswear', 'giyilebilir', 'habiliment'}
weather	{'hava_koşulları', 'hava', 'atmosferik_durum', 'hava_tahmini', 'hava_durumu', 'hava_tahminleri', 'hava_tahmin'}
wet	{'ıslak', 'rutubetli', 'fensiklidin_hidroklorür', 'fensiklidin', 'melek_tozu', 'pcp', 'phencyclidine', 'nemli', 'nem', 'batı_avrupa_zaman_dilimi', 'wet', 'western_european_time'}
what	set()
when	{'ne_zaman', 'iken', 'diamonds_for_breakfast', 'when'}
where	{'hani', 'nereye', 'nerede'}
