ability	{'aptitude', 'schopnost', 'talent'}
picture	{'kiss', 'motion-picture', 'filmy', 'zobrazení', 'zvěromág', 'fotografie', 'obrázek', 'ilustrovaná_literatura', 'lektvary_z_knih_harry_potter', 'obrázky', 'divadelní_film', 'filmů', 'obraz', 'představovat', 'malba', 'motion-picture_zobrazit', 'malířství', 'malířů', 'mentálních_obrazů', 'vidět', 'proměnění', 'ilustrovaných_knih', 'nitrobranu', 'ilustrace', 'mentální_obraz', 'velkou_obrazovku', 'malířka', 'obrázek_účtu', 'word-painting', 'ilustrátor', 'fotka', 'kreslíř', 'cobol', 'ilustrátorka', 'hadím_jazykem', 'kreslení', 'snímek', 'obrazy', 'kreslířka', 'celovečerní_film', 'slovo-obraz', 'film', 'znamení_zla', 'magie_v_harry_potterovi', 'hlavní_film', 'obrázek_zobrazit', 'umělecká_malba', 'image', 'avatar', 'pohyblivý_obrázek', 'scény', 'motion_picture', 'fotografii', 'vyobrazením', 'představa', 'pohyblivého_obrazu_zobrazit', 'klasické_malby', 'slovo_obrázek', 'filmu', 'mnoholičný_lektvar', 'kresba', 'filmování', 'pohyblivý_obraz', 'ilustrovaný', 'vyobrazení'}
pig	{'vrh_podsvinčat', 'sus_scrofa_f._domestica', 'divoke_prase', 'nedbalý_člověk', 'vepř', 'nunva', 'conjoiners', 'divoká_svině', 'conjoiner', 'čuně', 'čuník', 'domácí_prase', 'scrofa', 'prase_postel', 'prasnice', 'špindíra', 'porc', 'kanec', 'volně_žijících_prasat', 'kňour', 'pigging', 'tlusťoch', 'pudge', 'prasata', 'prase_divoké', 'pašík', 'černá_zvěř', 'zasít', 'svině', 'flákač', 'prase_domácí', 'hltat_zhltnout', 'prase', 'divočák', 'sele', 'shoat', 'bachyně', 'prasátko', 'vepřové', 'sus_scrofa_domestica', 'divoká_prasata', 'policajt', 'vepřové_maso', 'shote', 'divoké_prase', 'sus_scrofa'}
plan	{'program', 'plán', 'plánu', 'plánovat', 'plány', 'projektová_dokumentace', 'architektonický_plán', 'námořnictvo_čínské_lidové_republiky', 'kresby', 'architektonické_plánování', 'programu', 'řízení_programu', 'program_management', 'plan', 'manažer_programu'}
plant	{'fabrika', 'montážní_linky', 'vytvořit', 'výrobní_linky', 'druhů_rostlin', 'výrobní_linka', 'tovární_dělník', 'plantae', 'druhy_rostlinné', 'květena', 'factorij', 'typ_bytosti', 'rostliny', 'vegetabilia', 'fabryka', 'výroba', 'výrobních_závodů', 'volavka', 'rostlin', 'rostlinného', 'flóra', 'závod', 'feitoria', 'výrobní_závod', 'továrna', 'primoplantae', 'práce', 'továrny', 'závod_průmyslový', 'flóry', 'plant', 'flora', 'průmyslový_závod', 'rostlinstvo', 'manufaktura', 'životnost_elektrárny', 'produkční_linka', 'trigun', 'rostlina', 'faktorie', 'montážní_linka', 'archaeplastida'}
play	{'android_market', 'přehrávání_období', 'hru', 'hrát_si', 'rozpustilost', 'volnou_ruku,', 'karban', 'hazardní_hry', 'hry', 'činoherec', 'hráčům', 'hrát', 'google_store', 'šerm', 'play_framework', 'google_play_store', 'dovádění', 'play', 'vsadit', 'vůle', 'dramatická_forma', 'činohra', 'doba_hry', 'dramatické_umění', 'třpyt', 'vsadit_se', 'přinést', 'google_play', 'spustit', 'hra', 'play_store', 'manévr', 'hazardní_hra', 'divadelních_her', 'drama', 'divadelní_hry', 'stageplay', 'dramatická_hra', 'sázení', 'dramata', 'divadelní_hra', 'divadelní_hru', 'gaming'}
pleasure	{'rozkoš', 'pleasure_p', 'potěšení', 'sondre_lerche', 'semisonic'}
poor	{'chudáky', 'chudina', 'bída', 'slib_chudoby', 'míra_chudoby', 'nízkými_příjmy', 'opuštěný', 'chudý', 'chudoba', 'chudí', 'špatný', 'chudoby', 'relativní_chudoby', 'městské_chudoby', 'chudoba_jako_sociální_událost', 'zbídačení'}
prison	{'minimální_bezpečnostní', 'tom_robinson', 'vězení', 'pokey', 'věznicích', 'kriminál', 'věznice_pro_mladistvé', 'těsný', 'vězeňství', 'uvězněn', 'šatlava', 'věznění', 'káznice', 'žalář', 'středně_bezpečnostní', 'věznice', 'nápravně_výchovný_ústav', 'nvú', 'uvěznit', 'vězeň', 'uvěznění', 'jailhouse'}
professional	{'profisport', 'profesionální', 'profesní', 'expert', 'profesionální_sport', 'profesionalitu', 'znalec', 'profesionálního_sportu', 'mistr', 'profesionál', 'odborník'}
protection	{'ochranu', 'ochranný_kryt', 'bezpečnost', 'protection', 'ochrana', 'bezpečnosti', 'ochrana_zahraničního_obchodu', 'bezpečí', 'záštita', 'zabezpečení'}
pull	{'spáchat', 'nohy_pohled', 'vytáhnout', 'pull_výstřel', 'vytahovat', 'tah', 'odpalování', 'tasit', 'táhnout', 'tahání', 'pálkaři', 'tahat', 'pull', 'přitahovat', 'přilákat'}
push	{'precious', 'tlačení', 'zásobník', 'knoflík', 'tlačítko', 'puttichai_kasetsin', 'lifo', 'push', 'přepínač', 'confessions_on_a_dance_floor', 'stack', 'get-up-and-go', 'tah', 'propagovat', 'tlačit', 'balík', 'button', 'black_and_white_america', 'tlačítkem'}
quality	{'jakost', 'témbr', 'vlastnost', 'zabarvení', 'barva_zvuku', 'tón', 'kvalita', 'výměnu', 'charakter', 'kvality', 'timbral', 'quality', 'barva_tónu'}
rain	{'dešťové_srážky', 'rain', 'dešti_bouři', 'dešťové_vody', 'déšť', 'prudký', 'dešťovka', 'john_colton', 'dešťová_kapka', 'srážky', 'voda_dešťová', 'heavy_rain', 'in_blue'}
reaction	{'akce_a_reakce', 'chemická_reakce', '3._newtonův_zákon', 'reakce', 'reaction', 'zákon_akce_a_reakce', 'chemické_reakce', 'chemická_změna', 'chemickou_reakci', 'chemicky', 'chemický_děj', 'třetí_newtonův_zákon', 'reakční', 'chemický_proces'}
read	{'studovat', 'četba', 'číst', 'se', 'čtení', 'read'}
red	{'červený_odstín', 'bolševismus', 'bolševik', 'red_one', 'red_river', 'červená', 'červený_inkoust', 'červená_barva', 'bolševismu', 'ztráta', 'angry_birds_rio', 'červená_řeka', 'červené_odstíny', 'anil_kapoor', 'bolshy', 'bolshie', 'day_&_age', 'bolševické_strany', 'angry_birds', 'bolševici', 'červené', 'after_school', 'red', 'odstín_červené', 'red_digital_cinema_camera_company', 'angry_birds_seasons', 'rouge_du_sud', 'červený', 'odstíny_červené'}
relationship	{'interpersonální', 'interpersonální_vztah', 'příbuzenstvo', 'příbuzenství', 'připojení', 'relace', 'filiace', 'dlouhodobý_vztah', 'společnost', 'příbuzní', 'lidského_vztahu', 'příbuzný', 'příbuzenský_vztah', 'mezilidské_vztahy', 'mezilidský_vztah', 'lidských_vztahů', 'příbuznost', 'příbuzenství_a_sestup', 'lidské_interakce', 'interpersonální_vztahy', 'vztah', 'germanita', 'známost', 'dlouhodobém_vztahu', 'příbuzná', 'vztahu', 'mezilidských_vztahů'}
religious	{'řeholník', 'náboženské', 'duchovní', 'mnich', 'klerik', 'náboženský'}
residence	{'bydliště', 'habitant', 'domácnost', 'obydlí', 'obyvatel', 'místo', 'domov', 'panský_dům', 'residencia', 'obytný_dům', 'dům'}
right	{'práva', 'politické_pravice', 'přesně', 'pravá_ruka', 'vpravo', 'pravostranný', 'morální_filosofie', 'etickým_otázkám', 'etiky', 'nezadatelná_práva', 'etických_otázek', 'řádně', 'nezcizitelné', 'pravý', 'pravou_rukou', 'morální_filozof', 'pravé', 'høyre', 'fyzických_a_právnických_práv', 'přímo', 'mravověda', 'ethika', 'přirozeného_práva', 'statut', 'správné', 'pravé_křídlo', 'právo', 'young_americans', 'rightism', 'na_pravo', 'etické', 'etické_teorie', 'konzervativní_strana', 'pravicový', 'neetické', 'právní_nárok', 'opravit', 'mravouka', 'politická_pravice', 'pravostranná', 'nezadatelné_právo', 'norská_konzervativní_strana', 'správně', 'handedness', 'pravdu', 'oprávněnost', 'pravice', 'etický_systém', 'správné_a_co_špatné', 'přirozených_práv', 'dobře', 'levák', 'pravičák', 'správný', 'pravé_straně', 'levou_rukou', 'správná', 'pravém', 'subjektivní_právo', 'morální_filozofie', 'pravá_strana', 'pravicová_politika', 'pravicové', 'pravicové_politice', 'etika', 'statutární', 'napravit'}
river	{'tok_vodní', 'vodní_tok', 'revival', 'přerušovaný_proud', 'řeka', 'seznam_pokerových_výrazů', 'sestao_river_club', 'tekoucí_voda', 'potok', 'řek', 'kineta', 'ruisseau', 'kyneta', 'watermark', 'vodoteč', 'pokerové_výrazy', 'říční', 'proudu', 'river', 'řeky'}
road	{'pryč_hra', 'cesta', 'silnici', 'silnice', 'silnice_hra', 'hráze', 'the_road', 'new'}
root	{'pramatka', 'cizích_kořenů', 'zdroj', 'ochlupení', 'prarodiče', 'rodinný_původ', 'kořen_rovnice', 'kořenový_systém', 'počátek', 'nula', 'superuser', 'kořenové', 'slovní_kmen', 'uživatel_root', 'chlup', 'zakořeněný_strom', 'konohagakure', 'správce_systému', 'odmocnění', 'prarodič', 'přídatný_kořen', 'předchůdce', 'stromová_struktura', 'začátek', 'superuživatele', 'tonikum', 'rootování_androidu', 'kmen', 'odmocnina', 'kořenová_soustava', 'vzdušné_kořeny', 'ascendent', 'kořen_funkce', 'kořeny', 'kořenovém_svém_místě', 'chlupatý', 'kořen_slova', 'strom', 'předků', '0', 'zakořenění', 'praotec', 'původu', 'správce_počítače', 'srst', 'etymon', 'tónika', 'root', '√', 'zubní_kořen', 'hudebních_intervalů', 'interval', 'kořen_poznámku', 'předek', 'hudební_intervaly', 'odmocňování', 'tonální_centrum', 'kořenový_strom', 'předci', 'kořen', 'adventivní_kořen', 'les', 'vlasy', 'hudební_interval', 'koráloidní_kořen', 'tonikum_akord', 'korálovitých_kořenů'}
rope	{'lano', 'rophy', 'provaznické', 'r-2', 'rope', 'zapomněl_mi_lék', 'lana', 'mexická_valium', 'roofy', 'lanko'}
rotten	set()
round	{'nejvýznamnější_číslice', 'kolo', 'shell_kryt', 'přesnost', 'nábojnice', 'rundu', 'patrona', 'významnější_postavou', 'suché', 'tělo', 'kovové_kazety', 'nejméně_významné_číslice', 'ovoce', 'rohování', 'aritmetickou_přesnost', 'náboj', 'bareknuckle', 'kulatý', 'rohovaná', 'jednotka_munice', 'golf', 'denní_kolo', 'stypsis', 'pěstní_zápas', 'jeden_výstřel', 'platných_číslic', 'round', 'významné_místo', 'zaokrouhlit', 'pěstí', 'mineralitou', 'box', 'číslice', 'prizefighting', 'obchůzka'}
rub	{'utírat', '₽', 'značka_ruského_rublu', 'ruský_rubl', 'mnout', 'třít'}
sad	{'smutný', 'sezónní_afektivní_poruchy', 'smutek', 'žal', 'sadhe', 'sezonní_afektivní_porucha', 'lost_dogs'}
salt	{'sůl_kuchyňská', 'sůl_jedlá', 'iontová_sůl', 'cheryl_james', 'kuchyňská_sůl', 'strategic_arms_limitation_talks', 'salt-n-pepa', 'salt_i', 'nacl', 'sůl', 'stolní_sůl', 'draselné_soli', 'solí', 'posypové_soli', 'solit', 'slánka', 'kryptografická_sůl', 'salt', 'posypová_sůl', 'iontové_soli', 'chlorid_sodný', 'sůl_kamenná', 'osolit', 'limitace_strategických_zbraní_mluví', 'výroby_soli', 'solnička', 'sodná_sůl', 'henry_salt', 'jedlá_sůl', 'soli'}
sand	{'říční_písek', 'moxie', 'a.a._lucile_dupin', 'mořský_písek', 'george_sand', 'george_sandová', 'sand', 'amandine_aurore_dupin_lucie', 'a.a._dupin', 'georges_sand', 'baronka_dudevant', 'schönenberg-kübelberg', 'sand_am_main', 'písek', 'amandine_aurore_lucile_dupin_de_francueil', 'písku', 'vnitřnosti'}
say	{'říct', 'jean_baptiste_say', 'povědět', 'říci', 'jean-baptiste_say', 'vyslovovat', 'say', 'osakis', 'thomas_say', 'in_blue'}
science	{'vědy', 'hlavního_proudu_vědy', 'vědecká_disciplína', 'vědecké', 'science', 'věda', 'empirické_vědy', 'vědecké_disciplíny', 'dovednosti', 'tradiční_věda'}
scratch	{'odřenina', 'kožních_lézí', 'snap!', 'načmárat', 'odřeniny', 'závod_sázek', 'handicap', 'puchýřky', 'lotů', 'lichenifikace', 'poškrábání', 'kožní_onemocnění_charakterizované', 'moolah', 'promáčklina', 'dinero', 'důlek', 'kožní_onemocnění', 'indurace', 'kožní_léze', 'dermatóz', 'škrábat', 'mamon', 'peter_gabriel', 'cacography', 'scratch_linka', 'start', 'scratch', 'exkoriace', 'golfového_handicapu', 'značka', 'macules', 'simoleons', 'gelt', 'kožních_onemocnění', 'kožní_vřed', 'oděru', 'škeble', 'prohlubenina', 'snap', 'startovní_čára', 'puchýře', 'golf_handicap', 'kožní_stav'}
sea	{'seznam_moří', 'měsíční_moře', 'oceány', 'měsíční_klisna', 'měsíčním_maria', 'oceánu', 'mořské_prostředí', 'sea', 'mare', 'oceán', 'moře', 'oceánů', 'světový_oceán', 'prostředí_životní_mořské'}
seafood	{'plody_moře', 'mořské_plody', 'dary_moře'}
see	{'tycho', 'vizuální_vnímání', '1r,2r,4s,7s,9s)-9-metyl-3-oxa-9-azatricyklo-(3.3.1.02,4)non-7-yl_ester_(–)-(s)-3-hydroxy-2-fenylpropionové_kyseliny', '1r,2r,4s,7s,9s)-9-methyl-3-oxa-9-azatricyklo-(3.3.1.02,4)non-7-yl_ester_kyseliny_(–)-(s)-3-hydroxy-2-fenylpropionové', 'episkopální_vidět', 'see', 'představovat', '1r,2r,4s,7s,9s)-9-metyl-3-oxa-9-azatricyklo(3.3.1.02,4)non-7-yl_ester_kyseliny_(–)-(s)-3-hydroxy-2-fenylpropionové', '1r,2r,4s,7s,9s)-9-methyl-3-oxa-9-azatricyklo-(3.3.1.02,4)non-7-yl_ester_kyseliny_(–)-(s)-3-hydroxy-2-fenylpropanové', 'spatřovat', '1r,2r,4s,7s,9s)-9-metyl-3-oxa-9-azatricyklo(3.3.1.02,4)non-7-yl_ester_(–)-(s)-3-hydroxy-2-fenylpropanové_kyseliny', 'vidět', '1r,2r,4s,7s,9s)-9-metyl-3-oxa-9-azatricyklo(3.3.1.02,4)non-7-yl_ester_(–)-(s)-3-hydroxy-2-fenylpropionové_kyseliny', 'skopolamin', '1r,2r,4s,7s,9s)-9-methyl-3-oxa-9-azatricyklo(3.3.1.02,4)non-7-yl_ester_(–)-(s)-3-hydroxy-2-fenylpropanové_kyseliny', '1r,2r,4s,7s,9s)-9-methyl-3-oxa-9-azatricyklo(3.3.1.02,4)non-7-yl_ester_kyseliny_(–)-(s)-3-hydroxy-2-fenylpropanové', 'považovat', 'vidění', 'pochopit', '1r,2r,4s,7s,9s)-9-methyl-3-oxa-9-azatricyklo(3.3.1.02,4)non-7-yl_ester_kyseliny_(–)-(s)-3-hydroxy-2-fenylpropionové', '1r,2r,4s,7s,9s)-9-metyl-3-oxa-9-azatricyklo-(3.3.1.02,4)non-7-yl_ester_(–)-(s)-3-hydroxy-2-fenylpropanové_kyseliny', 'navštívit', 'skopolin', 'spatřit', '1r,2r,4s,7s,9s)-9-metyl-3-oxa-9-azatricyklo-(3.3.1.02,4)non-7-yl_ester_kyseliny_(–)-(s)-3-hydroxy-2-fenylpropionové', '1r,2r,4s,7s,9s)-9-metyl-3-oxa-9-azatricyklo(3.3.1.02,4)non-7-yl_ester_kyseliny_(–)-(s)-3-hydroxy-2-fenylpropanové', 'potkat', 'věnovat_se', 'navštěvovat', 'uvědomit', 'scopolamin', 'hyoscin', '1r,2r,4s,7s,9s)-9-methyl-3-oxa-9-azatricyklo-(3.3.1.02,4)non-7-yl_ester_(–)-(s)-3-hydroxy-2-fenylpropionové_kyseliny', 'zrak', 'arcibiskupský_vidět', '1r,2r,4s,7s,9s)-9-methyl-3-oxa-9-azatricyklo(3.3.1.02,4)non-7-yl_ester_(–)-(s)-3-hydroxy-2-fenylpropionové_kyseliny', '1r,2r,4s,7s,9s)-9-metyl-3-oxa-9-azatricyklo-(3.3.1.02,4)non-7-yl_ester_kyseliny_(–)-(s)-3-hydroxy-2-fenylpropanové', 'objevit', '1r,2r,4s,7s,9s)-9-methyl-3-oxa-9-azatricyklo-(3.3.1.02,4)non-7-yl_ester_(–)-(s)-3-hydroxy-2-fenylpropanové_kyseliny'}
seed	{'ejakulát', 'sublime', 'spermatu', 'santi', 'přijít', 'osivo', 'vyřazovací_systém', 'semi-finále', 'semifinále', 'final_fantasy_viii', 'mrdka', 'ejakulovat', 'sperma', 'cum', 'nasazený_hráč', 'single-turnaj_eliminace', 'seed', 'semen', 'vyřazovacím', 'osiva', 'single_elimination_turnaj', 'semifinalistou', 'osmifinále', 'semeno', 'vítěz', 'nasazení', 'počáteční_hodnota', 'semena', 'semenné_tekutiny', 'čtvrtfinále', 'zdrojem', 'random_seed', 'pavouk'}
sell	{'sell', 'komerce', 'prodávat', 'obchod', 'kšeft', 'zradit', 'prodat', 'obchodník', 'povolání', 'obchodování', 'nákupu', 'kupec', 'prodej'}
sew	{'šití', 'krejčovství', 'šít', 'stitchery'}
sexy	{'sexy', 'elephunk'}
shape	{'tvaru', 'fyziologie_člověka', 'pigmentace_kůže', 'forma', 'fyzické_tělo', 'lidské_fyziologie', 'hudební_útvary', 'fotbalové_rozestavení', 'lidský_organizmus', 'lidské_anatomii', 'lekářská_fyziologie', 'tvar', 'hudební_útvar', 'tvar_tělesa', 'pleti', 'postava', 'hmotné_tělo', 'primitivní', 'vzor', '4-3-3', 'anatomická_variabilita', 'lidské_pleti', 'vrchní_velitelství_spojeneckých_sil_v_evropě', 'určit', 'hudební_forma', 'těla', 'bod', 'shape', 'stav', 'obrys', 'lidské_tělo', 'masa'}
sharp	{'-is', 's_křížkem', 'adaven', 'ostrý', 'sharp', '#', 'skinheads_against_racial_prejudice', 'sharp_corporation', 's.h.a.r.p.', '♯', 'bystrý', 'křížek'}
ship	{'lodě', 'loď', 'poslat'}
short	{'zkratu', 'krátký_předmět', 'regulace_krátkého_prodeje', 'short-selling', 'shortstop', 'krátkých_předmětů', 'krátký_prodej', 'short_selling', 'short_position', 'krátké', 'najednou', 'zkrat', 'zkratovat', 'short', 'krátkých_filmů', 'short_sale', 'krátkou_pozici', 'shortstops', 'krátký', 'krátký_film', 'malý', 'krátké_pozice', 'krátkých_animovaných_filmů', 'náhle', 'krátká_pozice', 'krátké_spojení'}
show	{'veletrzích_kraje', 'show', 'vyjádřit', 'dokázat', 'ukázat', 'hazardní_hry', 'karban', 'představení_zábavné', 'aby', 'hazardní_hra', 'hráčům', 'stanovit', 'svědčit', 'ukazovat', 'gaming', 'sázení', 'prokázat', 'ukazují', 'zemědělské_výstavy'}
sign	{'klinické_příznaky', 'electropositive', 'sémiotiky', 'sémiotik', 'záštitou', 'trigraf', 'semiology', 'signalizační', 'kladné_číslo', 'předzvěst', 'elektronegativní_prvek', 'grafický_symbol', 'digraf', 'preindication', 'znaménko', 'astrologické_znamení', 'polaritu', 'podepsat', 'non-negativní', 'semiotika', 'zvířetníková_souhvězdí', 'brown_eyed_girls', 'elektronegativní', 'elektronegativita', 'signage', 'pokyn', 'foretoken', 'souhvězdí', 'grapheme', 'ukazatel_směru', 'značka', 'signál', 'jazykový_znak', 'nezáporné', 'auspicia', 'star_sign', 'signalizaci', 'zodiakální_souhvězdí', 'hvězdné_znamení', 'podepsané', 'grafém', 'znamení_zvěrokruhu', 'auspicie', 'vývěsní_štít', 'klinický_příznak', 'sémiologie', 'sémiotické', 'sémiotika', 'auguria', 'lékařské_znamení', 'znak', 'planetární_dům', 'značení', 'symbol', 'augurie', 'signalizace', 'věštění', 'znamení', 'grafémů', 'dům'}
silly	{'silly', 'hloupý', 'pošetilý', 'nesmyslný', 'nesmysl', 'nonsensová_literatura', 'nonsens', 'pošetilé', 'nesmyslné', 'nonsensicality'}
sin	{'letiště_changi', 'sinhálština', 'sinhalština', 'hříšné', 'hříchy', 'sinhala', 'funkce_sinus', 'hříšník', 'sín', 'sinus', 'šin', 'hříšnost', 'nanar', 'sinusoida', 'hřích', 'letiště_singapur-changi', 'sinhálec', 'su´en', 'hříchu', 'přestoupit', 'hřešit', 'zhřešit', 'shin', 'sin', 'jazyce_sinhala', 'nanna'}
sing	{'leisure', 'čisté_vokály', 'zpívat', 'pěvkyně', 'harmonie_zpěv', 'zpívání', 'ženské_vokály', 'zpěv', 'zpěvák', 'zpěvem', 'sing'}
sit	{'sednout', 'jezdit', 'jet', 'sedět'}
skin	{'psychiatrická_léčebna', 'ray_of_light', 'slupka', 'neodermis', 'pokožka', 'plošný_spoj', 'kožní', 'day_for_night', 'australské_domorodé_příbuzenství', 'téma', 'vzhled', 'šlupka', 'barva_pleti', 'robert_sylvester_kelly', 'osemení', 'tištěný_spoj', 'deska', 'add-in', 'plugin', 'psychiatrické_nemocnice', 'tegument', 'skin', 'obvod_karty', 'zásuvný_modul', 'duševní_instituce', 'blender', 'pluginy', 'kůže', 'almost_human', 'r._kelly', 'deska_plošných_spojů', 'plug-in', 'skinovatelný', 'modul_plug-in', 'blázinec', 'cutis'}
sky	{'thatgamecompany', 'obloha', 'bskyb', 'sky', 'modrý', 'blankyt', 'pozemská_atmosféra', 'zemské_atmosféry', 'sky_tv', 'british_sky_broadcasting', 'team_sky', 'british_sky_broadcasting_group_plc', 'blankytný', 'cerulean', 'nebe', 'vzduchu', 'sky_airlines', 'heterosphere', 'atmosféra_země', 'firmament', 'credo', 'zemská_atmosféra', 'sky_digital', 'chemické_složení_atmosféry', 'lazuline', 'winx_club', 'stacey_king', 'chemické_složení_atmosféry_země'}
sleep	{'spánku', 'pohotovostním_režimu', 'spánek', 'spánková_porucha', 'režim_hibernace', 'věčný_spánek', 'režim_spánku', 'sopor', 'náměsíčník', 'režimu_spánku', 'nrem_fáze_spánku', 'the_black_parade', 'spaní', 'letargický_spánek', 'věčný_odpočinek', 'spát', 'zúčtování', 'sleep', 'režim_pozastavení', 'hybridní_režim_spánku', 'spí'}
small	{'malý', 'john_kunkel_small', 'bederní', 'small'}
smart	{'smart_metoda', 'inteligencí', 'bystrý', 'inteligence', 'píchnutí', 's.m.a.r.t.', 'smart', 'rozvědka', 'nestoudný', 'nestydatý', 'zpravodajská_služba', 'drzý', 'inteligentní', 'technologie_smart', 'chytrý'}
smell	{'aroma', 'bez_zápachu', 'cítit', 'vonící', 'čichový_vjem', 'pach', 'tón', 'smrad', 'čichový_systém', 'příslušenství_čichového_systému', 'čichu', 'ducha', 'aromatikum', 'pocit', 'puch', 'čich', 'čichový_modalita', 'čichové_vjemy', 'nepříjemný_zápach', 'zápachu', 'čichový_majetku', 'vůně', 'čichové', 'zápach'}
smiling	{'duchenneův_úsměv', 'úsměvem', 'úsměv', 's_úsměvem'}
smoke	{'kouře', 'joint', 'kouř', 'kouření', 'nicotiana', 'dým', 'dýmat', 'marihuana', 'mary_jane', 'tabák', 'rostlina_tabáku', 'zelená_bohyně', 'sess', 'rostliny_tabáku', 'tráva', 'cigareta', 'nedopalek', 'yin_yang_yo!', 'špek', 'magneto-optický_kerrova_jevu', 'sens', 'smoke', 'nekuřák', 'fastball', 'cigereta', 'rakev_nehty', 'kouřit', 'cigarety', 'tabákový_smotek', 'cigaret', 'cigaretu', 'uzené', 'užívání_tabáku', 'cígo'}
smooth	{'stypsis', 'leštit', 'vyhladit', 'hladké_číslo', 'suché', 'tělo', 'mineralitou', 'ovoce', 'hladké', 'gerald_albright', 'smooth'}
snake	{'ah-1', 'hadi', 'souhvězdí_hydra', 'hadí_řeka', 'bell_ah-1', 'hada', 'haďák', 'grayovo_kódování', 'gray_code', 'bell_ah-1_cobra', 'ah-1_cobra', 'had', 'snake', 'ophidian', 'had_v_trávě', 'gray_kód', 'souhvězdí_hydry', 'grayův_kód', 'solid_snake', 'snake_jailbird', 'serpentes', 'snake_river', 'hydra', 'zrcadlový_binární_kód'}
snow	{'libav', 'nos_candy', 'prašan', 'sněhová_pokrývka', 'off-white', 'sněhové_pokrývky', 'sněžit', 'baron_snow_of_leicester', 'ffmpeg', 'sněhu', 'sníh', 'poplést', 'libavformat', 'c._p._snow', 'libavcodec', "darrin_kenneth_o'brien", 'charles_percy_snow', 'snow', 'slonovinu', 'sněžení', 'the_warriors'}
solution	{'rovnice_řešení', 'stejnorodá_směs', 'odpověď', 'homogenní_směs', 'rozpuštěných_látek', 'řešení', 'výsledek', 'homogenní_soustavy', 'solution', 'výsledku', 'řešení_problémů'}
some	{'asi', 'více_či_méně', 'nebo_tak', 'kolem', 'zhruba', 'přibližně', 'okolo'}
soul	{'oduševnělosti', 'aiúa', 'smrtelný', 'soul', 'soulová_hudba', 'osoba', 'duši', 'někdo', 'soulové_hudby', 'člověk', 'smrtelník', 'nesmrtelné_duše', 'jednotlivci', 'jednotlivce', 'jedinec', 'duše'}
sound	{'znít', 'řečový_zvuk', 'zvuková_vlna', 'audio', 'zdravý', 'telefon', 'řeči_zvuk', 'tecnocumbia', 'zvukem', 'zvukové_vlny', 'zvuku', 'mořská_úžina', 'úžina', 'akustické_vlnění', 'výška_zvuku', 'hlasitost', 'průliv', 'akustické_vlny', 'barva_zvuku', 'akustická_vlna', 'hláska', 'zvukové_vlnění', 'sluchové_vnímání', 'intenzita_zvuku', 'hlásky', 'zvuky', 'zvuk', 'šíření_zvuku'}
spit	{'sliny', 'kosa', 'vykašlávání', 'slina', 'plivání', 'slinění', 'rožni', 'saliva', 'rotisserie', 'plivnout', 'slin', 'spit', 'plivat'}
split	{'split_album', 'heterozygoti', 'rozetnout', 'homozygotnosti', 'proříznout', 'zygosity', 'prasknout', 'birds_of_prey', 'praskla', 'heterozygotnost', 'rozříznout', 'rozkol', 'hemizygous', 'homozygotní', 'rozdělení', 'rozpojit', 'split', 'homozygotů', 'homozygot', 'heterozygot', 'stock_rozdělení', 'homozygosity', 'rozdělit', 'heterozygotnosti', 'heterozygotní', 'rozdělení_akcií'}
spoke	{'řeči', 'hlasové_komunikace', 'řečové_komunikace', 'jazyk', 'hlasová_komunikace', 'paprskové_kolo', 'lidské_řeči', 'mluva', 'paprsky', 'rundle', 'paprsek', 'loukoť', 'kolo_promluvil', 'mluvení', 'mluvený_jazyk', 'ústní_sdělení', 'spoke', 'loukoťové_kolo', 'řeč', 'mluví_komunikace'}
squeeze	{'krizi_likvidity', 'objetí', 'zmáčknout', 'krize_likvidity', 'nevýhoda_tahu', 'squeeze', 'zugzwang', 'objímání', 'mačkání', 'stažením_prstů_zmenšit', 'úvěrové_krize', 'ždímat', 'obejmout', 'hnízdo', 'protažení', 'štípnout', 'drtit', 'úvěrová_krize'}
stab	{'roh_bodnout', 'bodnout', 'bodnutí', 'vřískot_2', 'pobodat', 'scream_2', 'probodnout', 'nůž_tah'}
stand	{'stánek', 'pohledu', 'hlediska', 'stanovisko', 'sad', 'tolerovat', 'sadař', 'stand', 'mít', 'pozice', 'hájová_květena', 'kávové_plantáže', 'plantáže', 'woodlet', 'stojí', 'venkovní_stage', 'vydržet', 'základ', 'snášet', 'hledisko', 'hudební_pavilón', 'firma', 'postavit', 'háj', 'ovocného_sadu', 'susan_ashton', 'prodejní_stánek', 'stát', 'plantáž', 'kořen', 'ovocný_sad', 'vystát', 'partnerství'}
