ability	{'kapacitet', 'evne', 'aptitude'}
read	{'catherine_read', 'studere', 'tage', 'passerer', 'læsning', 'læse', 'tager', 'read'}
red	{'after_school', 'angry_birds', 'bolsjevismen', 'day_&_age', 'bolshie', 'bolsjevikker', 'red_river', 'tab', 'jim_krebs', 'bolsjevikkerne', 'bolshy', 'bolsjevikiske_parti', 'don_goldstein', 'røde', 'anil_kapoor', 'rødt', 'sandheden_om_rødhætte', 'rødt_blæk', 'red', 'rød', 'bolsjevik', 'bolsjevisme', 'day_and_age', 'rødfarvet'}
relationship	{'menneskelige_forhold', 'slægtskab_og_afstamning', 'mellemmenneskelige_forhold', 'slægt', 'kammeratskab', 'slægtskab', 'langsigtet_forhold', 'bekendt', 'menneskelige_relationer', 'bekendtskab', 'tipoldefar', 'forhold', 'menneskelig_interaktion', 'relation', 'tipoldebarn', 'interpersonelle', 'interpersonelle_relationer', 'niece', 'æt', 'afstamning_gruppe', 'familieforhold', 'forbindelse', 'tipoldemor'}
religious	{'klerke', 'gejstlig', 'from', 'klerk', 'religiøse', 'religiøs'}
residence	{'stedet', 'hjemsted', 'indbyggere', 'hjem', 'privat_bolig', 'hellige_haller', 'palæ', 'privaten', 'stue', 'indbygger', 'ophold', 'bolig', 'residencia', 'palæ_hus', 'hus', 'bopæl', 'dweller', 'residens', 'beboelseshus', 'palæer', 'privatbolig', 'boliger'}
right	{'naturlige_rettigheder', 'rigtigt', 'politiske_højrefløj', 'naturlige_ret', 'juridiske_rettigheder', 'sædelighed', 'moral', 'umoralsk', 'moralen', 'højrehåndet', 'uetisk', 'rightism', 'kristen_etik', 'morallære', 'umistelige_ret', 'konservativ', 'retningsangivelse', 'højreorienterede_politik', 'etiker', 'juridisk_ret', 'rightfulness', 'rettigheder', 'etiske', 'moralsk_filosof', 'relativ_retningsangivelse', 'intellektuelle_rettigheder', 'virkelig', 'korrekt', 'amoralsk', 'lige', 'højrefløjen', 'korrigere', 'umistelige', 'håndethed', 'moralsk_filosofi', 'rettighed', 'højre_hånd', 'højre-', 'venstrehåndet', 'etik', 'sædelig', 'umistelig_ret', 'ret', 'etisk', 'rigtig', 'rigtigt_og_forkert', 'højre', 'young_americans', 'højre_side', 'etiske_system', 'etiske_standarder', 'moralfilosofi', 'naturligere_rettigheder', 'højreradikale', 'højreorienteret', 'højreorienterede', 'moralfilosof', 'umistelige_rettigheder', 'moralsk_betydning', 'højrefløj', 'højregruppe', 'sand', 'morale', 'rette', 'etisk_teori', 'høyre', 'fysiske_og_juridiske_rettigheder', 'moralsk', 'etiske_spørgsmål'}
river	{'sestao_river_club', 'ruisseau', 'river', 'å', 'floder', 'åen', 'vandløbets_faser', 'bæk', 'vandløb', 'flod', 'revival', 'watermark', 'intermitterende_strøm', 'flodbred', 'strøm', 'floden', 'stormfloden'}
road	{'the_road', 'vej', 'dæmningsveje', 'udekamp', 'new', 'vejbyggeri', 'vejen', 'veje', 'road_spil', 'offentlig_vej', 'borgerbevægelsen_demokratisk_aktion'}
root	{'hoved_hår', 'rod', 'behåret', 'etymon', 'rodfæstet_træ', 'nul', 'skov', '0', 'rode', 'forfædre', 'toneinterval', 'musikalske_intervaller', 'rødder', 'grundtone', 'mellemblond', 'superbruger', 'interval', 'musikalsk_interval', 'tonika', 'tonale_centrum', 'root-adgang', 'forfader', 'uldhår', "n'te_rod", 'tandroden', 'ascendant', 'root', 'dækhår', 'rod_ord', 'oprindelse', 'root_ord', 'kilde', 'birødder', 'konohagakure', 'antecedent', 'stamceller', 'ordstamme', 'fædrene', 'tonic', 'grundposition', 'tonic_akkord', 'hår', 'rodnet', 'stammen', 'menneskehår', 'nte_rod', 'hårstrå', 'træ', 'roden', "slå_sig_'ned"}
rope	{'tov', 'tovværk', 'ropemaker', 'rope', 'roofy', 'reb', 'rebet', 'mexicansk_valium', 'r-2', 'rophy', 'glemme_mig_lægemiddel'}
rotten	{'rådden'}
round	{'mineralitet', 'pugilism', 'cirkulære', 'round', 'shell_beklædning', 'betydende_cifre', 'runde', 'metallisk_patron', 'amatørbokser', 'betydende_ciffer', 'daglig_runde', 'stypsis', 'bareknuckle', 'mindst_betydende_ciffer', 'boksning', 'aritmetiske_præcision', 'mest_betydende_ciffer', 'one_shot', 'rund', 'hus', 'runde_af_drikkevarer', 'fisticuffs', 'balance', 'tør', 'cirkulær', 'patron', 'bare-kno_boksning', 'krop', 'bouquet', 'præmie_kamp', 'præmie_fighter', 'enhed_af_ammunition', 'frugt', 'prizefighting', 'præcision', 'runde_golf'}
rub	{'tør', 'gnide', 'russiske_rubel', 'russiske_rubler'}
sad	{'bedrøvelse', 'sadhe', 'lost_dogs', 'seasonal_affective_disorder', 'trist', 'sørgmodig', 'sad', 'bedrøvet', 'østerlars', 'vinterdepression', 'smerte', 'vemodig', 'kval'}
salt	{'natriumklorid', 'husholdningssalt', 'af', 'almindeligt_salt', "salt'n'pepa", 'salt_aftalen', 'salt', 'natriumsalt', 'salt-aftale', 'salt_i', 'salt_1', 'salt_ii', 'salte', "salt_'n'_pepa", 'salt_2', 'natriumchlorid', 'halit', 'bordsalt', 'kogsalt', 'saltning', 'saltproduktion', 'stensalt', 'henry_salt', 'strategiske_våbenbegrænsning_talks', 'kogesalt', 'kalium_salt', 'organismers_saltbehov', 'salt_river', 'nacl', 'salt-n-pepa', 'saltbøsse', 'natriumchlorid_køkkensalt', 'cheryl_james', 'køkkensalt', 'saltkar', 'saltmine', 'salt-aftalerne', 'vejsalt', 'ionisk_salt'}
sand	{'george_sand', 'sandkorn', 'finsand', 'amandine_aurore_lucie_dupin', 'indvolde', 'sand', 'baroness_dudevant', 'grovsand', 'schönenberg-kübelberg', 'sand_am_main', 'moxie', 'sand_i_rogaland'}
say	{'thomas_say', 'jean-baptiste_say', 'say', 'osakis', 'fortælle', 'in_blue', 'sige'}
science	{'genstandsområde', 'generel_videnskab', 'dygtighed', 'genstandsfelt', 'retning', 'videnskabelig_disciplin', 'fag', 'videnskab', 'mainstream_videnskab', 'skole', 'felt', 'videnskabelighed', 'videnskabelige', 'science', 'videnskabelig', 'disciplin', 'fagområde', 'empirisk_videnskab', 'gren'}
scratch	{'induration', 'pustler', 'peter_gabriel', 'hudsygdomme', 'afskrabe', 'vesikel', 'ekskoriation', 'kutan_tilstand', 'kragetæer', "skrabe_'af", 'slid', 'skrabe', 'cacography', 'hudlæsioner', 'lichenification', 'gelt', 'moolah', 'hudlæsion', 'bule', 'scratch', 'golf_handicap', 'simoleons', 'shekels', 'stakes_løb', 'startlinien', 'scratch_linje', 'kursus_rating', 'hjertemuslinger', 'aflyse', 'hønsefoder', 'ridse', 'muslinger', 'macules', 'dermatoser', 'sår_på_huden', 'pelf', 'handicap', 'dinero', 'kyllingefoder'}
sea	{'havet', 'månemare', 'havmiljøet', 'sea', 'havmiljø', 'marin', 'marint', 'hav', 'månens_maria', 'de_syv_verdenshave', 'månehav', 'ocean', 'verdenshav', 'månens_have', 'måne_hoppe', 'verdenshavet', 'verdenshave', 'det_globale_ocean', 'sø', 'globale_ocean'}
seafood	{'alt_godt_fra_havet', 'havet_fødevarer', 'skaldyr'}
see	{'lære', 'se', 'indse', 'opdage', 'høre', 'see', 'farvesyn', 'biskoppelige_se', 'ser', 'ærkebispesædet', 'tage_sig_af', 'tycho', 'synlig', 'betragte_det', 'betragter', 'besøge', 'synssansen', 'finde', 'forstå', 'mødes', 'finde_ud_af', 'træffe', 'sikre', 'hyoscin', 'syn', 'synssans', 'betragte', 'tage_sig', 'visuel_perception', 'scopolamin', 'møde'}
seed	{'single-elimination_turnering', 'kvartfinale', 'ejakulere', 'seed', 'plantefrø', 'santi', 'semifinalen', 'kilde', 'ffviii', 'enkelt_elimination_turnering', 'sædvæske', 'kvartfinalerne', 'frø', 'semifinaler', 'enkelt_elimination', 'kvartfinalen', 'random_seed', 'komme', 'final_fantasy_viii', 'semifinale', 'basistal', 'seedede_spiller', 'så', 'semifinalist', 'single-elimination', 'såsæd', 'sæd', 'cum', 'sublime', 'sperm'}
sell	{'handel', 'forråde', 'salg', 'svigte', 'sælge', 'sell', 'byttehandel', 'svige', 'handelen', 'kommerciel', 'handelsliv', 'køb', 'maritime_handel'}
sew	{'sy', 'stitchery', 'syet', 'syning'}
sexy	{'elephunk', 'afrodisiakum'}
shape	{'mourvèdre', 'wm_formation', 'menneskelige_legeme', 'kød', 'hudens_pigmentering', 'forme', 'form', 'menneskelige_hudfarve', 'primitiv', 'menneskelegeme', 'mønster', 'fysiske_krop', 'hudfarve', 'bod', 'materialelegemet', 'menneskelige_anatomi', 'definition', 'supreme_headquarters_allied_powers_europe', 'menneskekrop', 'bestemme', 'allied_command_operations', 'musikgenre', 'humanfysiologi', 'øverste_hovedkvarter_allied_powers_europe', 'krop', 'supreme_allied_commander_europe', 'danne', 'shape', 'menneskelige_krop', 'human_fysiologi', 'musikalsk_form', '4-3-3'}
sharp	{'skinger', '♯', 'adaven', 'sharp_corporation', 'sharp_electronics', 'sharp', 'skarp', 'kryds', 'brat', 'skinheads_against_racial_prejudice'}
ship	{'fartøj', 'skibet', 'skib', 'skibe', 'inpp5d', 'sende'}
short	{'kort_emne', 'shortstops', 'kortslutning', 'shorte', 'film_kort', 'brat', 'pludselig', 'shortselling', 'korte_emner', 'shortstop', 'tegnefilm', 'pludseligt', 'kortfilm', 'shorting', 'short_selling', 'kort_stop', 'short', 'lav', 'korte', 'kortslutte', 'korte_film', 'short_salg', 'short-selling', 'kort_position', 'to-reeler', 'kort'}
show	{'dyrskue', 'gambling', 'fastslå', 'etablere', 'county_fair', 'amt_messer', 'bevise', 'gamble', 'godtgøre', 'vise', 'gaming', 'landbrugs-show', 'hasardspil', 'show', 'udtrykke', 'indsatser', 'spillere', 'viser', 'vidne', 'væddemål', 'demonstrere', 'udstilling'}
sign	{'astrologiske_tegn', 'afmærke', 'positivt_tal', 'polaritet', 'regi', 'grafem', 'elektropositivitet', 'stjernetegn', 'kliniske_tegn', 'auspicium', 'grafisk_symbol', 'tegn_på_stjernetegn', 'medicinsk_tegn', 'ikke-negative', 'omen', 'signboard', 'out-of-band_signalering', 'planetarisk_hus', 'semiotik', 'sign', 'underskrevet', 'tegn', "skrive_'under", 'signal', 'grapheme', 'stjerne_tegn', 'fortegn', 'soltegn', 'elektronegative', 'fortegnsfunktionen', 'semiotiske', "mærke_'af", 'styresignal', 'auspicier', 'semiologi', 'fuglevarsel', 'stjernetegnene', 'skiltning', 'grafemer', 'sgn', 'signalering', 'signum_funktion', 'preindication', 'elektronnegativitet', 'augury', 'skilt', 'signum-funktion', 'fortegnsfunktion', 'underskrive', 'hus', 'auspicie', 'foretoken', 'kommerciel_skiltning', 'sygdomstegn', 'elektropositive', 'elektronegativitet', 'brown_eyed_girls'}
silly	{'tomhjernet', 'vrøvl', 'silly', 'tåbelig', 'fjollet', 'dumme', 'meningsløse', 'blæst', 'hokum', 'latterlig', 'uintelligent', 'sludder', 'nonsens', 'åndssvag', 'nonsensicality', 'fordummende', 'dumt', 'dum'}
sin	{'syndere', 'sinusfunktion', 'sinus-funktionen', 'sinuskurve', 'sinus_kurve', 'singalesisk', 'nanna', 'sinus', 'sinhala', 'sinusformet', 'singhalesisk', 'shin', 'syndighed', 'singalesiske_sprog', 'sinusfunktionen', 'sin', 'singapore_changi_airport', 'synd', 'wcw_sin', 'syndigt', 'synder'}
sing	{'vokalister', 'vokalist', 'sang', 'sangere', 'rene_vokal', 'popsanger', 'fløjte', 'sanger', 'leisure', 'sing', 'harmoni_vokal', 'syng', 'vocalizing', 'kvindelig_vokal', 'vokal', 'synge'}
sit	{'sidde_ned', 'placere', 'ride', 'sidde', 'køre', 'siddende'}
skin	{'kredsløbskort', 'print', 'mental_institution', 'hudceller', 'r._kelly', 'printplade', 'day_for_night', 'plug-in', 'tegument', 'mental_hjem', 'almost_human', 'huden', 'plugin', 'printkort', 'skal', 'skræl', 'skrabe', 'australske_aboriginal_slægtskab', 'cutis', 'skind', 'hudfarve', 'tema', 'hud', 'kredsløbsplade', 'add-in', 'trykt_kredsløb', 'ray_of_light', 'kutan', 'skin', 'skinnable', 'plugins', 'huder', 'power_plan', 'galeanstalt', 'psykiatrisk_hospital', 'blender'}
sky	{'sky_airlines', 'himmel', 'luft', 'thatgamecompany', 'sky_plc', 'himlen', 'himmelhvælvingen', 'lazuline', 'azurblå', 'winx_club', 'credo', 'heterosphere', 'skyblå', 'luftlag', 'bskyb', 'kaste', 'atmosfære', 'stacey_king', 'british_sky_broadcasting', 'earth_atmosphere', 'jordens_atmosfære', 'himmelblå', 'sky', 'team_sky', 'team_sky_procycling', 'cerulean'}
sleep	{'søvn_hos_dyr', 'slumre', 'sopor', 'standby-tilstand', 'dvale', 'evig_hvile', 'evig_søvn', 'nådestødet', 'sleep', 'the_black_parade', 'de_sovende', 'dvaletilstand', 'hybrid_slumring', 'sove', 'søvn'}
small	{'john_kunkel_small', 'small', 'lille'}
smart	{'mentale_kapacitet', 'intelligens', 'viselig', 'næsvis', 'frisk', 'smartcar', 'svie', 'efterretningstjeneste', 'fræk', 'smart', 'smart_smart', 'flynn-effekt', 'opvakt', 'klog', 'intelligent', '8_intelligenser', 'kvik'}
smell	{'tilbehøret_olfaktoriske_system', 'duften', 'lugtesans', 'lugt', 'duft', 'lugte', 'lugtesansen', 'olfaktoriske', 'stank', 'olfaktoriske_ejendom', 'lugtfri', 'olfaktorisk_sensation', 'ubehagelig_lugt', 'tone', 'olfaktoriske_modalitet', 'olfaktiv_perception', 'ånd', 'fært', 'følelse'}
smiling	{'grinende', 'smilende', 'grine', 'smil', 'smile'}
smoke	{'græs', 'tobak', 'nicotiana', 'tobaksrulle', 'cigaretskod', 'kiste_søm', 'grøn_gudinde', 'smøg', 'cigaret', 'smoke', 'fastball', 'hash', 'dunst', 'rygning', 'magneto-optisk_kerr_effekt', 'ryge', 'ligkistesøm', 'sess', 'skod', 'tobaksvare', 'røget', 'tobaksplante', 'mary_jane', 'røg', 'brug_af_tobak', 'the_smoke', 'cigaretter', 'tjald', 'yin_yang_yo!', 'sens'}
smooth	{'stypsis', 'mineralitet', 'gerald_albright', 'polere', 'smooth', 'blødgøre', 'glat', 'balance', 'tør', 'krop', 'bouquet', 'blanke', 'frugt', 'pudse'}
snake	{'snake_jailbird', 'snake_river', 'ophidian', 'gray_kode', 'havslangen', 'slange_i_græsset', 'ormespil', 'slange', 'slanger', 'serpentes', 'snake', 'ah-1_cobra', 'solid_snake', 'søslangen', 'bell_ah-1_cobra'}
snow	{'c._p._sne', 'næse_slik', 'snefald', 'sne', 'snedække', 'elfenben', 'snegrænse', 'charles_percy_snow', 'c._p._snow', 'forvirre', 'c.p._snow', 'snow', 'off-white', 'slud', 'charles_percy_sne', 'ffmpeg', 'baron_snow_fra_leicester', 'kokain', 'støj', 'the_warriors'}
solution	{'opløsning', 'svar', 'solution', 'opløste_stoffer', 'resultat', 'løsning', 'vandopløselig', 'resultatet', 'ligning_løse', 'problemløsning', 'opløsninger'}
some	{'eller_så', 'nogle', 'omkring', 'cirka', 'omtrent', 'tilnærmelsesvis', 'groft', 'mere_eller_mindre'}
soul	{'hoved', 'hugr', 'soul_musik', "m/k'er", 'soul', 'udødelige_sjæl', 'mand', 'person', 'sjælfulde', 'grammatisk_person', 'individ', 'menneske', 'dødelig', 'nogen', 'enkeltpersoner', 'sjæl', 'sjæle', 'personer', 'aiúa', 'soul_music'}
sound	{'tale_lyd', 'tecnocumbia', 'sproglyd', 'lydens_hastighed', 'akustiske_bølger', 'lyd', 'akustisk_energi', 'lydbølger', 'lyde', 'stræde', 'lydhastighed', 'sund', 'telefon', 'akustisk_bølge', 'audio', 'lydbølge', 'talelyd', 'akustiske_bølge', 'lydenergi', 'auditive_fornemmelse', 'rask', 'lyden', 'bælt', 'lydudbredelse'}
spit	{'spit', 'spid', 'rotisserie', 'spytte', 'expectoration', 'odde', 'sand_spit', 'spyt'}
split	{'homozygoti', 'skille_sig', 'homozygoter', 'heterozygote', 'brast', 'fjerne_link', 'heterozygot', 'dele', 'birds_of_prey', 'flænge', 'zygositet', 'splitalbum', 'split', 'aktiesplit', 'splittelse', 'opdele', 'revne', 'split_rekord', 'hemizygote', 'homozygot', 'heterozygoti', 'zygosity', 'split_album', 'homozygote', 'homozygositet', 'heterozygoter', 'kløve', 'spagat', 'opdelingen_lemma'}
spoke	{'talekommunikation', 'mundtlig_kommunikation', 'tunge', 'spoke', 'talesprog', 'tale', 'menneskelig_tale', 'tale_kommunikation', 'talte', 'sprog', 'eger', 'rundle', 'hjul_talte', 'mål', 'speech_kommunikation', 'talte_sprog', 'talt_kommunikation'}
squeeze	{'likviditetskrise', 'kreditklemme', 'afpresse', 'noget_i_klemme', 'squeeze', 'klemme', 'træktvang', 'kramme', 'presse', 'kreditkrisen', 'omfavne', 'knibe', 'zugzwang', 'kram', 'nive', 'nappe', 'kniven_på_struben', 'knus', 'kvase', 'vride', 'tvinge'}
stab	{'scream_2', 'horn_stab', 'kniv_stak'}
stand	{'udholde', 'frugtplantager', 'lund', 'tage', 'synspunkt', 'fod', 'udstå', 'susan_ashton', 'sukkerplantager', 'stand', 'frugtplantage', 'gummi_plantage', 'stade', 'vidneskranke', 'sukker_plantage', 'stå_stille', 'fra', 'står', 'sætte', 'bod', 'kaffeplantage', 'woodlet', 'klare', 'standpunkt', 'bære', 'bomuld_plantage', 'frugthave', 'plantage', 'plantager', 'orchardist', 'sukkerplantage', 'salgsstand', 'bandstand', 'udendørs_scene', 'partnerskab', 'virksomheder', 'stille', 'stå'}
star	{'medier_personlighed', 'almindelig', 'førende_aktør', 'star', 'superstar', 'hotshot', 'mavin', 'tar.gz', 'headliner', 'bostonmatricen', 'asterisk', 'berømthed', 'stjernen', 'tar', 'fem-stjernet_hotel', 'stikledningsanlæg', 'xerox_star', 'førende_skuespillerinde', 'filmstjerne', 'stjernespækket', 'stjerne_graf', 'adept', 'suse', 'berømtheder', 'estelle', 'stjerne_rating', 'tv-personlighed', 'berømt_person', 'stjerner', 'popstjerne', 'stjerne_topologi', 'kendt', 'kendis', '*', 'stjerne_netværk', 'stjerneklassifikation', 'stjernetopologi', 'vækst-share_matrix', 'maven', 'ilean_almaguer', 'stjerne', 'film_stjerne', 'starbåd', 'filmstjerner', 'the_rise_and_fall_of_ziggy_stardust_and_the_spiders_from_mars', 'førende_skuespiller', 'wiz', 'ledende_aktør', 'multe', 'tjære'}
stick	{'joysticks', 'spliff', 'spadserestokke', 'køleskibe', 'bo', 'billystick', 'kort_shifter', 'kvist', 'pind', 'stok', 'clapstick', 'blive', 'fælles', 'joystick', 'us-ascii', 'nightstick', 'stafetten', 'knippel', 'standard_transmission', 'american_standard_code_for_information_interchange', 'pinden', 'billy_klub', 'styrepinden', 'bmw_x1', 'synchromesh', "stik,_hug_og_ta'_til_fange", 'politistav', 'joint', 'manuel_gearkasse', 'kæp', 'politi_stafetten', 'gearstang', 'marihuana_cigaret', 'ascii'}
stone	{'stone', 'lucy_stone', 'halvædelsten', 'klipper', 'endokarpium', 'juveler', 'sten', 'semi-ædle_sten', 'harlan_f._stone', 'afskallede_frugt', 'harlan_fiske_stone', 'ædelstene', 'natursten', 'edelstein', 'i._f._stone', 'bjergart', 'ædelsten', 'picul', 'edward_durell_stone', 'harlan_stone', 'klippe', 'oliver_stone', 'rock', 'juvel', 'henry_stone', 'isidor_feinstein_stone', 'smykkesten', 'harlan_fisk_stone', 'klippen'}
straight	{'hetrosexsuel', 'lige_person,', 'heteroseksuel', 'heteroseksuelle', 'heteroseksuel_person', 'ret', 'opløbsstrækningen', 'straks', 'heterosexualism', 'kryds', 'hetero', 'lige', 'direkte', 'heterofili', 'heteroseksualitet'}
student	{'christ_church_college', 'videnskabsmand', 'student', 'nysproglig_student', 'studeret', 'studium', 'studine', 'studiet', 'lærd', 'elev', 'videnskabelig_person,', 'studierne', 'boghandel', 'freshman_år', 'boghandler', 'educatee', 'forsker', 'studerede', 'studerende', 'studier', 'studenterkørsel', 'lærde', 'william_sealy_gosset', 'studere', 'boghandlere', 'bookman'}
stupid	{'budding_hoved', 'tomhjernet', 'dumme', 'blæst', 'pudden-head', 'dum_person', 'uintelligent', 'raven-symone', 'åndssvag', 'stupe', 'tumpe', 'stakkels_fisk', 'fordummende', 'pillock', 'dum', 'dumhed'}
successful	{'succesrig', 'successful'}
suck	{'suck', 'amme', 'suge', 'sugende', 'sugning', 'sutte'}
sugar	{'batman_forever', 'disakkarid', 'oligosaccharider', 'sukker', 'saccharid', 'sakkarider', 'hvidt_sukker', 'gelt', 'moolah', 'sakkarid', 'stødtmelis', 'sukker,_fremstilling_af', 'sukker_handel', 'melis', 'carbonhydrat', 'monosaccharid', 'kulhydrater', 'sukker_i_vinen', 'carbohydrat', 'simoleons', 'shekels', 'fremstilling_af_sukker', 'glassheart', 'søde', 'sukkerknald', 'hjertemuslinger', 'kulhydrat', 'raffineret_sukker', 'muslinger', 'e-150', 'monosakkarid', 'pelf', 'oligosaccharid', 'sukker_niveauer', 'disaccharid', 'dinero', 'saccharider', 'oligosakkarid', 'sugar'}
sun	{'venus', 'faste_stjerne', 'the_sun', 'solmasse', 'solbade', 'fiks-stjerne', 'sun_kwon', 'sigrid_solbakk_raabe', 'sigrid', 'mars', 'faste_stjerner', 'dominicus', 'sollyset', 'solens_spektrum', 'sun_microsystems', 'sun-hwa_kwon', 'sol', 'solskive', 'solcyklus', 'herrens_dag', 'sigrid_raabe', 'solindstråling', 'seon', 'naturlig_belysning', 'jupiter', 'fiksstjerne', 'sun', 'sollys', 'solstråle', 'solen', 'cun', 'solmasser', 'utu', 'søndag', 'sun_tegn', 'utug', 'solskin', 'merkur', 'sun_television', 'månen'}
suspect	{'mistillid', 'mistanke', 'sagsøgt', 'robert_crais', 'gerningsmanden', 'suspekt', 'top', 'mistænkt', 'mistænksomhed', 'anklaget', 'sagsøgte', 'under_mistanke', 'kriminel_sagsøgt', 'mistænkte'}
swell	{'swell', 'dude', 'clotheshorse', 'dønning', 'magnapop', 'fop', 'dandies', 'dandy', 'tørrestativ', 'crestless_bølge'}
swim	{'svømmetur', 'akvatisk_bevægelse', 'flyde', 'ray_of_light', 'svømning', 'svømme', 'konkurrencesvømning'}
table	{'html-element', 'database_tabel', 'mesa', 'taffelbjerge', 'opslagstabel', 'taffelbjerg', 'tabel', 'søgning', 'html-kode', 'iframe', 'bord', 'kode', 'dataark', 'relation', 'højslette', 'udskyde', 'href', 'tabular-array', 'bordet', 'opslag', 'klangbund'}
tail	{'bagdel', 'proximale', 'caudalt', 'apikale', 'boller', 'posteriort', 'keister', 'suppleanter', 'følge', 'ipsilaterale', 'hale-end', 'efter_en_del', 'forfølge', 'numse', 'hale-ender', 'hind_ende', 'ende', 'agterstavn', 'distale', 'ventrolaterale', 'batting_rækkefølge', 'balder', 'agterstævn', 'dorsolaterale', 'tailender', 'bag', 'bagenden', 'bagtil', 'plantar', 'anatomiske_hensyn_til_placering', 'popo', 'åbning_gærdespiller', 'vilkår_for_anatomiske_placering', 'dorsoventral', 'derriere', 'kontralaterale', 'ventrale', 'laterale', 'balde', 'glutealregionen', 'plat', 'hale', 'haleenhed', 'tail', 'midclavicular_linje', 'hæk', 'empennage', 'jagte', 'aboral', 'agterende', 'miles_"tails"_prower', 'bagperron', 'agter', 'røv', 'agterparti', 'bageste', 'tush', 'shadower', 'prat', 'tooshie'}
taste	{'taste', 'smagssansen', 'gustatoriske_sensation', 'præferencer', 'salt', 'vinsmagning', 'smage', 'gustatoriske_opfattelse', 'forkærlighed', 'naturlige_varianter', 'nowhere', 'prøve', 'smag', 'smagssans', 'vin-smagning', 'grundlæggende_smag', 'præference', 'savor', 'kunstige_smagsstoffer', 'gustation', 'smagsløg', 'gustatoriske_modalitet', 'smagsoplevelse', 'naturlige_aromaer', 'smagsforstærker', 'gustatoriske', 'aroma', 'blindsmagning', 'smagsstof'}
team	{'bar_band', 'spand', 'rockgruppen', 'instrumental_ensemble', 'musikalsk_band', 'pop_rock_band', 'team', 'hold', 'solo_artist', 'pop_band', 'rockbands', 'musik_band', 'rock_band', 'band', 'rockgruppe', 'holdsport', 'musikalsk_ensemble', 'musikgruppe', 'gruppe', 'arbejdscelle', 'soloprojekt', 'sportshold'}
texture	{'tekstur', 'tekstur_kort', 'teksturdybden', 'fornemmelse_i_munden', 'musikalsk_struktur', 'mundfornemmelse', 'texture_mapping'}
that	{'that', 'så', 'thaat'}
there	{'did', 'there', 'der', 'derhen'}
they	{'xenonforgiftning', 'kønsneutrale_pronomen', 'kønsspecifik_pronomen', 'xe', 'they', 'atomnummer_54', 'xenon'}
thick	{'tyk', 'midte', 'tæt'}
thin	{'fortynde', 'tynd', 'tynde'}
think	{'formoder', 'har_hensigt', 'førelsen', 'tankeproces', 'tænker', 'mene', 'forestille_sig', 'huske', 'synes', 'tænke', 'forestiller_mig', 'tænkning', 'tro', 'kognition', 'erindre', 'mener', 'reflektere', 'cerebration', 'intellection', 'finde', 'mindes', 'tror', 'tanker', 'think', 'tykkes', 'tanke', 'hensigt'}
this	{'mig', 'dette', 'this', 'thinis'}
three	{'mt._egypt', 'ternære', 'tre', 'succeeder', 'the_mighty_bop', 'deuce-ace', 'bob_sinclar', 'hi3g_danmark', 'terzetto', 'tri', 'ternion', '3', 'christophe_lefriant', 'tercet', 'seventeen_seconds', 'three', 'iii', 'enneagram', 'ennagram', 'trine', 'santana_iii', 'tredeling', 'achiever', 'prong'}
throw	{'messingsuppe', 'holde', 'kastet', 'kaste', 'give', 'messing_instrument', 'kompressionsslaget', 'messinginstrumenter', 'messing', 'forvirre', 'cam_slagtilfælde', 'throw', 'har', 'messingblæser', 'smide'}
tie	{'forbinde', 'sammenkæde', 'jernbanesvelle', 'pladespor', 'linkup', 'svelle', 'jernbanen_bånd', 'binde_stråle', 'hals_slips', 'uafgjort', 'slips', 'jernbane_sovekabine', 'bindebue', 'kæde', 'tilknytte', 'danne_par', 'railroad_slips', 'crosstie', 'binde', 'tie-in'}
time	{'todelt', 'sekvens_af_hændelser', 'tidsinterval', 'temporal', 'in_my_own_words', 'simpel_tid', 'gang', 'tage_tid', 'forbindelse_tid', 'tempus', 'xkcd_1190', 'y_not', 'polymeter', 'klokcykler', 'tidsregning', 'klokkeslæt', 'pære', 'systemets_ur', '12/8', 'time_magazine', 'tidsramme', 'meter', 'kabel_frigivelse', 'grammatisk_anspændt', 'forbindelse_meter', 'anspændt', 'vals_tid', '2/4_tid', 'fjerde_dimension', 'tid_t', 'taktcyklus', 'time', 'taktarter', '4/4', 'nu', 'nuet', 'fængsel', 'smartstop', 'system_tid', 'tider', '4/4_tid', 'hypnotica', "scatman's_world", 'musikalsk_taktart', 'periode', 'tid', 'ur', '6/8_tid', 'tidlige_univers', 'afsoningstid', 'anastacia', 'taktart', 'tidsrum', 'kosmologisk_tid', 'systemets_tid', 'time_kommune', 'pacific_ocean_blue', 'grammatisk_tid'}
tongue	{'tungetale', 'tunge', 'glossolalia', 'oksekød_tungen', 'tungen', 'tongue', 'lengua', 'tunger', 'sprog', 'naturlige_sprog', 'naturligt_sprog', 'glossa', 'lingua'}
tool	{'pik_gren', 'arbejdsredskab', 'software_udvikling_værktøj', 'softwareudviklingsværktøjer', 'værktøj', 'instrument', 'tool', 'software_udviklingsværktøjer', 'dolk', 'programmeringsværktøj', 'marionet', 'redskab', 'kødfløjte', 'håndværktøj', 'diller', 'software-værktøjer', 'pik', 'værktøjer', 'software-værktøj', 'prik'}
tooth	{'tak', 'pløk', 'hugtand', 'bisse', 'tand', 'mælketænder', 'mælketand', 'tænder'}
toy	{'toy', 'toyline', 'legetøj_hund', 'legetøj', 'yello', 'sex_legetøj', 'legesager', 'chatoyancy', 'chatoyant', 'sexlegetøj', 'legeting'}
